feature	Akkermansia.muciniphila	Alistipes.putredinis	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bacteroides.vulgatus	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Blautia.obeum	Blautia.wexlerae	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.sp.CAG.180	Eubacterium.sp.CAG.251	Eubacterium.ventriosum	Faecalibacterium.prausnitzii	Fusicatenibacter.saccharivorans	Gemmiger.formicilis	Lactobacillus.ruminis	Oscillibacter.sp.CAG.241	Parabacteroides.merdae	Prevotella.copri	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Streptococcus.salivarius
NS34	0.306277369169669	0	0	0.647284848015653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549467244757627	0	0	0	0	0	0	0	0	0	0	0.306277369169669	0	0	0	0.440510663004698	0	0
NS11	0	0	0	0.177710600845112	0	0	0	0.177710600845112	0.177710600845112	0.177710600845112	0	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0.177710600845112	0.252680255142079	0	0.177710600845112	0	0.177710600845112	0.177710600845112	0.911738290968488	0.177710600845112	0	0	0	0	0	0	0
NS25	0	0.193658300444327	0.193658300444327	0	0.275642799216265	0.275642799216265	0.275642799216265	0.490882678289311	0	0	0	0	0	0	0	0	0.193658300444327	0	0	0	0	0	0	0	0.729727656226966	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS27	0	0	0.177710600845112	0	0.361367123906708	0	0	0.252680255142079	0.659058035826409	0	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0	0.40637778068433	0.252680255142079	0	0	0	0	0	0.252680255142079	0.252680255142079	0	0.177710600845112	0	0	0	0
NS32	0	0	0	0	0.197395559849881	0	0	0	0	0	0	0	0	0	0	0.281034901502814	0	0.197395559849881	0	0.197395559849881	0	0.588002603547568	0	0	0.501093013265357	0	0	0	0	0	0.45396125157238	0	0.197395559849881	0.197395559849881	0	0	0	0	0
NS36	0.588002603547568	0	0	0.281034901502814	0	0.346579953788377	0.197395559849881	0.197395559849881	0.197395559849881	0	0.197395559849881	0	0	0	0	0	0	0	0	0	0	0	0.281034901502814	0	0	0.281034901502814	0	0	0	0.281034901502814	0	0	0	0	0.197395559849881	0.281034901502814	0	0	0
NS39	0	0.183604010278919	0.183604010278919	0	0.183604010278919	0.261157410903024	0.183604010278919	0	0.321750554396642	0.183604010278919	0	0	0	0.183604010278919	0	0.183604010278919	0	0.183604010278919	0	0	0	0	0	0	0.785398163397448	0	0	0	0.183604010278919	0.183604010278919	0	0	0	0	0	0	0	0	0
NS4	0	0	0.174969045665689	0	0.248740049959281	0.174969045665689	0	0.514805955119811	0.174969045665689	0	0	0	0	0.174969045665689	0	0	0	0	0.440510663004698	0	0.306277369169669	0	0	0	0.582941338653408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS40	0	0	0.190125603346467	0	0	0	0	0.190125603346467	0.270549762978573	0.333473172251832	0	0	0	0.270549762978573	0.190125603346467	0	0	0.387596686655181	0	0	0.333473172251832	0	0	0	0.563942641360629	0	0	0.190125603346467	0	0	0.190125603346467	0	0	0	0	0	0	0.190125603346467	0
NS41	0	0.252680255142079	0	0.177710600845112	0	0	0	0.31118424427751	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0.31118424427751	0	0	0	0.447832396928932	0	0	0	0	0.177710600845112	0.593199776149629	0.177710600845112	0.31118424427751	0.177710600845112	0	0	0	0	0
NS77	0	0.31118424427751	0	0	0	0	0	0.40637778068433	0	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0	0	0.447832396928932	0.177710600845112	0	0	0	0	0.593199776149629	0	0	0.40637778068433	0	0	0.177710600845112	0	0
NS78	0	0	0	0	0	0	0	0	0.321750554396642	0	0	0.183604010278919	0.183604010278919	0	0	0.321750554396642	0	0.261157410903024	0.261157410903024	0.37379217483451	0.420534335283965	0	0	0.183604010278919	0.261157410903024	0.321750554396642	0	0	0	0	0.183604010278919	0.183604010278919	0	0	0	0	0	0.183604010278919	0
NS79	0	0	0.174969045665689	0	0	0	0	0.174969045665689	0.399816663950217	0.174969045665689	0.174969045665689	0.174969045665689	0.174969045665689	0.174969045665689	0	0	0	0	0	0.306277369169669	0	0	0	0	0.549467244757627	0.248740049959281	0	0	0	0	0	0	0	0	0.306277369169669	0.306277369169669	0	0.174969045665689	0
NS13	0	0	0.387596686655181	0	0	0	0.190125603346467	0	0	0	0	0	0.190125603346467	0	0.190125603346467	0	0	0.190125603346467	0	0.713724378944766	0.333473172251832	0	0	0	0.270549762978573	0.190125603346467	0.190125603346467	0	0	0	0	0.190125603346467	0	0	0	0	0	0	0
NS21	0	0	0	0	0	0	0.339836909454122	0.65427058395952	0	0	0	0	0	0	0.193658300444327	0	0	0	0	0	0	0	0	0.275642799216265	0.534226044567914	0	0	0	0	0	0	0	0.39509966728639	0	0	0	0	0	0
NS6	0	0	0.306277369169669	0	0	0	0.174969045665689	0.549467244757627	0	0	0	0	0	0	0	0	0	0.174969045665689	0	0.306277369169669	0	0	0.306277369169669	0	0.440510663004698	0.174969045665689	0	0	0	0.306277369169669	0	0	0.174969045665689	0	0	0	0	0.174969045665689	0.174969045665689
