#Classification	S-10-POLJUN-B_bracken_O.kreport
k__Bacteria|p__Chloroflexi|c__Tepidiformia	24
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	24
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	18
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	18
k__Bacteria|p__Chloroflexi|c__Anaerolineae	11
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	11
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	6
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	6
k__Bacteria|p__Deinococcus-Thermus	287
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	287
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	217
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	64
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	5
k__Bacteria|p__Armatimonadetes	236
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	189
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	189
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	47
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	47
k__Bacteria|p__Tenericutes	53
k__Bacteria|p__Tenericutes|c__Mollicutes	53
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	36
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	6
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	10
k__Bacteria|p__Acidobacteria	45828
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	45698
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	45387
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	311
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	130
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	130
k__Bacteria|p__Bacteroidetes	36107
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	24741
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	24741
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	4299
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	4299
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3337
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	3337
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2183
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2183
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1400
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1376
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	24
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	128
k__Bacteria|p__Bacteroidetes|c__Saprospiria	16
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	16
k__Bacteria|p__Rhodothermaeota	100
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	100
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	100
k__Bacteria|p__Chlorobi	54
k__Bacteria|p__Chlorobi|c__Chlorobia	54
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	54
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	1
k__Bacteria|p__Gemmatimonadetes	458
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	458
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	458
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	1
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	1
k__Bacteria|p__Planctomycetes	14001
k__Bacteria|p__Planctomycetes|c__Planctomycetia	13354
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	4089
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	6016
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2736
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	512
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	644
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	527
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	107
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	10
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia|o__Candidatus_Brocadiales	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Uabimicrobiia	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Uabimicrobiia|o__Candidatus_Uabimicrobiales	1
k__Bacteria|p__Verrucomicrobia	3920
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2188
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	2061
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	127
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1722
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1722
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	8
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	8
k__Bacteria|p__Kiritimatiellaeota	708
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	685
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	685
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	22
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia|o__Tichowtungiales	22
k__Bacteria|p__Chlamydiae	55
k__Bacteria|p__Chlamydiae|c__Chlamydiia	55
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	51
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	3
k__Bacteria|p__Spirochaetes	314
k__Bacteria|p__Spirochaetes|c__Spirochaetia	314
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	223
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	88
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2
k__Bacteria|p__Thermotogae	114
k__Bacteria|p__Thermotogae|c__Thermotogae	114
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	10
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales	103
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	1
k__Bacteria|p__Fusobacteria	97
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	97
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	97
k__Bacteria|p__Chrysiogenetes	77
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	77
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	77
k__Bacteria|p__Candidatus_Saccharibacteria	66
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	66
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	66
k__Bacteria|p__Candidatus_Absconditabacteria	8
k__Bacteria|p__Candidatus_Absconditabacteria|o__Candidatus_Absconditabacterales	8
k__Bacteria|c__Candidatus_Babeliae	1
