Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
NS27_paired_1	(1, 0.11495573190968825)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 6.608821643953824e-05)	(24, 0.0020172641303687626)	(26, 1.5735289628461487e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006923527436523055)	(36, 3.147057925692298e-06)	(38, 0.0)	(40, 0.00036820577730599884)	(42, 0.0005633233686989212)	(44, 0.0005727645424759982)	(46, 0.0)	(48, 0.0)	(50, 0.00038420393998621084)	(52, 0.0025579889785413146)	(54, 0.001507522919415679)	(56, 0.0)	(58, 0.0)	(60, 0.0002909564996692528)	(62, 0.00026316330833378186)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 6.5772359889252505e-06)	(74, 0.0)	(76, 0.0)
NS27_paired_2	(1, 0.0)	(2, 0.0)	(3, 1.2588231702769192e-05)	(4, 0.0017434700908335328)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0003461763718261527)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00010385291154784581)	(36, 3.1470579256922975e-05)	(38, 0.0008654409295653819)	(40, 0.00033673519804907584)	(42, 0.0002737940395352299)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0001363415738180549)	(54, 0.0002201285340080879)	(56, 0.0004174803519295139)	(58, 0.00044967077629092395)	(60, 0.0004305777390982691)	(62, 0.00020075669476678966)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS28_paired_1	(1, 0.12343064564464946)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 8.832320047127616e-05)	(24, 0.0023189975193504834)	(26, 3.0810418769049824e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0007990168600773588)	(36, 6.162083753809965e-06)	(38, 0.0)	(40, 0.0004559941977819374)	(42, 0.0006346946266424264)	(44, 0.0006839912966729061)	(46, 0.0)	(48, 0.0)	(50, 0.0005445934824408367)	(52, 0.0029015408149594135)	(54, 0.0016469270693638628)	(56, 0.0)	(58, 0.0)	(60, 0.0002911096404991399)	(62, 0.00025446717119024473)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 6.369771341345599e-06)	(74, 0.0)	(76, 0.0)
NS28_paired_2	(1, 0.0)	(2, 0.0)	(3, 2.0540279179366548e-05)	(4, 0.0019965151362344286)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.054027917936655e-06)	(14, 0.0)	(16, 0.00046421030945368403)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00017253834510667904)	(36, 2.875639085111317e-05)	(38, 0.001012635763542771)	(40, 0.00042312975109495094)	(42, 0.00035740085772097797)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00018999925301380635)	(54, 0.00031109907549443336)	(56, 0.0005748103245681077)	(58, 0.0005837102658065916)	(60, 0.0005867131674353836)	(62, 0.00021147644159842267)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS29_paired_1	(1, 0.10551782038248188)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0022377045771161774)	(26, 0.00039394320100129103)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0004743397726342076)	(42, 0.0006217334872945546)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.00017969573381944516)	(52, 0.0010682063188036197)	(54, 0.00031046835582330105)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS29_paired_2	(1, 0.00017151268615022197)	(2, 0.0)	(3, 0.0)	(4, 0.0006163737158523602)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.001669568804243567)	(40, 0.00025458914350423573)	(42, 0.00013667417177595814)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 1.0736751023708946e-05)	(52, 2.7013202837953066e-06)	(54, 0.0001712861499079527)	(56, 0.00016427426300063096)	(58, 0.0004968471048815808)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS30_paired_1	(1, 0.1079665853103175)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.002341069479929143)	(26, 0.000432822855839811)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0005834739051100214)	(42, 0.0006336909215334249)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0001579491045865261)	(52, 0.0010972614730632032)	(54, 0.00039520532085165686)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS30_paired_2	(1, 0.0002199983576644343)	(2, 0.0)	(3, 0.0)	(4, 0.0006791253649641233)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0018843337591258069)	(40, 0.0002606502281024276)	(42, 0.00020565063868631904)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 1.6760787667948778e-05)	(52, 2.4084474463761585e-06)	(54, 0.00017674034584308764)	(56, 0.0001824060422220373)	(58, 0.0006086842968691676)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS32_paired_1	(1, 0.10720125458291495)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.002481341408468873)	(26, 0.00045399937442017234)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0005453210876656092)	(42, 0.0007044817878933708)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.00013055628282658216)	(52, 0.0011154813891356826)	(54, 0.0003651648879721411)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS32_paired_2	(1, 0.00015133312480672411)	(2, 0.0)	(3, 0.0)	(4, 0.0005844589647707965)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0016985838663651277)	(40, 0.00025570079708722346)	(42, 0.00014611474119269913)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 5.226314987234334e-06)	(52, 2.629016555627085e-06)	(54, 0.00016134454919526233)	(56, 0.00017036390955571702)	(58, 0.000517520814660351)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS34_paired_1	(1, 0.020694158247246422)	(2, 0.0)	(3, 0.0)	(4, 0.15495879938384027)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 5.1048208200038606e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS34_paired_2	(1, 0.002450313993601853)	(2, 0.0002748749672309771)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.007060359872589955)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 3.926785246156817e-06)	(22, 0.0005026285115080725)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00016099819509242947)	(38, 0.0004005320951079952)	(40, 0.0)	(42, 0.0)	(44, 1.1780355738470447e-05)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.00015850075893245337)	(76, 0.0)
NS36_paired_1	(1, 0.02056921344951815)	(2, 0.0)	(3, 0.0)	(4, 0.15869859459582228)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.7474461419659146e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 3.096632235935383e-06)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS36_paired_2	(1, 0.0021246916831203074)	(2, 0.00022590112722830857)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.007091463764207578)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 3.0527179355176828e-06)	(22, 0.0005769636898128422)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00012516143535622502)	(38, 0.0003480098446490159)	(40, 0.0)	(42, 0.0)	(44, 3.0527179355176828e-06)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0001261465052897785)	(76, 0.0)
NS38_paired_1	(1, 0.020581645556724485)	(2, 0.0)	(3, 0.0)	(4, 0.15252254545607732)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.7194357190246017e-05)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 7.73746073561071e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 4.3587141549155e-06)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS38_paired_2	(1, 0.0029230407223418235)	(2, 0.0003610815009951664)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00677027814365937)	(12, 4.298589297561504e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 4.298589297561504e-06)	(22, 0.0004771434120293271)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00015904780400977566)	(38, 0.0003438871438049204)	(40, 0.0)	(42, 0.0)	(44, 1.7194357190246017e-05)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0001834323959161206)	(76, 0.0)
NS39_paired_1	(1, 0.10658242316374746)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0021712335938020503)	(26, 0.0003731385254603772)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.000483998522155127)	(42, 0.0005597077881905659)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.00013530693471583825)	(52, 0.0010181664516434876)	(54, 0.000354190233939925)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS39_paired_2	(1, 0.00020008877452223128)	(2, 0.0)	(3, 0.0)	(4, 0.000703014613186218)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0018359497013593924)	(40, 0.00024335121225676774)	(42, 0.00015141853207087773)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 2.7079952965371295e-06)	(52, 0.0)	(54, 0.00018364566801796985)	(56, 0.0001462591907688705)	(58, 0.0005590514504506441)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS40_paired_1	(1, 0.10811350225464716)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0023486816590337057)	(26, 0.0004034411392026328)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0005604560690544683)	(42, 0.0005866252240297742)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0001811214257459655)	(52, 0.00113106832925981)	(54, 0.00038613886106324475)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS40_paired_2	(1, 0.00017882255899792375)	(2, 0.0)	(3, 0.0)	(4, 0.0005495522544814241)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0017969486416376727)	(40, 0.0002769568901553209)	(42, 0.00016137645568105313)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 4.367540786279633e-06)	(52, 0.0)	(54, 0.00018327363948966637)	(56, 0.0001532778024885784)	(58, 0.000554763551050438)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
