#Classification	S-26-POLJUN-B_bracken_O.kreport
k__Bacteria|p__Chloroflexi|c__Anaerolineae	12
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	12
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	12
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	10
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	2
k__Bacteria|p__Chloroflexi|c__Caldilineae	11
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	11
k__Bacteria|p__Chloroflexi|c__Tepidiformia	9
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	9
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	8
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	8
k__Bacteria|p__Deinococcus-Thermus	311
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	311
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	255
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	54
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	2
k__Bacteria|p__Armatimonadetes	93
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	71
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	71
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	22
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	22
k__Bacteria|p__Tenericutes	14
k__Bacteria|p__Tenericutes|c__Mollicutes	14
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	4
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	8
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2
k__Bacteria|p__Acidobacteria	41413
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	41338
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	41176
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	162
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	75
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	75
k__Bacteria|p__Bacteroidetes	26583
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	18103
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	18103
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3489
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	3489
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2088
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2088
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1846
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	908
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	6
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	122
k__Bacteria|p__Bacteroidetes|c__Saprospiria	18
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	18
k__Bacteria|p__Rhodothermaeota	65
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	65
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	65
k__Bacteria|p__Chlorobi	24
k__Bacteria|p__Chlorobi|c__Chlorobia	24
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	24
k__Bacteria|p__Ignavibacteriae	3
