#Classification	GQ13_bracken_O.kreport
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	17
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	155430
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	155430
k__Bacteria|p__Bacteroidetes|c__Cytophagia	426
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	426
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	196
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	196
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	96
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	96
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	343
k__Bacteria|p__Chlorobi	15
k__Bacteria|p__Chlorobi|c__Chlorobia	15
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	15
k__Bacteria|p__Rhodothermaeota	10
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	10
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	10
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	2
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	2
k__Bacteria|p__Fibrobacteres	8
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	8
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	8
k__Bacteria|p__Fusobacteria	151876
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	151876
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	151876
k__Bacteria|p__Candidatus_Saccharibacteria	38396
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	38396
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	38396
k__Bacteria|p__Candidatus_Absconditabacteria	4
k__Bacteria|p__Candidatus_Absconditabacteria|o__Candidatus_Absconditabacterales	4
k__Bacteria|p__Spirochaetes	26207
k__Bacteria|p__Spirochaetes|c__Spirochaetia	26207
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	26192
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	9
