Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
AD_Skin SM_genbank-2022.03 Simpson Index_value A B 27 43 478 0.22 ns
AD_Skin SM_genbank-2022.03 Tail Index_value A B 27 43 497 0.319 ns
AD_Skin SM_gtdb-rs214-full Hill_1 Index_value A B 27 42 479 0.284 ns
AD_Skin SM_gtdb-rs214-full Hill_2 Index_value A B 27 42 453 0.164 ns
AD_Skin SM_gtdb-rs214-full Richness Index_value A B 27 42 497 0.393 ns
AD_Skin SM_gtdb-rs214-full Shannon Index_value A B 27 42 479 0.284 ns
AD_Skin SM_gtdb-rs214-full Simpson Index_value A B 27 42 453 0.164 ns
AD_Skin SM_gtdb-rs214-full Tail Index_value A B 27 42 498 0.402 ns
AD_Skin SM_gtdb-rs214-rep Hill_1 Index_value A B 27 42 473 0.252 ns
AD_Skin SM_gtdb-rs214-rep Hill_2 Index_value A B 27 42 422 0.0755 ns
AD_Skin SM_gtdb-rs214-rep Richness Index_value A B 27 42 497 0.393 ns
AD_Skin SM_gtdb-rs214-rep Shannon Index_value A B 27 42 473 0.252 ns
AD_Skin SM_gtdb-rs214-rep Simpson Index_value A B 27 42 422 0.0755 ns
AD_Skin SM_gtdb-rs214-rep Tail Index_value A B 27 42 501 0.423 ns
AD_Skin SM_gtdb-rs220-rep Hill_1 Index_value A B 27 42 472 0.247 ns
AD_Skin SM_gtdb-rs220-rep Hill_2 Index_value A B 27 42 431 0.0959 ns
AD_Skin SM_gtdb-rs220-rep Richness Index_value A B 27 42 489 0.34 ns
AD_Skin SM_gtdb-rs220-rep Shannon Index_value A B 27 42 472 0.247 ns
AD_Skin SM_gtdb-rs220-rep Simpson Index_value A B 27 42 431 0.0959 ns
AD_Skin SM_gtdb-rs220-rep Tail Index_value A B 27 42 494 0.375 ns
Bee KB10 Hill_1 Index_value A B 20 20 216 0.678 ns
Bee KB10 Hill_2 Index_value A B 20 20 212 0.758 ns
Bee KB10 Richness Index_value A B 20 20 232.5 0.386 ns
Bee KB10 Shannon Index_value A B 20 20 216 0.678 ns
Bee KB10 Simpson Index_value A B 20 20 212 0.758 ns
Bee KB10 Tail Index_value A B 20 20 220 0.602 ns
Bee KB10_GTDB Hill_1 Index_value A B 20 20 112 0.0167 *
Bee KB10_GTDB Hill_2 Index_value A B 20 20 106 0.0103 *
Bee KB10_GTDB Richness Index_value A B 20 20 185 0.695 ns
Bee KB10_GTDB Shannon Index_value A B 20 20 112 0.0167 *
Bee KB10_GTDB Simpson Index_value A B 20 20 106 0.0103 *
Bee KB10_GTDB Tail Index_value A B 20 20 137 0.0911 ns
Bee KB45 Hill_1 Index_value A B 20 20 246 0.221 ns
Bee KB45 Hill_2 Index_value A B 20 20 241 0.277 ns
Bee KB45 Richness Index_value A B 20 20 245.5 0.221 ns
Bee KB45 Shannon Index_value A B 20 20 246 0.221 ns
Bee KB45 Simpson Index_value A B 20 20 241 0.277 ns
Bee KB45 Tail Index_value A B 20 20 239 0.301 ns
Bee KB45_GTDB Hill_1 Index_value A B 20 20 156 0.242 ns
Bee KB45_GTDB Hill_2 Index_value A B 20 20 140 0.108 ns
Bee KB45_GTDB Richness Index_value A B 20 20 196.5 0.935 ns
Bee KB45_GTDB Shannon Index_value A B 20 20 156 0.242 ns
Bee KB45_GTDB Simpson Index_value A B 20 20 140 0.108 ns
Bee KB45_GTDB Tail Index_value A B 20 20 171 0.445 ns
Bee KB90 Hill_1 Index_value A B 20 17 168 0.964 ns
Bee KB90 Hill_2 Index_value A B 20 17 179 0.798 ns
Bee KB90 Richness Index_value A B 20 17 127 0.181 ns
Bee KB90 Shannon Index_value A B 20 17 168 0.964 ns
Bee KB90 Simpson Index_value A B 20 17 179 0.798 ns
Bee KB90 Tail Index_value A B 20 17 163.5 0.855 ns
Bee KB90_GTDB Hill_1 Index_value A B 19 18 111 0.0704 ns
Bee KB90_GTDB Hill_2 Index_value A B 19 18 105 0.0464 *
Bee KB90_GTDB Richness Index_value A B 19 18 120 0.119 ns
Bee KB90_GTDB Shannon Index_value A B 19 18 111 0.0704 ns
