Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
NS27_paired_1	(1, 32.883450535015584)	(2, 33.080955925139044)	(3, 33.15035195122312)	(4, 33.11829671154476)	(5, 33.16414059670107)	(6, 36.78289662135008)	(7, 37.082304313577886)	(8, 37.22982019913953)	(9, 37.28422559244152)	(10, 37.32526886102623)	(12, 37.319971796066866)	(14, 37.305761885414995)	(16, 37.29244117598002)	(18, 37.266732608020405)	(20, 37.261663043878485)	(22, 37.2364966510583)	(24, 37.23140320074673)	(26, 37.21110275742068)	(28, 37.195606140665305)	(30, 37.1606178430002)	(32, 37.13116383552091)	(34, 37.11554102174271)	(36, 37.058018310212425)	(38, 36.91844349032641)	(40, 36.785381003288364)	(42, 36.706046190628)	(44, 36.626547070073336)	(46, 36.54994522545681)	(48, 36.47552784815823)	(50, 36.37779065415223)	(52, 36.36383370701588)	(54, 36.31539477076389)	(56, 36.29553821174246)	(58, 36.22332623989966)	(60, 36.12841860361184)	(62, 36.06660655402652)	(64, 36.0158272873493)	(66, 36.00461333862022)	(68, 35.99176086953622)	(70, 35.93396496911821)	(72, 35.86231482047017)	(74, 35.98421970993256)	(76, 35.09819198100829)
NS27_paired_2	(1, 31.876526000520524)	(2, 32.38823126218108)	(3, 32.49899322469899)	(4, 32.52117840954616)	(5, 32.453604467059904)	(6, 36.7785757108181)	(7, 36.71224170915457)	(8, 36.72487406260946)	(9, 36.73455025867243)	(10, 36.700532387789295)	(12, 36.717336921818585)	(14, 36.74231918027953)	(16, 36.71416050184244)	(18, 36.693494244503114)	(20, 36.59825467314499)	(22, 36.51751192970983)	(24, 36.525256902206124)	(26, 36.48184654253201)	(28, 36.50738542112828)	(30, 36.461751916794306)	(32, 36.41682439196481)	(34, 36.3859474422444)	(36, 36.34939987178886)	(38, 36.315564687618306)	(40, 36.29619338167424)	(42, 36.2132482956321)	(44, 36.17404429358148)	(46, 36.12838042013853)	(48, 36.02773665796924)	(50, 35.98280543209387)	(52, 35.975394626640664)	(54, 35.99346040806854)	(56, 35.888371544911664)	(58, 35.76368835868374)	(60, 35.656508907107586)	(62, 35.54969819730441)	(64, 35.45304393128365)	(66, 35.58670038946012)	(68, 35.69404556610156)	(70, 35.69084607428293)	(72, 35.64282108014027)	(74, 35.81187000363869)	(76, 34.748668493115964)
NS28_paired_1	(1, 32.93977245067919)	(2, 33.125807032704024)	(3, 33.176910877577264)	(4, 33.140110297191136)	(5, 33.198788287850654)	(6, 36.78109682215179)	(7, 37.135058867413115)	(8, 37.28690723578577)	(9, 37.349220486135)	(10, 37.39721638136561)	(12, 37.38609384073027)	(14, 37.38836039891687)	(16, 37.387624687197224)	(18, 37.387474825320325)	(20, 37.36480248570243)	(22, 37.35912897302917)	(24, 37.35737403211637)	(26, 37.337487858127474)	(28, 37.32518334766702)	(30, 37.28499777035269)	(32, 37.275319581068686)	(34, 37.22435715601759)	(36, 37.172050718878964)	(38, 37.102596825335524)	(40, 36.961040204926256)	(42, 36.67316732953571)	(44, 36.77514418762477)	(46, 36.84823428571076)	(48, 36.80404425772875)	(50, 36.72738032992579)	(52, 36.72671971341137)	(54, 36.64606852498684)	(56, 36.632918407330926)	(58, 36.58409586852193)	(60, 36.540560964469904)	(62, 36.40600046316719)	(64, 36.436851236673135)	(66, 36.45541378296429)	(68, 36.4578017283253)	(70, 36.41855505885452)	(72, 36.36013820512098)	(74, 36.44143183293695)	(76, 35.35485592313346)
NS28_paired_2	(1, 31.832717460449178)	(2, 32.44366826381031)	(3, 32.52006655872065)	(4, 32.582124945285834)	(5, 32.54308489934134)	(6, 36.86275129234301)	(7, 36.831299318494075)	(8, 36.82131781090742)	(9, 36.82100416084435)	(10, 36.80251421233267)	(12, 36.78836725937012)	(14, 36.83608019171475)	(16, 36.810340099780575)	(18, 36.79266350524383)	(20, 36.788226394135506)	(22, 36.6824937459985)	(24, 36.742731750321404)	(26, 36.706725051725556)	(28, 36.714499629556066)	(30, 36.655250886158996)	(32, 36.61475814950982)	(34, 36.59187997575425)	(36, 36.60227892343467)	(38, 36.635400596037826)	(40, 36.6523002545146)	(42, 36.56119575646048)	(44, 36.5001527169757)	(46, 36.47157009688644)	(48, 36.4485407672164)	(50, 36.31106970394099)	(52, 36.33296589102261)	(54, 36.40240040020642)	(56, 36.39164849323733)	(58, 36.334029678295195)	(60, 36.25714874182329)	(62, 36.16355219281114)	(64, 36.08198570922296)	(66, 36.190404819974745)	(68, 36.26887293409764)	(70, 36.27766102082079)	(72, 36.220911890291376)	(74, 36.329582458575075)	(76, 35.06819658597141)
NS29_paired_1	(1, 32.74696904924944)	(2, 32.97069175139751)	(3, 33.05123796784909)	(4, 33.047885645202854)	(5, 33.09718149986986)	(6, 36.65446609387146)	(7, 36.97992642320155)	(8, 37.146566701926815)	(9, 37.22297790830846)	(10, 37.269288263086736)	(12, 37.270958555460126)	(14, 37.24317122240093)	(16, 37.23475102146524)	(18, 37.20565652054786)	(20, 37.18865465556179)	(22, 37.171128015353815)	(24, 37.165597776380906)	(26, 37.14134041559239)	(28, 37.1327474156254)	(30, 37.089248368163986)	(32, 37.05522788890609)	(34, 37.04851906299189)	(36, 36.96485120845695)	(38, 36.80559849030246)	(40, 36.654202366317655)	(42, 36.49145507718285)	(44, 36.45830633795117)	(46, 36.428046033147396)	(48, 36.31658835325953)	(50, 36.23327766629515)	(52, 36.23231773851968)	(54, 36.184937982837354)	(56, 36.09157498522964)	(58, 36.03217697427117)	(60, 35.94247269194991)	(62, 35.82996078046256)	(64, 35.83703685863483)	(66, 35.76973511994544)	(68, 35.810003584892065)	(70, 35.734759733526474)	(72, 35.74448638347263)	(74, 35.906780203898336)	(76, 34.96937566427286)
NS29_paired_2	(1, 30.846154246075255)	(2, 32.01615896053021)	(3, 32.26268834772825)	(4, 32.33561291559132)	(5, 32.216318177900675)	(6, 36.62442028712081)	(7, 36.54245287367362)	(8, 36.588564434529104)	(9, 36.62857839780567)	(10, 36.65052526832088)	(12, 36.65342838852254)	(14, 36.65709605332158)	(16, 36.61487260466454)	(18, 36.61379561219095)	(20, 36.475604678694566)	(22, 36.324033397379026)	(24, 36.40806601115947)	(26, 36.40020282447092)	(28, 36.406848833863805)	(30, 36.37669974431746)	(32, 36.32704130111239)	(34, 36.260271171204394)	(36, 36.329142009931445)	(38, 36.267431933046595)	(40, 36.18558449808313)	(42, 36.089194770449566)	(44, 36.11940715889664)	(46, 36.065089332382584)	(48, 35.914568110689146)	(50, 35.91702575294585)	(52, 35.89017745498825)	(54, 35.89145128972099)	(56, 35.82688200586203)	(58, 35.607642421473294)	(60, 35.49470191246353)	(62, 35.43314568618674)	(64, 35.48816288048694)	(66, 35.552630552961304)	(68, 35.59623372501639)	(70, 35.6621308393704)	(72, 35.643069916201306)	(74, 35.83608844561822)	(76, 34.83578187429681)
NS30_paired_1	(1, 32.733442624691364)	(2, 32.96072316712314)	(3, 33.000029508475365)	(4, 32.963090732057445)	(5, 33.05300449126647)	(6, 36.55636508574412)	(7, 36.90469097237217)	(8, 37.07365028496722)	(9, 37.13310115854483)	(10, 37.23555264807001)	(12, 37.22282158224063)	(14, 37.190643283328185)	(16, 37.193896580780745)	(18, 37.19915403935876)	(20, 37.15257024798645)	(22, 37.158691271856895)	(24, 37.12894287871772)	(26, 37.099335571481845)	(28, 37.10515756497592)	(30, 37.03527178668845)	(32, 36.98839776487408)	(34, 37.02185683683396)	(36, 36.99588253943339)	(38, 36.794656211196894)	(40, 36.661163072969586)	(42, 35.82808221166454)	(44, 36.21761962542219)	(46, 36.41238594101452)	(48, 36.33166914140906)	(50, 36.233043890261776)	(52, 36.25877800041519)	(54, 36.104015760778935)	(56, 36.00822975668913)	(58, 35.95374137058707)	(60, 35.96576475371544)	(62, 35.61143634777007)	(64, 35.80339689393067)	(66, 35.784020655042596)	(68, 35.858404482036796)	(70, 35.80586192974073)	(72, 35.80116803718823)	(74, 36.00311232491342)	(76, 34.99914161451603)
NS30_paired_2	(1, 31.10388064189973)	(2, 32.19933955536514)	(3, 32.39342114998211)	(4, 32.494989609142785)	(5, 32.43910414373124)	(6, 36.72594197198971)	(7, 36.7977403490427)	(8, 36.69270423750793)	(9, 36.779576423770784)	(10, 36.76751817031001)	(12, 36.71288050210512)	(14, 36.8006602772448)	(16, 36.67465045489204)	(18, 36.664005714792125)	(20, 36.7004507862)	(22, 36.391530407575175)	(24, 36.64585101988608)	(26, 36.58747335568803)	(28, 36.50907337791743)	(30, 36.523137394665625)	(32, 36.409826451426014)	(34, 36.27573974806458)	(36, 36.46489660770663)	(38, 36.548346265171574)	(40, 36.49681043033257)	(42, 36.363166880184636)	(44, 36.26002796753035)	(46, 36.246092171564094)	(48, 36.264466840914935)	(50, 35.93910602776955)	(52, 35.99044576808764)	(54, 36.10049778127309)	(56, 36.21176393433231)	(58, 36.092106147489744)	(60, 36.01807675714009)	(62, 35.94617722863036)	(64, 35.997681818216435)	(66, 36.03179829425169)	(68, 36.05822453752072)	(70, 36.1225129154118)	(72, 36.10199833066427)	(74, 36.22871514071548)	(76, 35.07102583874851)
NS32_paired_1	(1, 32.767874816404216)	(2, 32.98423114057898)	(3, 33.058427840869776)	(4, 33.05422803355337)	(5, 33.10612491077869)	(6, 36.666974551299894)	(7, 37.01433735242802)	(8, 37.190163012911015)	(9, 37.26948056522609)	(10, 37.319377444747495)	(12, 37.32132510206375)	(14, 37.297781268528524)	(16, 37.294038539432876)	(18, 37.27213202594038)	(20, 37.25140802426674)	(22, 37.2393611508665)	(24, 37.23508815571991)	(26, 37.21303036128644)	(28, 37.20638709802661)	(30, 37.17116293035618)	(32, 37.14586718107405)	(34, 37.11404185101912)	(36, 37.001775137553985)	(38, 36.905801861522676)	(40, 36.63807493411008)	(42, 36.64766517514826)	(44, 36.63551205545764)	(46, 36.58664687646865)	(48, 36.490115259482565)	(50, 36.39765070718432)	(52, 36.37184348930375)	(54, 36.349133222102786)	(56, 36.29413256154319)	(58, 36.258422650255866)	(60, 36.141872000719815)	(62, 36.05483673707972)	(64, 36.06730987044749)	(66, 36.010431712679306)	(68, 36.03667211631452)	(70, 35.96989664549665)	(72, 35.999418803724076)	(74, 36.119164877910364)	(76, 35.10973063404492)
NS32_paired_2	(1, 30.851594231849237)	(2, 32.02536682366696)	(3, 32.26343856412626)	(4, 32.340790246966264)	(5, 32.219877793805175)	(6, 36.61498452592707)	(7, 36.546716065973314)	(8, 36.58958795747351)	(9, 36.62632511719707)	(10, 36.65198148287885)	(12, 36.642721982994125)	(14, 36.64778441521385)	(16, 36.60230033133605)	(18, 36.607402397179314)	(20, 36.49976514664545)	(22, 36.340146898542415)	(24, 36.42998014613771)	(26, 36.42454877419647)	(28, 36.430160623934995)	(30, 36.39716875031506)	(32, 36.337569747610786)	(34, 36.270740230846684)	(36, 36.34810571631134)	(38, 36.30356018481845)	(40, 36.241554411407556)	(42, 36.13713267667281)	(44, 36.14688987989473)	(46, 36.090656004047794)	(48, 35.96311262910412)	(50, 35.93625865474547)	(52, 35.91430583005438)	(54, 35.933309569765754)	(56, 35.889627464540354)	(58, 35.683693508527185)	(60, 35.58103291472027)	(62, 35.52212908716867)	(64, 35.57420134186911)	(66, 35.63786570907558)	(68, 35.674655246391765)	(70, 35.7319309177994)	(72, 35.710862071150174)	(74, 35.888076946251005)	(76, 34.80689407768439)
NS34_paired_1	(1, 32.58341088734195)	(2, 32.76911570838185)	(3, 32.836492589135275)	(4, 36.31491678906456)	(5, 36.241341949014306)	(6, 36.259490607993584)	(7, 36.25990488383705)	(8, 36.25430897925416)	(9, 38.01728248868968)	(10, 38.01353727799331)	(12, 38.01605022421158)	(14, 39.48026519465624)	(16, 39.47144806960023)	(18, 39.48033308877315)	(20, 39.48290576139502)	(22, 39.4558925025261)	(24, 39.43898231234561)	(26, 39.35941508020616)	(28, 39.332856189658074)	(30, 39.30478148146926)	(32, 39.24951669127191)	(34, 39.193594871367154)	(36, 39.1307002589008)	(38, 39.05535220043694)	(40, 38.96293907938248)	(42, 38.87040725161002)	(44, 38.75182996046041)	(46, 38.610251603267145)	(48, 38.443208868377454)	(50, 38.28673710326176)	(52, 38.06925145724141)	(54, 37.847543927316494)	(56, 37.63061740062291)	(58, 37.397528758328036)	(60, 37.11402529179117)	(62, 36.83677549988509)	(64, 36.54988030764975)	(66, 36.23795426880555)	(68, 35.95512723649557)	(70, 35.67223996703767)	(72, 35.39613885586617)	(74, 35.21142034572067)	(76, 34.109248372627114)
NS34_paired_2	(1, 31.636740479234295)	(2, 32.017853835942994)	(3, 31.815069305403522)	(4, 35.628858243209685)	(5, 35.707732829699566)	(6, 35.63616905344527)	(7, 35.67987542980628)	(8, 35.748268798188526)	(9, 37.230369097393854)	(10, 37.43243471209046)	(12, 37.48957925438516)	(14, 38.77788649737196)	(16, 38.707786862264555)	(18, 38.792742782529444)	(20, 38.84510159457325)	(22, 38.78987909585298)	(24, 38.76826960396486)	(26, 38.706901489995104)	(28, 38.59182284669626)	(30, 38.59627228705868)	(32, 38.50270897133777)	(34, 38.44748592286757)	(36, 38.33726180709715)	(38, 38.23232475425)	(40, 38.14304866339298)	(42, 37.92915561080281)	(44, 37.508774283828984)	(46, 37.292172613311706)	(48, 37.12199206286752)	(50, 36.944437279004056)	(52, 36.78476886204128)	(54, 36.65302884115094)	(56, 36.44003293019179)	(58, 36.23181313980987)	(60, 36.01418755446285)	(62, 35.75973187703768)	(64, 35.488244383444226)	(66, 35.24599323165461)	(68, 35.01073252945227)	(70, 34.76325704632201)	(72, 34.57220356363804)	(74, 34.39886829704618)	(76, 32.42333067641306)
NS36_paired_1	(1, 32.608076746794204)	(2, 32.7934648879741)	(3, 32.85628286289017)	(4, 36.32588691987904)	(5, 36.25804734606777)	(6, 36.27412320293364)	(7, 36.275488195231326)	(8, 36.26956164863131)	(9, 38.03668860207315)	(10, 38.03170094940138)	(12, 38.03129741061748)	(14, 39.502907530670505)	(16, 39.48887073674966)	(18, 39.48670910717952)	(20, 39.47861796987297)	(22, 39.44407890860694)	(24, 39.413124898230016)	(26, 39.320326485741035)	(28, 39.27398955494242)	(30, 39.21873166652085)	(32, 39.12827319285661)	(34, 39.02504407056247)	(36, 38.90565462269719)	(38, 38.76231135195292)	(40, 38.591427833717475)	(42, 38.416198649392115)	(44, 38.20964412208014)	(46, 37.97972592332049)	(48, 37.726876989570755)	(50, 37.49393308582829)	(52, 37.21968607242739)	(54, 36.959756806507734)	(56, 36.723653128559775)	(58, 36.49391633005472)	(60, 36.23355906956158)	(62, 35.99480085423893)	(64, 35.762774540504786)	(66, 35.5211988164223)	(68, 35.31009911945554)	(70, 35.1095431716367)	(72, 34.909564390937824)	(74, 34.800841647182054)	(76, 33.73046167247846)
NS36_paired_2	(1, 31.756552399567564)	(2, 32.0411069839043)	(3, 31.96988725763175)	(4, 35.7825431790162)	(5, 35.5293295675819)	(6, 35.71074917544562)	(7, 35.77024109206222)	(8, 35.83976643777184)	(9, 37.48440442724692)	(10, 37.60244603908932)	(12, 37.65434770835822)	(14, 38.982826446818876)	(16, 38.933053163021796)	(18, 38.98751462786117)	(20, 39.001550567020985)	(22, 38.93662102710893)	(24, 38.93616803429448)	(26, 38.856781219093136)	(28, 38.731555462970015)	(30, 38.689329749523885)	(32, 38.555100673447896)	(34, 38.45964047408221)	(36, 38.30533571746534)	(38, 38.1076291572905)	(40, 37.98157055866021)	(42, 37.68012220274113)	(44, 37.180933493059676)	(46, 36.873126997278874)	(48, 36.615937098624826)	(50, 36.35918167825949)	(52, 36.14412691126893)	(54, 35.9683994679377)	(56, 35.7256141065149)	(58, 35.51275673517385)	(60, 35.30544514671897)	(62, 35.07373415352443)	(64, 34.84579830701527)	(66, 34.652614607579956)	(68, 34.47287110138966)	(70, 34.289984222778074)	(72, 34.16259069919671)	(74, 34.0535201341136)	(76, 32.13986330025892)
