feature	Alcaligenaceae	Alicyclobacillaceae	Bacillaceae	Burkholderiaceae	Burkholderiales.unclassified	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	FGB1056	FGB796	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002394	0	0	0	0	0	0	5212045	0	0	0	482	0	0	0	0	0	1528	46077	0	0
SRR20002396	0	1797	6029	45796	206435	0	0	504752	0	12487	0	4246	60540	5354	0	188850	1872120	4565	92861	59745
SRR20002397	40220	0	0	48666	230819	195	0	0	0	0	0	214614	42730	0	0	205321	2073534	0	0	0
SRR20002401	0	0	0	63529	259678	3361	2819	47569	0	0	0	523	61621	0	0	1043505	2713833	686442	2386553	0
SRR20002402	0	0	0	9087	44040	0	0	0	0	0	0	0	0	0	0	33807	496746	0	0	0
SRR20002403	0	0	0	8487	11662	0	0	0	0	0	0	0	0	0	0	0	130785	0	0	0
SRR20002406	0	0	951	3929	24393	0	0	0	0	4382	0	1739	0	0	0	368977	489333	0	0	12441
SRR20002410	0	0	0	6281	29885	0	1536278	0	0	0	0	693	1942	0	0	14613	354597	0	0	0
SRR20002412	0	0	0	18001	50788	0	257654	0	9929	0	7275	23461	4791	240	25189	141759	568706	1380113	73283	0
SRR20002416	413	0	0	246	29687	0	0	0	0	0	0	0	18122	0	0	22647	383457	0	0	0
SRR20002417	0	0	0	0	4201	0	0	0	0	0	0	0	0	0	0	2766	270449	0	0	0
SRR20002419	0	0	0	86860	123860	3359	0	0	13244	0	426	0	26069	4206	0	871415	1212897	1712	0	0
SRR20002420	0	0	0	1283	77236	0	0	0	0	0	0	0	0	0	0	89714	1075756	0	0	0
SRR20002421	0	0	0	728	9044	0	0	0	0	0	0	0	583	0	0	50185	275339	901225	0	0
SRR20002422	0	0	0	38382	108890	150	2063	0	59177	0	189	0	16395	4343	0	3245071	1051242	5752446	103461	0
SRR20002425	0	0	0	105976	355981	9793	0	0	0	0	0	114820	116455	15043	0	348530	3407228	1836	0	0
SRR20002427	0	0	0	8650	37744	0	543651	0	0	0	2606	4577	8343	758	15852434	24669	353502	0	43303	0
SRR20002430	0	0	0	125100	68832	0	1243	0	457	0	0	83357	2893	0	0	562286	3230790	215	16833	0
SRR20002433	0	0	0	53546	199956	126	0	0	48507	0	0	0	69044	8484	0	1875830	2142832	6866	0	0
SRR20002435	0	0	0	0	1077	0	3739397	33432	0	0	7316	0	0	0	0	2251	29550	0	0	659
SRR20002439	0	0	0	0	1604	0	0	0	0	0	0	14039	0	0	0	21449	83659	0	0	0
SRR20002441	0	0	0	0	0	0	0	14712130	0	579	4187	0	0	0	4544	0	16178	70836	0	1570
SRR20002442	0	0	0	46187	316936	0	0	0	0	0	0	0	59022	4757	0	110275	2557292	0	0	0
SRR20002443	0	0	0	39194	101326	0	2188853	0	51147	0	0	986	24311	1279	2837	736350	1015275	734123	0	0
SRR20002446	105417	0	0	3005	28904	0	772	0	1057	0	0	23347	0	0	0	459963	471313	563871	1519423	0
SRR20002448	0	0	0	55477	215914	0	0	0	0	0	0	24364	56213	3718	0	537974	2106672	69667	542162	0
SRR20002450	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18265	6838	2309697	0	0
SRR20002455	0	0	0	69822	233110	0	0	0	3657	0	0	0	75659	3980	0	571413	2302132	0	0	0
SRR20002456	0	0	0	10626	99879	0	0	0	0	0	26997	0	8657	0	0	26814	1427769	0	0	0
SRR20002459	0	0	0	18371	105348	0	0	0	0	0	0	0	96148	0	0	63323	1065751	1169435	0	0
SRR20002464	0	0	738	8792	60937	0	0	0	0	3380	0	0	0	0	0	41720	490472	0	0	11002
SRR20002465	0	0	0	10409	26475	0	7919744	0	0	0	0	0	1972	401	204436	26291	253008	0	13416	0
SRR20002466	0	0	0	21822	159921	0	0	0	0	0	0	0	18633	0	0	195651	1560163	1770874	0	0
SRR20002468	12006	0	0	0	0	0	4024265	1682606	0	0	0	0	0	0	33272	0	135	29043	0	0
SRR20002473	0	0	0	14182	49217	315	370	0	252	0	0	0	7020	1286	0	43080	518072	9697682	34127	0
SRR20002474	14070	0	0	106307	216530	0	0	0	0	0	0	227096	24599	0	0	225144	2324627	50650	18172	0
SRR20002475	35135	0	0	95702	273010	16740	0	4914	9309	0	0	0	58309	0	0	751055	2976174	22178	403824	0
SRR20002477	0	1818	1479	39472	168600	0	23486	0	0	0	0	7561	31708	0	0	209681	1551735	0	25208	19564
SRR20002478	0	0	0	5680	19881	0	0	0	0	0	0	0	0	0	0	35137	472283	0	0	7523
SRR20002479	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	3269	48978	277729	0	0
SRR20002481	0	0	0	0	0	0	0	0	0	5964	0	0	0	0	0	0	27892	0	0	18991
SRR20002482	0	0	602	4047	30452	0	0	0	0	5517	0	0	0	0	0	35930	343580	0	0	7572
SRR20002486	0	0	0	19667	67848	0	0	0	0	0	0	344	7022	0	0	114199	644601	0	0	0
SRR20002487	0	1652	7152	36474	114403	1146	0	0	0	19506	0	0	27299	0	0	281674	2052228	0	0	43658
