#Classification	S-3-POLJUN-G_bracken_O.kreport
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	1424
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	23
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	80
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	5793
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	1637
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Arecales	2444
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asparagales	54
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Dioscoreales	876
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Ranunculales	105
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	74
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Nymphaeales	297
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	164
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	141
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae|o__Chlamydomonadales	141
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	23
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae|o__Mamiellales	23
k__Eukaryota|k__Metazoa	20811
k__Eukaryota|k__Metazoa|p__Chordata	20811
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	20811
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	20811
k__Eukaryota|k__Fungi	3057
k__Eukaryota|k__Fungi|p__Ascomycota	2850
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1012
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	526
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	153
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	293
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales	39
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	451
