feature	Alcaligenaceae	Alicyclobacillaceae	Bacillaceae	Burkholderiaceae	Burkholderiales.unclassified	Comamonadaceae	Corynebacteriaceae	Enterobacteriaceae	FGB796	Lactobacillaceae	Lawsonellaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae
SRR20002430	0	0	0	115908	48367	0	4668	0	0	0	914	82246	692	0	0	624424	3067548	663	24678	0
SRR20002433	0	0	0	45338	187536	131	0	0	0	0	35567	0	62942	1547	0	1923722	2100761	3295	0	0
SRR20002435	0	0	0	0	538	0	3718996	22557	0	5206	0	0	0	0	0	1923	30239	0	0	641
SRR20002439	0	0	0	0	1924	0	0	0	0	0	0	15293	0	0	0	17492	89088	0	0	0
SRR20002441	0	0	0	0	0	0	0	14751388	714	3981	0	0	0	0	4016	0	16516	59186	0	1488
SRR20002442	0	0	0	41551	306995	0	0	0	0	0	0	0	58482	2975	0	117842	2639767	0	0	0
SRR20002443	0	0	0	58183	111815	0	1178462	0	0	0	69964	463	20515	1335	544	901099	1295029	865665	0	0
SRR20002446	82114	0	0	2199	25000	0	135805	0	0	0	563	15625	0	0	0	403869	406679	453655	1630956	0
SRR20002448	0	0	0	59625	218642	0	0	0	0	0	0	18286	51903	7313	0	557292	2132562	67933	756607	0
SRR20002450	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21082	6433	2086804	0	0
SRR20002455	0	0	0	70612	252924	156	0	0	0	0	4310	0	66088	5536	0	624372	2380357	0	0	0
SRR20002456	0	0	0	10112	94904	0	0	0	0	33456	0	0	12989	0	0	47040	1538364	0	0	0
SRR20002459	0	0	0	13628	95001	0	0	0	0	0	0	0	106761	0	0	70458	1096118	1107543	0	0
SRR20002464	0	0	749	8214	56489	0	0	0	3786	0	0	0	0	0	0	42321	531979	0	0	12553
SRR20002465	0	0	0	8755	25416	0	7748946	0	0	0	0	0	2902	0	211684	26355	249920	0	13392	0
SRR20002466	0	0	0	18492	184598	0	0	0	0	0	0	0	30480	0	0	193333	1578592	1681998	0	0
SRR20002468	9602	0	0	0	0	0	3276404	1816574	0	0	0	0	0	0	34985	0	96	32267	0	0
SRR20002473	0	0	0	12184	49749	0	667	0	0	0	386	0	7161	294	0	46271	545865	8808206	37992	0
SRR20002474	11232	0	0	110961	218405	0	0	0	0	0	0	226699	39148	0	0	228403	2460594	44674	21556	0
SRR20002475	27986	0	0	72373	259222	16313	0	78510	0	0	6440	0	46781	0	0	712730	2676440	20147	628441	0
SRR20002477	0	1938	1295	38385	163874	0	13406	0	0	0	0	5248	29442	0	0	201902	1522104	0	7634	20489
SRR20002478	0	0	0	6764	24312	0	0	0	0	0	0	0	1058	0	0	42110	454667	0	0	9427
SRR20002479	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	2826	54285	264327	0	0
SRR20002481	0	0	0	0	0	0	0	0	5014	0	0	0	0	0	0	0	24641	0	0	20165
SRR20002482	0	0	524	4444	31163	0	0	0	5575	0	0	0	0	0	0	39107	349559	0	0	8131
SRR20002486	0	0	0	17298	64500	0	0	0	0	0	0	402	10215	0	0	96633	651427	0	0	0
SRR20002487	0	2292	9275	56353	146482	588	0	0	25102	0	0	0	36006	0	0	407333	1610100	144	0	59530
