feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Bifidobacteriaceae	Burkholderiaceae	Burkholderiales.fam..incertae.sedis	Chlorobi.fam..incertae.sedis	Comamonadaceae	Corynebacteriaceae	Corynebacteriales.fam..incertae.sedis	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Micrococcaceae	Moraxellaceae	Oxalobacteraceae	Pasteurellaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002382	0	0	0.00975609756097561	0	0.0475609756097561	0.0146341463414634	0.074390243902439	0	0	0	0	0	0	0	0.0182926829268293	0.0524390243902439	0.0134146341463415	0	0	0.113414634146341	0.445121951219512	0	0	0.00853658536585366	0.0195121951219512	0.182926829268293	0
SRR20002384	0	0	0.00292682926829268	0	0.00682926829268293	0.00195121951219512	0.00780487804878049	0	0.84390243902439	0	0	0	0	0	0	0.00975609756097561	0	0	0	0.0185365853658537	0.0858536585365854	0	0	0.00195121951219512	0	0.0204878048780488	0
SRR20002386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434782608695652	0	0	0	0.217391304347826	0.739130434782609	0	0	0	0	0	0
SRR20002388	0	0	0.00833333333333333	0	0.0416666666666667	0.0125	0.00833333333333333	0.0208333333333333	0	0	0	0	0	0	0.025	0.0708333333333333	0.0583333333333333	0	0	0.108333333333333	0.55	0.025	0	0	0	0.0708333333333333	0
SRR20002391	0	0.0078125	0	0	0.0358455882352941	0.0128676470588235	0	0.00137867647058824	0.0128676470588235	0.00965073529411765	0	0	0.00275735294117647	0	0.00919117647058824	0.0625	0.00689338235294118	0	0	0.353400735294118	0.464154411764706	0.0137867647058824	0.00229779411764706	0.00229779411764706	0.00229779411764706	0	0
SRR20002394	0	0	0	0	0	0	0	0	0.973947025618758	0	0	0	0	0	0	0	0	0	0	0	0.00781589231437256	0	0	0.0130264871906209	0.00347372991749891	0.00173686495874946	0
SRR20002396	0	0	0.00286123032904149	0	0.0371959942775393	0.011444921316166	0.00715307582260372	0.0128755364806867	0.00429184549356223	0	0	0.25035765379113	0	0	0.011444921316166	0.0472103004291846	0.00572246065808298	0	0	0.0371959942775393	0.456366237482117	0	0.00715307582260372	0.0100143061516452	0.0357653791130186	0.055793991416309	0.00715307582260372
SRR20002397	0	0.0235756385068762	0	0	0.0530451866404715	0.0432220039292731	0	0.00589390962671906	0.0196463654223969	0	0.00785854616895874	0	0	0	0.0667976424361493	0.0392927308447937	0	0	0	0.0923379174852652	0.611001964636542	0	0	0.037328094302554	0	0	0
SRR20002401	0	0.000874125874125874	0	0	0.0157342657342657	0.00174825174825175	0	0	0.00437062937062937	0.000874125874125874	0.00524475524475524	0.00815850815850816	0	0	0.00174825174825175	0.0221445221445221	0.00903263403263403	0	0	0.0638111888111888	0.138986013986014	0	0.0034965034965035	0.0541958041958042	0.668414918414918	0.00116550116550117	0
SRR20002402	0	0	0	0	0.126760563380282	0	0	0	0	0	0	0	0	0	0	0.0845070422535211	0	0	0	0.112676056338028	0.676056338028169	0	0	0	0	0	0
SRR20002403	0	0.0952380952380952	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0
SRR20002406	0	0	0.0066006600660066	0	0.0396039603960396	0	0.0165016501650165	0	0.0066006600660066	0.0066006600660066	0	0	0	0	0.0198019801980198	0.0066006600660066	0	0	0	0.231023102310231	0.590759075907591	0.0066006600660066	0	0.0066006600660066	0.0099009900990099	0.0495049504950495	0.0033003300330033
SRR20002410	0.0077639751552795	0.0046583850931677	0	0	0.0139751552795031	0.0062111801242236	0	0	0.729813664596273	0.0077639751552795	0.0062111801242236	0	0	0	0.0015527950310559	0.0279503105590062	0	0.0062111801242236	0	0.0077639751552795	0.178571428571429	0	0	0.0015527950310559	0	0	0
SRR20002412	0.0156716417910448	0	0	0.101492537313433	0.0134328358208955	0.00373134328358209	0	0	0.0619402985074627	0.00447761194029851	0	0.00223880597014925	0	0.00447761194029851	0.00970149253731343	0.00298507462686567	0.00223880597014925	0.00223880597014925	0.0126865671641791	0.0350746268656716	0.107462686567164	0	0.00223880597014925	0.432089552238806	0.185820895522388	0	0
SRR20002416	0	0.0434782608695652	0	0	0.0434782608695652	0.0144927536231884	0	0	0	0	0	0	0	0	0	0.144927536231884	0	0	0	0.0579710144927536	0.695652173913043	0	0	0	0	0	0
SRR20002417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0.1875	0.645833333333333	0	0	0	0	0	0
SRR20002419	0	0.00980392156862745	0	0	0.0549019607843137	0.00784313725490196	0	0	0	0.00784313725490196	0.00588235294117647	0	0.00784313725490196	0.0117647058823529	0.00784313725490196	0.0215686274509804	0.0196078431372549	0	0	0.307843137254902	0.517647058823529	0	0	0.0176470588235294	0.00196078431372549	0	0
SRR20002420	0	0	0	0	0.0339805825242718	0.0339805825242718	0	0	0	0.0339805825242718	0	0	0	0	0.00970873786407767	0.0970873786407767	0	0	0	0.0922330097087379	0.699029126213592	0	0	0	0	0	0
SRR20002421	0	0.0277008310249307	0	0	0	0.0221606648199446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249307479224377	0.213296398891967	0	0	0.700831024930748	0.0110803324099723	0	0
SRR20002422	0.00186741363211951	0	0	0	0.00466853408029879	0.00233426704014939	0	0.00396825396825397	0.00373482726423903	0.00513538748832866	0.00186741363211951	0	0.000933706816059757	0	0.00233426704014939	0.0053688141923436	0.00210084033613445	0.00163398692810458	0	0.266573295985061	0.100606909430439	0	0.000933706816059757	0.585434173669468	0.00957049486461251	0.000700280112044818	0.000233426704014939
SRR20002425	0	0.0136612021857923	0	0	0.0683060109289618	0.0245901639344262	0	0.00683060109289617	0	0	0	0	0	0	0.0368852459016393	0.0573770491803279	0.0218579234972678	0	0	0.0806010928961749	0.631147540983607	0.0218579234972678	0	0.0327868852459016	0	0.0040983606557377	0
SRR20002427	0.000477270015511275	0	0	0.0118124328839041	0.00119317503877819	0.000835222527144732	0	0	0.0332895835819115	0	0.000835222527144732	0	0	0.00178976255816728	0.000835222527144732	0.000954540031022551	0.000835222527144732	0	0.913852762200215	0.00286362009306765	0.024340770791075	0	0	0	0.00608519269776876	0	0
SRR20002430	0	0	0	0	0.0520361990950226	0.00301659125188537	0	0	0.055052790346908	0.00678733031674208	0.0218702865761689	0.00377073906485671	0	0	0.0339366515837104	0.0218702865761689	0	0.0354449472096531	0	0.129713423831071	0.507541478129713	0	0	0.0633484162895928	0.0656108597285068	0	0
SRR20002433	0	0	0	0	0.0661985957873621	0.0260782347041123	0	0.0170511534603811	0	0.0280842527582748	0	0.00601805416248746	0	0.00802407221664995	0	0.0270812437311936	0.0240722166499498	0	0	0.323971915747242	0.462387161484453	0	0.00401203610832497	0.00702106318956871	0	0	0
SRR20002435	0	0	0.000462748727441	0	0.000925497454881999	0	0.000925497454881999	0	0.956038870893105	0.001388246182323	0	0.01850994909764	0	0.003701989819528	0	0.001388246182323	0	0	0	0.001388246182323	0.011105969458584	0	0	0.000925497454881999	0	0.003239241092087	0
SRR20002439	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0.166666666666667	0.611111111111111	0	0	0	0	0	0
SRR20002441	0.000236016049091338	0	0	0.000708048147274015	0	0	0.000236016049091338	0	0.000472032098182676	0	0	0.986075053103611	0	0.00141609629454803	0	0	0	0	0.00141609629454803	0.000236016049091338	0.00212414444182204	0	0	0.00637243332546613	0	0.000708048147274015	0
SRR20002442	0	0	0	0	0.0505494505494506	0.0373626373626374	0	0	0.0131868131868132	0	0	0	0	0	0	0.0527472527472527	0.0175824175824176	0	0	0.0593406593406593	0.769230769230769	0	0	0	0	0	0
SRR20002443	0	0	0	0	0.0208473436449227	0.0047074646940148	0	0	0.437121721587088	0.0121049092131809	0	0.000672494956287828	0	0.00672494956287828	0.00268997982515131	0.00941492938802959	0.00806993947545393	0	0.00672494956287828	0.168123739071957	0.153328850033625	0	0	0.169468728984533	0	0	0
SRR20002446	0.00529450694904037	0.0390469887491727	0	0	0.0211780277961615	0.00132362673726009	0	0	0.0377233620119126	0.00264725347452019	0	0	0	0	0.00330906684315023	0.00661813368630046	0.00198544010589014	0	0	0.0741230972865652	0.0992720052945069	0	0	0.14427531436135	0.559894109861019	0	0.00330906684315023
SRR20002448	0	0	0	0	0.0141376060320452	0.000942507068803016	0	0	0	0.00282752120640905	0	0.00282752120640905	0	0.0122525918944392	0.0405278039585297	0.0414703110273327	0.0169651272384543	0.17813383600377	0	0.0951932139491046	0.354382657869934	0	0	0.0292177191328935	0.210179076343073	0.000942507068803016	0
SRR20002450	0	0.00293685756240822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734214390602056	0.00881057268722467	0	0	0.980910425844347	0	0	0
SRR20002455	0	0	0	0	0.0724409448818898	0.0299212598425197	0	0.0220472440944882	0	0.0188976377952756	0.0204724409448819	0	0	0	0	0.0598425196850394	0.0015748031496063	0	0	0.15748031496063	0.55748031496063	0	0.0377952755905512	0.0110236220472441	0.0110236220472441	0	0
SRR20002456	0	0	0	0	0.071969696969697	0.0265151515151515	0	0	0	0	0	0	0	0.0227272727272727	0.00378787878787879	0.053030303030303	0.071969696969697	0	0	0.053030303030303	0.696969696969697	0	0	0	0	0	0
SRR20002459	0	0	0	0	0.0391517128874388	0.0130505709624796	0	0	0	0	0	0	0	0	0.0114192495921697	0.0766721044045677	0	0	0	0.0424143556280587	0.352365415986949	0	0	0.464926590538336	0	0	0
SRR20002464	0	0	0.0130718954248366	0.0196078431372549	0.0326797385620915	0.0261437908496732	0.0392156862745098	0.0130718954248366	0.0065359477124183	0	0	0	0	0	0	0.0196078431372549	0	0	0.0261437908496732	0.065359477124183	0.61437908496732	0.0326797385620915	0	0	0	0.0915032679738562	0
SRR20002465	0	0.00294736842105263	0	0.0105263157894737	0.00547368421052632	0.00210526315789474	0	0	0.881263157894737	0.000842105263157895	0.00210526315789474	0	0.000842105263157895	0	0	0.00126315789473684	0.00252631578947368	0	0.0328421052631579	0.00547368421052632	0.0446315789473684	0	0	0	0.0071578947368421	0	0
SRR20002466	0.0151821862348178	0.0253036437246964	0	0	0.0303643724696356	0.00708502024291498	0	0	0	0	0	0	0	0.00202429149797571	0	0.0192307692307692	0	0	0	0.0495951417004049	0.390688259109312	0	0	0.456477732793522	0	0.00404858299595142	0
SRR20002468	0	0.00132567388422448	0	0	0	0	0	0	0.676977463543968	0	0	0.310207688908529	0	0	0	0	0	0	0.00353513035793195	0	0.000441891294741494	0	0	0.00574458683163942	0.00176756517896597	0	0
SRR20002473	0.000730593607305936	0	0	0	0.00310502283105023	0.000730593607305936	0	0	0.000547945205479452	0.00127853881278539	0	0	0	0	0.000730593607305936	0.00146118721461187	0.00146118721461187	0	0	0.00273972602739726	0.0357990867579909	0	0	0.937534246575342	0.0138812785388128	0	0
SRR20002474	0	0.0323809523809524	0	0	0.0342857142857143	0.00571428571428571	0	0.019047619047619	0	0.00952380952380952	0.00952380952380952	0	0	0	0.0685714285714286	0.0266666666666667	0.0380952380952381	0	0	0.0666666666666667	0.645714285714286	0	0	0.0342857142857143	0.00952380952380952	0	0
SRR20002475	0.0010482180293501	0.0178197064989518	0	0	0.0377358490566038	0.019916142557652	0	0.0209643605870021	0.00838574423480084	0.0157232704402516	0	0.0314465408805031	0.00209643605870021	0	0.010482180293501	0.0262054507337526	0	0	0	0.131027253668763	0.457023060796646	0	0	0.019916142557652	0.186582809224319	0	0.0136268343815514
SRR20002477	0.00669642857142857	0	0.00446428571428571	0	0.0513392857142857	0.00892857142857143	0.00669642857142857	0	0.0491071428571429	0	0	0	0	0.0111607142857143	0.0446428571428571	0.0602678571428571	0.0267857142857143	0	0	0.0825892857142857	0.508928571428571	0	0.00223214285714286	0.03125	0.0691964285714286	0.0357142857142857	0
SRR20002478	0	0	0.0120481927710843	0	0.0120481927710843	0	0	0.0120481927710843	0.0120481927710843	0	0	0	0	0.0180722891566265	0	0.0180722891566265	0	0	0	0.0421686746987952	0.813253012048193	0	0	0	0	0.0602409638554217	0
SRR20002479	0	0	0	0	0.0170940170940171	0	0	0	0	0	0	0	0	0	0.0170940170940171	0	0	0	0	0.0256410256410256	0.128205128205128	0	0	0.803418803418803	0	0.00854700854700855	0
SRR20002481	0	0	0	0	0	0	0.0588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0.117647058823529	0.529411764705882	0	0	0	0	0.294117647058824	0
SRR20002482	0	0	0.0147058823529412	0	0.0367647058823529	0.0147058823529412	0.0514705882352941	0	0.00735294117647059	0	0	0	0	0	0.0294117647058824	0.0294117647058824	0.0294117647058824	0	0	0.0661764705882353	0.558823529411765	0	0.0294117647058824	0	0	0.132352941176471	0
SRR20002486	0.0232558139534884	0	0	0	0.0465116279069767	0.0348837209302326	0	0.0290697674418605	0	0	0	0	0	0	0.116279069767442	0.0290697674418605	0	0	0	0.11046511627907	0.563953488372093	0.0232558139534884	0	0.0232558139534884	0	0	0
SRR20002487	0	0	0.00419727177334732	0	0.0157397691500525	0.00419727177334732	0.0104931794333683	0	0	0.00209863588667366	0	0	0	0	0	0.0293809024134313	0.00314795383001049	0	0	0.0608604407135362	0.785939139559287	0.018887722980063	0	0.00944386149003148	0	0.0503672612801679	0.00524658971668416
