feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS34	0	0	21	33	1	0	2	2431	3	0	146	0	8	0	0	443	10	32	2	1	2	0	570	29	0	0	30	104	60	105	76	0	0	0	4	0	19	751	0	0	39	16	0	127	50	0	80	22	115	268	0	0	2	0	166	18	26
NS36	0	0	0	881	0	0	33	631	48	55	130	0	0	0	0	148	6	5	290	0	11	21	878	78	5	45	16	1	24	92	97	0	0	0	2	0	35	357	1	0	25	89	0	15	29	0	5	1	567	1128	0	0	1	1	100	0	1
NS38	0	0	0	549	0	0	12	820	22	23	1115	0	0	0	1	350	12	9	0	3	13	0	592	65	0	11	45	10	42	370	0	18	1	0	0	2	15	428	12	1	20	36	2	0	6	0	0	0	158	977	0	0	5	4	67	0	45
NS39	0	0	1	15	0	0	237	364	6	13	326	0	0	0	2	549	9	0	150	2	11	0	434	35	4	3	11	1	72	120	15	0	0	0	0	0	285	528	0	0	12	81	9	0	1	0	0	123	123	2046	34	0	8	3	20	0	206
NS4	0	0	0	0	0	0	8	1002	0	0	255	0	0	0	0	123	0	0	0	0	10	3	361	10	0	3	0	23	3	1151	0	0	0	0	0	15	2	1414	0	0	3	26	24	1	4	0	0	1	38	1144	0	0	17	173	16	0	35
NS40	12	0	1	0	34	0	4	133	0	25	350	0	0	0	0	135	0	0	0	0	10	13	1081	60	0	0	15	1	28	147	0	0	0	0	1	0	8	961	67	0	4	116	0	4	0	0	4	127	84	2346	20	0	4	2	42	0	25
NS41	12	0	0	11	0	0	0	421	4	39	28	0	2	0	0	275	7	0	0	0	3	4	540	13	1	0	0	0	19	27	0	0	0	0	0	31	116	960	20	0	9	151	1	0	3	0	2	1859	219	951	12	0	4	25	85	0	9
NS46	0	1	1	8	0	0	11	356	5	0	230	0	0	0	6	370	10	3	498	4	8	34	553	0	0	3	113	7	62	219	0	0	1	0	0	0	39	1227	2	0	8	23	0	7	20	0	7	20	50	1858	0	1	0	1	5	0	45
NS51	0	0	0	0	0	0	0	62	0	1	634	3	0	0	0	237	2	0	0	0	17	33	313	169	0	0	27	19	18	388	1	0	0	0	4	0	15	2210	10	0	0	3	1	27	268	1	24	2	3	1310	0	0	49	0	1	3	5
NS55	0	0	1	1	0	0	341	129	0	0	93	0	0	0	0	126	0	0	0	0	21	53	436	49	0	0	9	3	30	272	0	0	0	0	1	0	10	3153	0	0	0	13	0	0	28	0	0	0	2	1066	0	0	17	1	0	1	9
NS58	2	0	5	0	0	3	151	1	0	0	188	1	0	2	0	41	0	0	0	2	67	41	807	57	0	0	10	0	74	48	0	0	0	0	0	0	0	3937	0	0	0	0	2	1	108	0	0	18	0	215	0	0	77	0	1	0	1
NS6	0	0	0	1	0	0	41	1597	0	0	0	0	0	0	0	197	2	2	138	0	25	56	469	41	0	2	3	0	3	211	0	0	0	0	2	0	13	1840	1	0	24	31	0	75	18	0	38	13	287	599	0	0	7	1	107	14	7
NS62	0	0	3	41	0	0	32	27	0	0	181	0	0	0	1	273	5	1	0	0	26	0	589	0	0	0	29	0	20	163	2	0	8	0	1	5	25	2978	0	0	0	0	0	2	29	0	0	0	57	1344	0	0	19	2	1	0	1
NS67	0	2	5	18	0	0	2	26	0	0	482	0	0	0	0	249	51	0	0	0	4	174	780	68	0	3	18	6	13	78	0	0	6	0	0	0	72	970	58	0	0	2	0	11	23	0	0	29	0	1715	0	1	7	0	3	0	987
NS7	0	0	8	0	0	1	9	30	0	0	853	0	0	0	0	101	1	0	0	8	9	10	327	167	0	2	2	0	30	232	5	0	0	0	0	0	10	1194	321	1	0	35	2	0	593	0	0	328	97	1290	16	0	63	10	3	0	106
NS70	4	2	2	0	0	0	88	50	0	0	381	4	0	0	0	189	2	0	0	3	55	0	315	130	0	1	5	0	13	533	0	0	0	0	1	0	74	2587	0	0	0	8	1	0	33	2	0	473	0	776	0	0	123	1	4	0	5
NS71	0	1	3	178	0	1	0	155	0	0	534	0	0	1	0	301	11	0	1	0	76	12	1540	73	0	0	55	0	83	293	34	1	0	0	5	0	98	1173	2	0	1	406	0	0	261	0	0	4	8	504	0	0	28	0	5	0	0
NS72	0	1	23	6	3	0	131	1	0	0	1350	0	0	1	0	295	55	0	0	0	85	8	203	243	0	0	46	1	111	382	0	0	2	2	0	0	34	1404	537	1	0	1	0	1	9	0	0	26	1	714	27	2	125	0	0	0	32
NS77	231	0	4	0	0	0	26	632	2	16	58	0	0	0	1	294	17	0	0	3	4	18	571	54	0	3	3	75	4	194	0	3	0	0	1	0	338	922	0	0	10	321	0	0	2	0	0	825	105	990	0	0	31	36	70	0	1
NS78	0	0	1	0	17	0	14	2	0	0	508	0	0	0	0	583	0	0	0	4	80	47	602	71	2	0	10	0	465	385	0	4	0	114	0	0	515	1572	5	1	0	4	0	0	120	0	0	27	3	495	0	2	134	0	1	0	75
NS79	0	0	0	0	0	0	91	127	0	0	696	4	0	0	0	120	0	0	0	19	65	48	863	75	0	0	4	0	1	408	28	0	0	0	0	0	97	1628	0	0	1	18	0	0	3	1	0	0	28	1510	0	0	8	12	3	0	0
NS81	0	0	0	0	0	1	68	7	0	0	196	3	0	1	0	60	11	0	1	0	48	119	291	0	0	0	17	0	44	346	0	0	12	0	2	0	1	2548	2	0	0	1	0	1	255	6	0	0	2	1720	0	0	42	0	1	0	53
NS83	51	0	2	24	0	0	77	68	0	2	177	0	0	0	2	229	8	1	0	9	80	2	631	236	0	0	35	3	391	214	0	1	0	0	0	16	42	1431	47	0	1	175	1	0	116	1	0	82	26	1556	0	0	114	6	8	0	0
NS86	0	0	3	0	5	1	17	4	0	1	203	0	0	1	0	179	0	0	20	7	17	17	1493	53	0	0	1	4	10	110	0	1	0	0	1	5	57	1935	26	0	0	13	1	0	31	0	0	29	9	1497	0	2	55	0	1	0	56
NS9	0	0	0	0	0	0	15	449	0	1	5	0	0	0	0	102	2	0	0	1	22	61	465	41	0	3	4	2	20	833	32	1	0	0	3	2	80	1656	0	0	33	29	0	0	15	0	1	511	318	1047	1	0	42	0	68	0	0
