Taxon	coef	adj.p	taxRank	dataset	database	DAA_tool
Panacibacter ginsenosidivorans	-0.00446151542417269	4.64198245559753e-8	Species	Moss	KB20	MaAsLin2
Bradyrhizobium lablabi	-0.0423423826886693	5.25061537155425e-8	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. 144s4	-0.0267460308454916	5.78013404919533e-8	Species	Moss	KB20	MaAsLin2
Rhizobium sp. B21.90	0.128266100935755	5.78013404919533e-8	Species	Moss	KB20	MaAsLin2
Mycobacterium intracellulare	-0.0233789518547176	1.10214622523279e-7	Species	Moss	KB20	MaAsLin2
Bradyrhizobium septentrionale	-0.0136537026506528	2.39756321039699e-7	Species	Moss	KB20	MaAsLin2
Glaciihabitans sp. Inwt7	-0.00465830344409001	2.72282998598095e-7	Species	Moss	KB20	MaAsLin2
Methylorubrum extorquens	0.0246238542777111	3.48885185579802e-7	Species	Moss	KB20	MaAsLin2
Humisphaera borealis	-0.00296900900578211	4.16288998074455e-7	Species	Moss	KB20	MaAsLin2
Mucilaginibacter gotjawali	-0.00598492612148514	4.25187569889287e-7	Species	Moss	KB20	MaAsLin2
Caulobacter sp. S6	-0.0118765097055542	4.37531521973648e-7	Species	Moss	KB20	MaAsLin2
Sorangium cellulosum	-0.0133666287774469	4.57617689437351e-7	Species	Moss	KB20	MaAsLin2
Paraburkholderia xenovorans	-0.0719048238679182	8.88906514233698e-7	Species	Moss	KB20	MaAsLin2
Bradyrhizobium betae	-0.0158655536301101	1.22342912126119e-6	Species	Moss	KB20	MaAsLin2
Streptacidiphilus sp. P02.A3a	-0.0226105672069914	1.66781638776446e-6	Species	Moss	KB20	MaAsLin2
Ahniella affigens	-0.00625013464240671	1.94334920570208e-6	Species	Moss	KB20	MaAsLin2
Urbifossiella limnaea	-0.00490846001609854	2.09243265536063e-6	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. 113.3.9	-0.00691446303038464	2.66231200903911e-6	Species	Moss	KB20	MaAsLin2
Granulicella tundricola	0.0176346559932227	2.86850615513239e-6	Species	Moss	KB20	MaAsLin2
Mycobacterium cookii	-0.0218806572705703	3.01334581441043e-6	Species	Moss	KB20	MaAsLin2
Rhizobium sp. L51.94	0.187288816899643	3.0540216501934e-6	Species	Moss	KB20	MaAsLin2
Methylovirgula ligni	-0.00645068351896106	3.05621627599971e-6	Species	Moss	KB20	MaAsLin2
Bradyrhizobium erythrophlei	-0.031115286772069	3.62113789799579e-6	Species	Moss	KB20	MaAsLin2
Bradyrhizobium paxllaeri	-0.00528906143516207	4.519066072731e-6	Species	Moss	KB20	MaAsLin2
Mucilaginibacter mallensis	-0.0146214632351564	4.519066072731e-6	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Pamc26645	0.045486207681375	5.69229450787179e-6	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. 113.1.2	-0.00719980005396037	7.54916707968368e-6	Species	Moss	KB20	MaAsLin2
Sphingomonas panacis	0.0137222116721441	7.5878708635873e-6	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. S2.20.1	-0.00529350870008888	9.77745839723817e-6	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. 323s2	-0.0130030370187579	1.1752715492271e-5	Species	Moss	KB20	MaAsLin2
Bradyrhizobium cosmicum	-0.00626970942732238	1.18776488069792e-5	Species	Moss	KB20	MaAsLin2
Opitutus sp. Gas368	-0.00427922252636587	1.85352089598689e-5	Species	Moss	KB20	MaAsLin2
Mucilaginibacter gossypii	-0.0165470959095752	1.91245282705708e-5	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.51753	-0.00553447064664551	2.62702395930417e-5	Species	Moss	KB20	MaAsLin2
Conexibacter woesei	-0.0247101476041164	3.63609940247761e-5	Species	Moss	KB20	MaAsLin2
Mycobacterium paraintracellulare	-0.0205813092813248	3.65378844278623e-5	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. Nzp2077	-0.00647573557761839	3.76159134114106e-5	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. S2.11.2	-0.00523043276968092	3.83703550328679e-5	Species	Moss	KB20	MaAsLin2
Frigoriglobus tundricola	-0.0240632784353062	4.30645851940782e-5	Species	Moss	KB20	MaAsLin2
Labrys sp. Knu.23	-0.00448002252277906	4.30645851940782e-5	Species	Moss	KB20	MaAsLin2
Sphingomonas insulae	0.00957533135685578	4.30645851940782e-5	Species	Moss	KB20	MaAsLin2
Acidisarcina polymorpha	-0.0456214414464095	4.36049980042676e-5	Species	Moss	KB20	MaAsLin2
Bradyrhizobium oligotrophicum	-0.00715776284163117	5.34900777943296e-5	Species	Moss	KB20	MaAsLin2
Agrobacterium vitis	0.00966273837318249	5.3756833473737e-5	Species	Moss	KB20	MaAsLin2
Ktedonosporobacter rubrisoli	-0.00398447160832438	5.49416220186421e-5	Species	Moss	KB20	MaAsLin2
Sphingomonas paucimobilis	0.0166968115844682	5.82370766181523e-5	Species	Moss	KB20	MaAsLin2
Actinoplanes derwentensis	-0.00975225981649069	6.55216844893148e-5	Species	Moss	KB20	MaAsLin2
Hymenobacter sp. Brd128	0.00635343520176834	6.99288187083749e-5	Species	Moss	KB20	MaAsLin2
Mesorhizobium loti	-0.043554536400198	7.78407619290764e-5	Species	Moss	KB20	MaAsLin2
Paraburkholderia aromaticivorans	-0.037984853741377	1.4743035043966e-4	Species	Moss	KB20	MaAsLin2
Paraburkholderia graminis	-0.00634045383168293	1.4743035043966e-4	Species	Moss	KB20	MaAsLin2
Sandaracinus amylolyticus	-0.00284994490303399	1.8150694224852e-4	Species	Moss	KB20	MaAsLin2
Mucilaginibacter ginsenosidivorans	-0.00469129118680997	1.861542482028e-4	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. 6.2017.	-0.00657813512398359	2.1802039168851e-4	Species	Moss	KB20	MaAsLin2
Actinoplanes sp. N902.109	-0.0117574827747934	2.3165622648718e-4	Species	Moss	KB20	MaAsLin2
Ferruginibacter lapsinanis	-0.00217506238813785	2.580659175478e-4	Species	Moss	KB20	MaAsLin2
Limnoglobus roseus	-0.00526683066039349	2.6364705861073e-4	Species	Moss	KB20	MaAsLin2
Baekduia soli	-0.0171591900482973	2.6599805342663e-4	Species	Moss	KB20	MaAsLin2
Ferruginibacter sp. Kis38.8	-0.00223805505794782	2.7423960201599e-4	Species	Moss	KB20	MaAsLin2
Pseudonocardia sp. Dsm.110487	-0.00657593102301305	2.9512034592322e-4	Species	Moss	KB20	MaAsLin2
Bosea sp. Pamc.26642	-0.00365193624769539	3.0977525123291e-4	Species	Moss	KB20	MaAsLin2
Tardiphaga sp. vice304	-0.0123363792827458	3.0977525123291e-4	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.53338	-0.00902423337190102	3.103054364326e-4	Species	Moss	KB20	MaAsLin2
Luteibacter rhizovicinus	-0.0632899049178159	3.103054364326e-4	Species	Moss	KB20	MaAsLin2
Mycobacterium sp. Ty59	-0.00644901515344225	3.103054364326e-4	Species	Moss	KB20	MaAsLin2
Calothrix sp. Pcc.7716	-0.00251469124138306	3.112232225111e-4	Species	Moss	KB20	MaAsLin2
Actinoplanes sp. L3.i22	-0.0125130964721886	3.3359666442833e-4	Species	Moss	KB20	MaAsLin2
Mucilaginibacter mali	-0.00294512608789851	3.567572705496e-4	Species	Moss	KB20	MaAsLin2
Sphingomonas aliaeris	0.0103788747871717	3.567572705496e-4	Species	Moss	KB20	MaAsLin2
Xanthomonas sp. Ss	0.00653678762311117	4.1052596815719e-4	Species	Moss	KB20	MaAsLin2
Mucilaginibacter xinganensis	-0.00512927739380461	4.3762881785806e-4	Species	Moss	KB20	MaAsLin2
Actinoplanes sp. Or16	-0.00519648278944373	4.4884114756587e-4	Species	Moss	KB20	MaAsLin2
Bradyrhizobium quebecense	-0.00707342704877596	4.4884114756587e-4	Species	Moss	KB20	MaAsLin2
Mycobacterium parmense	-0.00556914142111382	4.4884114756587e-4	Species	Moss	KB20	MaAsLin2
Frondihabitans sp. Pamc.28766	0.0188713798424473	4.5221532052932e-4	Species	Moss	KB20	MaAsLin2
Bradyrhizobium icense	-0.00774375458309505	4.8159534003478e-4	Species	Moss	KB20	MaAsLin2
Spirosoma pollinicola	-0.021098860280838	4.8159534003478e-4	Species	Moss	KB20	MaAsLin2
Paludibaculum fermentans	-0.00263888185559273	4.9773576257334e-4	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Yi23	-0.0108439385359447	5.3566601792411e-4	Species	Moss	KB20	MaAsLin2
Caballeronia sp. Sbc1	-0.0291503570020525	5.3566601792411e-4	Species	Moss	KB20	MaAsLin2
Mycobacterium mantenii	-0.00325213502899138	5.6102728199873e-4	Species	Moss	KB20	MaAsLin2
Oleiharenicola sp. Ksb.15	-0.00171272754080584	5.976110409308e-4	Species	Moss	KB20	MaAsLin2
Nocardioides ungokensis	-0.00603381488244878	6.4104850414359e-4	Species	Moss	KB20	MaAsLin2
Variovorax sp. Hw608	-0.00311974258175091	6.4462433973175e-4	Species	Moss	KB20	MaAsLin2
Nitrobacter hamburgensis	-0.00766680409855709	6.6879545259002e-4	Species	Moss	KB20	MaAsLin2
Mucilaginibacter paludis	-0.00500286154497608	7.0538366919214e-4	Species	Moss	KB20	MaAsLin2
Bradyrhizobium ottawaense	-0.0251520519633419	7.1019283822327e-4	Species	Moss	KB20	MaAsLin2
Gemmata sp. Sh.pl17	-0.00215526711048526	7.1019283822327e-4	Species	Moss	KB20	MaAsLin2
Calothrix sp. Nies.2100	-0.00774028890588861	7.2845065776034e-4	Species	Moss	KB20	MaAsLin2
Methylobacterium sp. Dm1	-0.01355564853615	8.0021616508147e-4	Species	Moss	KB20	MaAsLin2
Rhizobium sp. Nibrbac000502774	0.00598564616599738	8.163624005774e-4	Species	Moss	KB20	MaAsLin2
Xanthomonas translucens	0.0234252466922287	8.3121943400254e-4	Species	Moss	KB20	MaAsLin2
Spirosoma endbachense	-0.00717284479057445	8.9131729747078e-4	Species	Moss	KB20	MaAsLin2
Methylobacterium mesophilicum	-0.0101499469184972	0.00101125787497739	Species	Moss	KB20	MaAsLin2
Bacillus sp. Np157	-0.01049134174425	0.00116453639243673	Species	Moss	KB20	MaAsLin2
Brasilonema sennae	-0.00997226682222735	0.00116453639243673	Species	Moss	KB20	MaAsLin2
Methylorubrum zatmanii	0.029042889138235	0.00118417695881915	Species	Moss	KB20	MaAsLin2
Catellatospora sp. Iy07.71	-0.00445516402606995	0.00120683615414329	Species	Moss	KB20	MaAsLin2
Methylobacterium aquaticum	0.00613810234167772	0.00120683615414329	Species	Moss	KB20	MaAsLin2
Lacunisphaera limnophila	-0.00248831580839765	0.00127063326531569	Species	Moss	KB20	MaAsLin2
Paraburkholderia hospita	-0.017559459802892	0.00139904047496837	Species	Moss	KB20	MaAsLin2
Scytonema sp. Nies.4073	-0.018027338851408	0.00172412950658445	Species	Moss	KB20	MaAsLin2
Actinomadura verrucosospora	-0.00561489954660951	0.00190312835803775	Species	Moss	KB20	MaAsLin2
Opitutus terrae	-0.00234154408207672	0.0019248416602532	Species	Moss	KB20	MaAsLin2
Frankia inefficax	-0.00637227548690312	0.00208994898455388	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.51765	-0.0024026224946808	0.00209179404741152	Species	Moss	KB20	MaAsLin2
Mycobacterium branderi	-0.00238768020423165	0.00243180846991359	Species	Moss	KB20	MaAsLin2
Bradyrhizobium symbiodeficiens	-0.00496251718991362	0.00257180069274301	Species	Moss	KB20	MaAsLin2
Paraburkholderia phytofirmans	-0.023064606577743	0.00257180069274301	Species	Moss	KB20	MaAsLin2
Terriglobus saanensis	-0.00582385786342707	0.00257180069274301	Species	Moss	KB20	MaAsLin2
Arachidicoccus soli	-0.0021416759966012	0.00269710022197076	Species	Moss	KB20	MaAsLin2
Phnomibacter ginsenosidimutans	-0.00220070130930087	0.00270270476895302	Species	Moss	KB20	MaAsLin2
Acidibrevibacterium fodinaquatile	-0.0173995050957113	0.00272149363336154	Species	Moss	KB20	MaAsLin2
Methylobacterium durans	-0.00677111572919087	0.00272149363336154	Species	Moss	KB20	MaAsLin2
Devosia sp. A16	-0.00130099598216388	0.00288057769743033	Species	Moss	KB20	MaAsLin2
Subtercola sp. Pamc28395	-0.0022421336004012	0.00288057769743033	Species	Moss	KB20	MaAsLin2
Amycolatopsis acidiphila	-0.00367900998719764	0.00308984512285095	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. Nzp2298	-0.00314840002257078	0.00308984512285095	Species	Moss	KB20	MaAsLin2
Acidobacterium capsulatum	-0.0045568441909813	0.00327479134467768	Species	Moss	KB20	MaAsLin2
Fimbriimonas ginsengisoli	-0.00263898395900694	0.00327479134467768	Species	Moss	KB20	MaAsLin2
Sphingomonas sanguinis	0.00592104793549124	0.00327479134467768	Species	Moss	KB20	MaAsLin2
Gemmata massiliana	-0.00173711067055433	0.00335027365566534	Species	Moss	KB20	MaAsLin2
Spirosoma sp. Kctc.42546	-0.00156450940645702	0.00335027365566534	Species	Moss	KB20	MaAsLin2
Methylobacterium sp. Ams5	0.0101189108005327	0.00346037427370199	Species	Moss	KB20	MaAsLin2
Niastella koreensis	-0.00242243129776201	0.00361608339433736	Species	Moss	KB20	MaAsLin2
Paraburkholderia phymatum	-0.00263995557672499	0.00361608339433736	Species	Moss	KB20	MaAsLin2
Haliangium ochraceum	-0.00165307572845364	0.00365998512242301	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. 1.2017.	-0.00172649855938441	0.00371923206300733	Species	Moss	KB20	MaAsLin2
Bradyrhizobium arachidis	-0.00302492640542863	0.00385655255159337	Species	Moss	KB20	MaAsLin2
Xanthomonas oryzae	0.0152476180860141	0.00397001970414149	Species	Moss	KB20	MaAsLin2
Pseudonocardia sp. Cgmcc.4.1532	-0.00966104397159605	0.00429728667005511	Species	Moss	KB20	MaAsLin2
Xylophilus rhododendri	0.00643194090624971	0.00429728667005511	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.53351	-0.00389909419401788	0.00461516574736338	Species	Moss	KB20	MaAsLin2
Catenulispora acidiphila	-0.0378535872208653	0.00466601228671003	Species	Moss	KB20	MaAsLin2
Phenylobacterium parvum	-0.00269297852961665	0.00471848698160912	Species	Moss	KB20	MaAsLin2
Nakamurella multipartita	-0.00487023724770924	0.00487521733619596	Species	Moss	KB20	MaAsLin2
Bradyrhizobium guangzhouense	-0.00461793444974723	0.00505001864121439	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. 41s5	-0.0061512961827309	0.00505001864121439	Species	Moss	KB20	MaAsLin2
Xanthomonas campestris	0.00986929975563127	0.00522118361980278	Species	Moss	KB20	MaAsLin2
Scytonema sp. Hk.05	-0.00733666095955028	0.00531680281068005	Species	Moss	KB20	MaAsLin2
Iamia sp. Scsio.61187	-0.00233928015325881	0.00533222417992042	Species	Moss	KB20	MaAsLin2
Stigmatella aurantiaca	-0.00313297131482299	0.0053499085092033	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Sk17	-0.00708308456132283	0.00535725112433717	Species	Moss	KB20	MaAsLin2
Nitrobacter winogradskyi	-0.00224477380371586	0.00539384624757876	Species	Moss	KB20	MaAsLin2
Pseudonocardia autotrophica	-0.0052120518595333	0.0053957618460391	Species	Moss	KB20	MaAsLin2
Chroococcidiopsis thermalis	-0.00144951306499485	0.00563185290609386	Species	Moss	KB20	MaAsLin2
Caulobacter vibrioides	-0.00290141640872283	0.00578668525018642	Species	Moss	KB20	MaAsLin2
Mesorhizobium ciceri	-0.00423893451329405	0.00615487250922395	Species	Moss	KB20	MaAsLin2
Nibricoccus aquaticus	-0.00164891766589392	0.00623947240404156	Species	Moss	KB20	MaAsLin2
Gemmatirosa kalamazoonesis	-0.00619427456386891	0.0063678125944803	Species	Moss	KB20	MaAsLin2
Actinoplanes teichomyceticus	-0.00574909453228737	0.00654501447400029	Species	Moss	KB20	MaAsLin2
Nocardioides aquaticus	-0.00344321807615919	0.00668219544638838	Species	Moss	KB20	MaAsLin2
Acidobacterium sp. 4y35	-0.00324089466915777	0.00680235260759727	Species	Moss	KB20	MaAsLin2
Cylindrospermum stagnale	-0.0066250007311267	0.00680235260759727	Species	Moss	KB20	MaAsLin2
Polymorphobacter sp. Pamc.29362	-0.0123285766903021	0.00718613415623138	Species	Moss	KB20	MaAsLin2
Agrobacterium rhizogenes	0.0127025998694309	0.00733630233045748	Species	Moss	KB20	MaAsLin2
Methylorubrum populi	0.00892087852057657	0.00741848581812058	Species	Moss	KB20	MaAsLin2
Streptosporangium sp. caverna	-0.00309544255010568	0.00745214023380241	Species	Moss	KB20	MaAsLin2
Hymenobacter sp. Pamc.26628	0.00331355348763021	0.00760564545987779	Species	Moss	KB20	MaAsLin2
Paraburkholderia sp. 7mh5	-0.00166650736278016	0.00788028106009502	Species	Moss	KB20	MaAsLin2
Babela massiliensis	-0.0011935231557737	0.00818022148997667	Species	Moss	KB20	MaAsLin2
Xanthomonas theicola	0.0032086734226717	0.00827734524162033	Species	Moss	KB20	MaAsLin2
Marmoricola scoriae	-0.0102096514506859	0.00862694847708375	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Hmp6	0.00508487515934218	0.0086860096160963	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. Pamc28654	-0.0101504667496388	0.00875793814898818	Species	Moss	KB20	MaAsLin2
Pseudonocardia broussonetiae	-0.0096328174967143	0.00881431298177996	Species	Moss	KB20	MaAsLin2
Tardiphaga robiniae	-0.00764125546104796	0.00902731443547942	Species	Moss	KB20	MaAsLin2
Modestobacter marinus	-0.00472340529236251	0.00925888458107348	Species	Moss	KB20	MaAsLin2
Caulobacter segnis	-0.00554231846667049	0.00960472639251112	Species	Moss	KB20	MaAsLin2
Caballeronia sp. Sbc2	-0.0223474188790722	0.00976129245469552	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. A19	-0.00271576121026324	0.00996697329780381	Species	Moss	KB20	MaAsLin2
Paraburkholderia acidiphila	-0.00207890635313347	0.0100832286882972	Species	Moss	KB20	MaAsLin2
Pseudolysobacter antarcticus	-0.00586837628871469	0.0102081315902313	Species	Moss	KB20	MaAsLin2
Leptolyngbya sp. 7m	-0.00369708513295229	0.0103239770054842	Species	Moss	KB20	MaAsLin2
Actinoplanes ianthinogenes	-0.00616351480140961	0.0104627892357001	Species	Moss	KB20	MaAsLin2
Streptomyces sp. Sn.593	-0.0106549337097844	0.0105644074043878	Species	Moss	KB20	MaAsLin2
Actinoplanes missouriensis	-0.00386872575814335	0.0110495366560446	Species	Moss	KB20	MaAsLin2
Terriglobus albidus	-0.00293472832851245	0.0113491532672507	Species	Moss	KB20	MaAsLin2
Bradyrhizobium amphicarpaeae	-0.00310221739298048	0.0120567675610635	Species	Moss	KB20	MaAsLin2
Cytophaga hutchinsonii	-0.0017378259548077	0.0120567675610635	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. B1.1.8	-0.00160736747191314	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Mucilaginibacter ginkgonis	-0.00385233469311418	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Paraburkholderia terricola	-0.00491416409339887	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Sphingobium baderi	0.0102521917139675	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Synechococcus sp. Pcc.7502	-0.00114064773647845	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Trichormus azollae	-0.00132463586724431	0.0121660519083703	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.53340	-0.00352175023733621	0.0121742335625668	Species	Moss	KB20	MaAsLin2
Pandoraea pnomenusa	-0.0151795686493562	0.0122441773588353	Species	Moss	KB20	MaAsLin2
Mucilaginibacter rubeus	-0.0183304478365955	0.0122961618904356	Species	Moss	KB20	MaAsLin2
Hymenobacter sp. Dg25b	0.00238873207998222	0.0124288592109947	Species	Moss	KB20	MaAsLin2
Edaphobacter sp. 12200r.103	-0.0065629834664986	0.0128585294017118	Species	Moss	KB20	MaAsLin2
Stella humosa	-0.00172315305160351	0.0136692820305617	Species	Moss	KB20	MaAsLin2
Paraburkholderia sp. Msb3	-0.00856221025287452	0.01368212664084	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Lct2	-0.00626289651150064	0.0145281258902123	Species	Moss	KB20	MaAsLin2
Mesorhizobium sp. M7d.f.ca.us.005.01.1.1	-0.00221453950090557	0.0145281258902123	Species	Moss	KB20	MaAsLin2
Steroidobacter denitrificans	-0.00642372113187257	0.0145352385256079	Species	Moss	KB20	MaAsLin2
Variovorax sp. Pbl.e5	-0.0154361235654662	0.0145352385256079	Species	Moss	KB20	MaAsLin2
Hymenobacter nivis	0.00155723649114286	0.0147828367492475	Species	Moss	KB20	MaAsLin2
Croceicoccus marinus	-0.00653945423479016	0.014890658113767	Species	Moss	KB20	MaAsLin2
Microcella flavibacter	-0.00485689668260545	0.014890658113767	Species	Moss	KB20	MaAsLin2
Polymorphobacter sp. Pamc.29334	-0.0108851605819419	0.014890658113767	Species	Moss	KB20	MaAsLin2
Rhodoplanes sp. Z2.Yc6860	-0.00564086054916139	0.0150740829825171	Species	Moss	KB20	MaAsLin2
Jatrophihabitans sp. Gas493	-0.0101072585210031	0.015289049782273	Species	Moss	KB20	MaAsLin2
Methylobacterium brachiatum	0.0254408578926119	0.015289049782273	Species	Moss	KB20	MaAsLin2
Plantactinospora sp. Kbs50	-0.00369886636404053	0.0153412574444338	Species	Moss	KB20	MaAsLin2
Saccharimonas aalborgensis	-9.1753430773648e-4	0.0155767595459319	Species	Moss	KB20	MaAsLin2
Caulobacter soli	-0.00324274598868832	0.0158560359168422	Species	Moss	KB20	MaAsLin2
Methylorubrum sp. B1.46	0.00392524072511527	0.01608852010792	Species	Moss	KB20	MaAsLin2
Sphingobium sp. Scg.1	-0.00230363877370423	0.0167963955734011	Species	Moss	KB20	MaAsLin2
Burkholderia sp. Rpe67	-0.00161914927348357	0.0170623161258421	Species	Moss	KB20	MaAsLin2
Pseudolabrys taiwanensis	-0.0016766877655247	0.0170623161258421	Species	Moss	KB20	MaAsLin2
Actinoplanes friuliensis	-0.00874030920685464	0.0171586877620379	Species	Moss	KB20	MaAsLin2
Paraburkholderia phenoliruptrix	-0.00236991135339352	0.0171586877620379	Species	Moss	KB20	MaAsLin2
Streptomyces sp. So13.3	-0.00700740649287508	0.0171765025699403	Species	Moss	KB20	MaAsLin2
Microlunatus sagamiharensis	-0.0137413304014755	0.0175642085584381	Species	Moss	KB20	MaAsLin2
Mucilaginibacter sp. 21p	-0.00119484379045064	0.017994592474094	Species	Moss	KB20	MaAsLin2
Hymenobacter sp. Brd67	0.00456020314491397	0.0182396530289078	Species	Moss	KB20	MaAsLin2
Rhizobium sp. 007	-0.00249527079883974	0.0182396530289078	Species	Moss	KB20	MaAsLin2
Rhodanobacter denitrificans	0.00473034207296935	0.0182396530289078	Species	Moss	KB20	MaAsLin2
Xiphinematobacter sp. Idaho.grape	-0.00140948950622161	0.0182944663788936	Species	Moss	KB20	MaAsLin2
Dokdonella koreensis	-0.00355641987841129	0.0199244466586714	Species	Moss	KB20	MaAsLin2
Variovorax sp. Srs16	-0.0169583234357421	0.02035600626892	Species	Moss	KB20	MaAsLin2
Schlegelella thermodepolymerans	-0.00377060220244262	0.0210944258855517	Species	Moss	KB20	MaAsLin2
Paraflavitalea soli	-0.00143409213649316	0.0211205138707728	Species	Moss	KB20	MaAsLin2
Fischerella sp. Nies.4106	-0.00401398109228927	0.0214819101894205	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Nic1	0.00487625239936805	0.0214819101894205	Species	Moss	KB20	MaAsLin2
Granulibacter bethesdensis	-0.00313217161412997	0.022269441490698	Species	Moss	KB20	MaAsLin2
Bradyrhizobium zhanjiangense	-0.00160255713176101	0.0222895346471082	Species	Moss	KB20	MaAsLin2
Tardiphaga sp. 37s4	-0.00944280206019481	0.0226489205166177	Species	Moss	KB20	MaAsLin2
Hymenobacter sp. Pamc.26554	0.00492070198984705	0.0232360872538335	Species	Moss	KB20	MaAsLin2
Blastococcus saxobsidens	-0.00277079847682859	0.0234715800883307	Species	Moss	KB20	MaAsLin2
Granulicella sp. Wh15	-0.00461277609554955	0.0235019448821182	Species	Moss	KB20	MaAsLin2
Mycolicibacterium rhodesiae	-0.00391740257393014	0.0236319746302206	Species	Moss	KB20	MaAsLin2
Rhizobium leguminosarum	0.00558679309955609	0.0236319746302206	Species	Moss	KB20	MaAsLin2
Paraburkholderia edwinii	-0.0012796103109685	0.0246310596132455	Species	Moss	KB20	MaAsLin2
Moorena producens	-8.6408599562245e-4	0.0250112736221605	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Ap4.R1	0.00438917019495709	0.0250112736221605	Species	Moss	KB20	MaAsLin2
Caulobacter flavus	-0.00365766801090326	0.0250845673677822	Species	Moss	KB20	MaAsLin2
Rhizobacter gummiphilus	0.00304304745992161	0.0256099794457068	Species	Moss	KB20	MaAsLin2
Subtercola sp. Ak.r2a1.2	-0.00584519543822091	0.0256348195399845	Species	Moss	KB20	MaAsLin2
