Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Palsa-465 sp017882405	0.6250072392801367	1.0142217377660775e-4	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Palsa-465 sp019240115	0.3034868057949317	0.7171069061258517	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Palsa-504 sp003140115	-0.482371805613223	0.3941908770725477	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Palsa-504 sp003161205	-0.36213911048446623	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Palsa-504 sp003168295	-0.6258500882149138	0.06171016386194148	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Paraburkholderia aspalathi	-0.09526324888229325	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Paraburkholderia bryophila	0.12355546712353434	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Paraburkholderia metrosideri	0.2979894253662142	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Paraburkholderia sp900996245	-0.037905207319984126	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Pseudomonas E sp903970465	0.8764151754133406	0.0010563314133864236	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Puia sp013288945	0.20717718698980164	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Rhizobium sp007000325	2.361730556319511	1.4896591758886254e-18	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Rhodanobacter sp014200755	0.9123707783143561	4.229800598617531e-9	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Rhodopila globiformis	0.34027843926532786	0.23917506065149666	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Sphingomonas N sp903871605	0.800790643801854	4.904630041638696e-10	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Sphingomonas sp000241485	0.6653470824099403	1.3029132900414296e-6	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Sphingomonas sp022662335	0.5681716357453106	6.442958896603411e-4	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Stigonema ocellatum	-0.8388492554640924	7.257257867222949e-5	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Stigonema sp903903925	-0.5317121852904814	0.022990260181048813	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Streptacidiphilus sp014084125	-0.13575031393669276	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Terriglobus roseus	-0.010484219291223295	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
VAYN01 sp001898095	-0.7555026852055657	5.062567734676732e-7	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
VAYN01 sp018268575	-0.48597865250661865	0.0032198234770681225	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Acidisarcina polymorpha	-0.6268923941185667	0.007865972266707797	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Amnibacterium kyonggiense	0.4220326028949779	0.026289259003745548	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Amnibacterium sp019352055	0.03147368911825093	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bog-532 sp019240215	-0.5736062476713014	6.345470085321988e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium canariense	-0.5510473062406696	1.4337481198636377e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium erythrophlei	-0.758440998374151	4.25822012582125e-6	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium sp004799405	-0.4022173645708859	0.03255758083677965	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium sp009766005	-0.9083514133935107	7.000274356276275e-8	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium sp018449695	-0.48185559796948463	0.023729804309682682	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium sp021779635	-0.4025241949317905	0.024008501375449097	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bradyrhizobium sp900103365	-0.5669752352351631	0.0016860651148512004	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Bryocella elongata	0.25089041002092954	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
CAHJWH01 sp903642205	0.3164927338984907	0.3429664305066277	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
CAHJXF01 sp903644065	0.27214750424630507	0.9202506816065661	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia sordidicola	-1.0663949152483334	8.169457680372017e-8	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia sp001424345	0.6301370885514018	3.975195887952372e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia sp001557535	-0.4771808642549435	0.8249840373830504	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia sp011493005	-0.46139937084289373	0.0365805447059176	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia sp022878925	-0.2864902406325581	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Caballeronia udeis	0.4257505372760703	0.036033564690263246	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Catenulispora acidiphila	-0.18428192701307455	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Edaphobacter lichenicola	-1.327043027072012	1.0456943062570749e-12	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
JAFEEF01 sp018241265	0.5992798757312082	9.701511369021017e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
JAFKFJ01 sp021845835	0.37641350513539457	0.17690272814922856	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
JAJZFE01 sp014083945	0.12074967403792107	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
LMUY01 sp009765685	0.3187342572391936	0.15331382140972538	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Lichenicola cladoniae	0.31760341729518304	0.3629151462862896	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Lichenicola sp903844135	0.4446105017855815	0.012407328712203985	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Lichenihabitans minor	0.7466693041679167	1.1295652798841275e-7	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Lichenihabitans ramalinae	0.12981365797396488	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium cerastii	1.4070765397646265	3.633126127897612e-14	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp008039875	1.4548031890130868	2.4498809088681867e-8	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp017833295	-0.01969458349780189	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp022702195	0.9758330175203612	3.985106923844309e-6	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp022829365	0.7222741007285933	0.001790780544454146	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp022829545	0.35928674367044516	0.10725883129499351	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp022829585	0.7327189023315976	3.38316043894305e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Methylobacterium sp022829635	0.0025058110165309374	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Mucilaginibacter sp013408825	-0.07537441408225388	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc commune	0.17234952119952804	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc flagelliforme	0.07590010336957131	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc foliaceum	0.3899774405166479	0.07814090559981189	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc punctiforme	-0.0272833966939182	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp002246015	-0.05296580760486123	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp017114945	-0.48652048988001867	0.15014606473301814	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp017114985	0.28143341724457016	0.7890495661738431	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp017115085	0.1617111415203065	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp020829625	0.013258698792222702	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Nostoc sp023522315	0.4057594936892522	0.07376091814772559	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Palsa-1515 sp903970385	0.2692324555749516	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Palsa-465 sp017882405	0.6438457136783111	5.271872136348262e-5	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Palsa-465 sp019240115	0.3424830916631562	0.299229423177173	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Palsa-504 sp003161205	-0.3377924476312197	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Palsa-504 sp003168295	-0.4346655498731934	0.9249744728989802	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Paraburkholderia aspalathi	0.015809449069474207	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Paraburkholderia bryophila	-0.21658348159929544	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Paraburkholderia ginsengisoli	-0.03740096735996512	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Paraburkholderia metrosideri	0.32393785027033295	0.9249744728989802	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Paraburkholderia sp900996245	-0.026687218982563165	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Pseudomonas E sp903970465	0.9151539554919293	6.271788193815335e-4	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Puia sp013288945	0.23524545409811837	1	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Rhizobium sp007000325	2.1211302050816285	1.1585853731041258e-16	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Rhizobium tumorigenes	1.7689983838464136	3.017939367026015e-13	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Rhodanobacter sp014200755	0.9586699045865003	3.8001033616412825e-10	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Rhodanobacter sp903827735	0.5126012991410153	0.012441129863117057	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Rhodopila globiformis	0.40774960084472534	0.050848404316865936	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
Sphingomonas N sp903871605	0.8748804326217589	6.141490743731659e-12	Species	SM_gtdb-rs214-rep	Moss	ANCOMBC2
