feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Brevundimonas	Burkholderia	Clostridioides	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enhydrobacter	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacteroides	Mycolicibacterium	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Propionibacterium	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Streptomyces	Tepidimonas	Thermoflavifilum
SRR20002432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR20002433	2792	9748	0	1252	0	0	23826	430	1064	0	6706	15997	646	1853	30703	0	0	491	1732	0	479	4487	0	0	0	0	2991	1161	374	0	0	0	0	913	0	21423	20295	0	0	0	330081	0	2207	0	3253	0	0	86614	0	0
SRR20002435	0	244	0	0	0	397	1047	218	0	0	0	7973	528613	0	836	0	235	0	22529	0	0	113	0	0	0	841	0	0	4263	0	0	0	0	0	0	848	0	0	0	0	12765	0	0	0	181	0	246	0	0	217
SRR20002439	0	83	0	0	0	0	586	0	0	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	5243	0	0	0	0	0	0	0	0	0
SRR20002441	0	117	0	0	0	0	1803	0	0	0	0	16166	158	0	326	0	0	0	2153929	0	0	0	0	0	0	525	0	0	1458	0	0	0	0	0	0	252	0	0	400	0	6889	0	0	0	5594	0	256	0	0	0
SRR20002442	2122	8996	0	966	0	0	26112	565	0	0	4422	3921	592	1369	6425	0	0	0	0	0	413	4233	0	0	0	0	0	0	0	0	0	0	0	488	0	19723	0	0	0	0	317484	0	0	899	0	0	0	971	0	0
SRR20002443	1210	5295	0	600	1504	0	15534	0	581	0	7072	9807	174086	1038	63400	280	0	0	652	0	329	3037	1155	1674	0	0	3793	431	0	0	713	0	0	697	0	16398	0	0	1022	1074	205501	0	613	298	60813	0	1172	0	0	0
SRR20002446	429	3532	321	483	27482	0	9247	0	0	669	2838	5529	17146	755	39788	0	0	0	0	0	0	1892	0	0	0	637	872	0	0	0	3610	0	0	652	390	6957	478	0	0	0	115608	0	0	0	54381	328	157541	0	459	0
SRR20002448	2453	6885	0	926	1352	0	23026	0	613	0	4559	8047	1840	1729	30074	0	0	0	1799	39598	414	4971	0	334	1347	0	1219	0	0	0	2359	0	0	1794	0	20513	0	0	0	0	287663	4557	313	0	3341	0	46159	6413	0	0
SRR20002450	0	0	0	0	1002	0	392	0	0	0	0	15700	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	2782	5651	0	0	0	387443	0	0	0	0	0
