feature	Actinomycetaceae	Alcaligenaceae	Alicyclobacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Comamonadaceae	Corynebacteriaceae	Dermacoccaceae	Enterobacteriaceae	Halomonadaceae	Hydrogenophilaceae	Lactobacillaceae	Lawsonellaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Thermaceae	Xanthomonadaceae
SRR20002419	0	885	0	0	522	0	24153	0	0	2092	319	753	2954	304	0	463	825	0	155	3977	519	0	2367	0	6857	0	46110	169900	732	0	571	902	438	885	0	0
SRR20002420	0	0	0	0	0	0	7888	0	0	551	0	0	0	0	0	597	645	0	317	1848	696	0	919	0	933	0	7113	103435	0	0	0	0	0	0	229	0
SRR20002421	0	1151	0	0	0	0	3686	336	0	0	0	0	0	0	0	0	0	0	0	988	0	0	678	0	3627	0	4187	45667	0	0	0	63926	391	0	0	0
SRR20002422	1158	0	0	0	333	304	26923	604	0	2228	1522	590	668	387	0	593	5025	464	676	8517	3035	0	3726	1156	46798	0	287073	279337	1008	0	0	642271	13605	71334	366	0
SRR20002425	0	705	0	6624	1584	588	37626	0	0	3503	1787	545	322	829	0	0	0	0	11742	48244	1717	0	5386	0	111085	0	15684	418704	1002	4101	984	3503	4179	1656	586	0
SRR20002427	0	0	0	1116	0	0	13929	0	0	1079	82904	3011	0	206	0	2453	0	0	1193	3834	1138	0	1868	0	56169	1825837	6163	138006	454	0	0	305	9290	0	0	0
SRR20002430	1131	0	0	0	0	652	22222	0	0	1034	2753	8642	2734	0	0	0	1639	639	6760	6621	1791	24735	2517	5317	35369	0	33530	422292	558	0	0	7196	13259	2822	362	0
SRR20002432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR20002433	0	0	0	430	1064	0	33831	0	0	3952	646	0	3939	479	0	1161	2991	0	0	9748	1334	0	4487	0	15997	0	30703	330081	1252	20295	0	3253	0	86614	374	0
SRR20002435	0	0	235	218	397	0	1018	0	217	0	528613	0	22529	0	0	841	0	0	0	244	0	0	113	0	7973	0	836	12765	0	0	0	181	246	0	4263	0
SRR20002439	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	424	83	0	0	0	0	0	0	687	5243	0	0	0	0	0	0	0	0
SRR20002441	0	0	0	0	0	0	252	0	0	0	158	0	2159096	0	0	525	0	0	0	117	0	0	0	0	16166	400	326	6889	0	0	0	5594	256	0	1458	0
SRR20002442	0	0	0	565	0	0	28805	0	0	2122	592	0	0	413	0	0	0	0	0	8996	488	0	4233	0	3921	0	6425	317484	966	0	899	0	0	971	0	0
SRR20002443	0	1504	0	0	827	0	26693	0	0	1596	174086	280	3757	329	1155	722	3793	0	713	5295	697	0	3037	0	9807	1022	64474	205501	600	0	298	60813	1172	0	0	262
SRR20002446	321	27482	0	0	0	0	12138	669	0	429	17146	0	0	0	0	637	872	0	3610	3532	652	390	1892	0	5529	0	39788	115608	483	478	0	54381	157541	0	0	328
SRR20002448	0	1352	0	0	613	0	30999	0	0	2453	1840	0	2446	414	0	0	1219	0	8263	6885	1794	0	4971	39598	8047	0	30074	287663	926	0	0	3341	46159	6413	0	0
SRR20002450	0	1002	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15700	0	3101	5651	0	0	0	387443	0	0	0	0
SRR20002455	0	438	0	0	1103	0	35206	0	0	2500	0	970	2490	446	0	492	983	0	0	9067	790	0	5214	0	8512	0	30309	300875	982	0	401	1019	458	1170	0	1051
SRR20002456	0	0	0	0	0	0	13088	0	0	412	0	0	0	0	0	2674	0	0	477	3555	545	0	2452	0	3047	0	3459	139561	0	0	502	0	0	615	0	0
SRR20002459	389	0	0	0	0	0	15056	422	0	1624	0	0	0	377	0	0	0	0	1163	12403	2592	0	2644	0	5640	0	6446	177261	969	988	0	84237	0	0	0	0
