feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Atopobiaceae	Aurantimonadaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Boseaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chromatiaceae	Chromobacteriaceae	Chroococcidiopsidaceae	Clostridiaceae	Clostridiales.Family.XVII..Incertae.Sedis	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cytophagaceae	Deinococcaceae	Dermabacteraceae	Dermacoccaceae	Dietziaceae	Ectothiorhodospiraceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gordoniaceae	Halieaceae	Halomonadaceae	Hydrogenophilaceae	Hymenobacteraceae	Intrasporangiaceae	Kytococcaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Listeriaceae	Methylobacteriaceae	Methylococcaceae	Microbacteriaceae	Micrococcaceae	Micromonosporaceae	Miltoncostaeaceae	Moraxellaceae	Morganellaceae	Mycobacteriaceae	Mycoplasmataceae	Nakamurellaceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Odoribacteraceae	Ornithinimicrobiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Parachlamydiaceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodocyclaceae	Rikenellaceae	Selenomonadaceae	Shewanellaceae	Sinobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Stappiaceae	Streptococcaceae	Streptomycetaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Thermaceae	Thermoactinomycetaceae	Thioalkalispiraceae	Treponemataceae	Tsukamurellaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
SRR20002382	151	19	1677	571	104	90	788	33	65	0	2043	2558	649	1129	1	56	166	206	42877	42	0	947	1261	5	8	3	0	4	7060	470	8642	12	22	42	205	84	31	284	3447	652	655	164	11	6	42	29	0	161	0	1585	2395	0	141	240	538	1723	0	40	1017	441	1	78	8254	0	0	238144	558	2046	0	0	526	138	3	0	11	3	1122	2771	0	50	2632	2329	0	7	95	21	185	138768	1459151	42	2288	310	302	20	135	43	259	99	0	6973	307054	32	6272	17	0	0	0	20907	0	0	0	0	45	60	111	4	1040	80	0
SRR20002384	7	2	11	6	27	0	90	2	0	0	943	1563	27	34	0	26	117	0	2652	0	2	45	69	0	3	1	0	2	681	22	1285246	13	26	2	70	2	0	32	962	175	8	0	0	0	3	0	0	40	0	142	128	0	0	27	69	86	0	0	0	75	1	9	311	0	0	24403	56	231	0	0	23	85	5	0	1	19	89	318	0	2	0	6	0	5	43	1	31	14620	131188	11	231	0	110	5	21	0	0	23	4	632	26476	0	71	0	0	0	0	1611	0	3	0	0	0	0	26	0	392	13	5
SRR20002386	2	0	35	9	0	0	364	2	0	0	32	353	16	207	0	8	7	0	2400	0	1	7	165	0	0	0	0	0	335	0	146	0	0	0	112	0	3	4	91	66	0	0	0	0	0	0	0	9	0	125	64	0	0	8	14	22	0	0	12	55	1	49	301	0	0	4412	6	86	0	0	9	11	6	0	0	1	4	380	1	6	0	0	0	0	29	1	6	4270	58153	4	123	57	30	0	0	0	0	3	0	433	1298	11	96	0	0	0	0	7	0	10	0	0	1	0	0	2	95	0	0
SRR20002388	103	47	89	16	95	252	579	5	1	20	5231	93	1640	708	0	9	64	85	7615	10	0	5	204	6	1	24	0	0	1614	262	1398	2	6	0	125	38	17	100	1475	125	8	10	0	0	0	0	1	39	18	357	132	0	30	67	795	266	0	0	114	252	0	116	2072	0	0	83082	181	415	0	1	20	73	18	0	10	14	1083	879	2	9	9	22	0	9	39	10	134	14799	382404	22	704	128	289	0	215	0	0	91	14	3164	276266	80	453	0	17	0	247	1005	55	13	0	0	14	0	155	21	395	45	0
SRR20002391	242	18	158	91	2099	212	11510	1	17	285	15076	206	3226	919	13	89	280	481	52551	36	4	100	1087	2	52	0	0	0	6113	1416	4522	0	26	7	675	11	88	1343	5144	2816	63	228	15	0	18	0	0	104	23	2226	869	1	45	75	3450	1577	0	33	2373	779	0	511	4596	0	0	358835	454	1583	0	0	68	353	56	14	10	387	5128	5078	0	26	37	201	304	14	30	50	160	708957	3761277	73	4436	1804	2285	2	689	10	0	36	7	17064	551530	44	1276	92	23	1	133	68	0	0	0	14	180	23	1082	41	978	81	49
SRR20002394	0	0	23	0	0	0	17	0	3	0	71	0	39	126	0	0	61	0	741	0	0	0	7	0	1	0	0	0	352	0	997042	0	0	17840	32	25	0	0	0	371	0	35	0	0	0	0	0	0	0	47	0	0	0	0	272	6063	0	0	19	13	0	4	102	0	0	320	0	25	0	0	0	16	0	0	0	31	133	15	0	0	4	34	0	0	250	0	47	1653	15488	0	28	0	0	0	0	0	0	0	0	7	70307	0	311	0	0	0	0	48	0	0	0	0	6	0	0	0	0	0	0
SRR20002396	77	0	714	135	859	104	437	6	11	36	648	659	389	303	0	46	679	90	13614	0	0	219	269	26	8	0	0	1	6941	102	3118	0	7	58	182	47	69	27	723181	377	299	0	0	0	0	3	0	595	0	505	566	0	22	219	463	1920	3	0	208	555	0	452	3852	0	0	98081	50	724	0	0	1423	92	180	0	6	13	932	1444	0	26	211	143	55	15	30	83	104	28435	1024501	5	1196	0	250	0	38	0	90	0	0	5740	47891	0	11735	6	4	0	63	2928	0	0	0	2	60	0	143	4	725	213	0
SRR20002397	0	0	698	9	95	18	9712	2	28	25	143	161	57	66	0	49	54	191	15179	2	0	82	233	2	0	0	0	0	3531	38	2113	0	2	23	613	0	15	1	1228	163	13	0	46	0	0	0	0	0	0	420	20	0	0	0	148	508	2	101	153	148	0	373	23208	0	0	43408	116	455	42	0	114	32	0	0	0	3	942	1577	0	5	23	18	0	1	255	0	48	21933	1282084	1	724	103	253	0	13	0	0	146	6	1573	22300	20	117	9	0	0	58	22	0	0	14	0	0	4	95	0	274	0	0
SRR20002401	329	0	930	396	736	6	4823	1	21	0	398	10766	6293	666	0	25	60	37	32166	93	17	326	1440	0	162	0	71	0	9009	57	11141	3	35	579	2206	0	71	60	27412	22275	708	0	189	0	98	4	0	43	0	790	82	0	90	9	1458	3944	7	4	1898	1638	0	90	3565	0	0	249001	10739	1016	0	3	14963	162	10	0	0	13	117	3855	281	27	1294	542	0	46	239	67	174	291116	1859666	30	2296	0	232	7	23	0	0	87	29	15275	1161377	52	1116412	17	0	0	128	80	0	6	0	7	475	0	1235	61	3441	166	25
SRR20002402	0	0	26	3	11	4	226	0	0	66	104	14	54	25	0	0	169	8	8343	0	0	9	68	0	0	0	0	0	792	42	293	1	4	0	29	12	12	0	0	93	0	0	6	0	0	0	0	18	0	110	11	0	7	16	105	66	0	0	18	114	0	16	424	0	1	12450	32	250	0	0	0	3	8	0	0	7	32	686	0	3	10	0	0	0	147	3	38	5191	178535	2	160	45	13	0	10	0	0	50	0	604	8994	0	24	0	0	0	0	38	0	0	0	0	0	0	9	3	126	0	0
