#Classification	S-9-DICUND-B_bracken_O.kreport
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	35
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	9697
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	7820
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	659
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	426
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	119
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	32
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	480
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	144
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	13
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	108
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	108
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	455
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	455
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	48
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	48
k__Bacteria|p__Proteobacteria|c__Oligoflexia	34
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	21
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	13
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	1
k__Bacteria|p__Acidobacteria	29082
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	28916
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	28332
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	584
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	166
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	166
k__Bacteria|p__Planctomycetes	11268
k__Bacteria|p__Planctomycetes|c__Planctomycetia	10886
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	3461
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	4791
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2051
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	581
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	381
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	249
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	49
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	81
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia|o__Candidatus_Brocadiales	1
k__Bacteria|p__Verrucomicrobia	3272
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2371
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	2198
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	173
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	891
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	891
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	8
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	8
k__Bacteria|p__Kiritimatiellaeota	375
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	372
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	372
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	3
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia|o__Tichowtungiales	3
k__Bacteria|p__Chlamydiae	208
k__Bacteria|p__Chlamydiae|c__Chlamydiia	208
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	129
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	79
k__Bacteria|p__Bacteroidetes	4962
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2593
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	2593
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	728
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	728
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	691
