feature	Acetobacteraceae	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Alteromonadaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Beutenbergiaceae	Bifidobacteriaceae	Brachyspiraceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Bruguierivoracaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Christensenellaceae	Chrysiogenaceae	Clostridiaceae	Colwelliaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Dermabacteraceae	Dermacoccaceae	Desulfocapsaceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fervidobacteriaceae	Fibrobacteraceae	Flavobacteriaceae	Fulvivirgaceae	Fusobacteriaceae	Gemmatimonadaceae	Geobacteraceae	Gordoniaceae	Gottschalkiaceae	Halomonadaceae	Helicobacteraceae	Heliobacteriaceae	Jiangellaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Limnochordaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Mycobacteriaceae	Mycoplasmataceae	Nanosynbacteraceae	Neisseriaceae	Nitrospiraceae	Nocardiaceae	Nocardioidaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Pseudonocardiaceae	Rhizobiaceae	Rhodocyclaceae	Rhodothermaceae	Rikenellaceae	Roseobacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Sporomusaceae	Staphylococcaceae	Steroidobacteraceae	Streptococcaceae	Streptomycetaceae	Succinivibrionaceae	Sulfurovaceae	Sutterellaceae	Symbiobacteriaceae	Synergistaceae	Tannerellaceae	Tepidanaerobacteraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thermoanaerobacterales.Family.III..Incertae.Sedis	Thermohalobacteraceae	Tissierellaceae	Treponemataceae	Turicibacteraceae	Vallitaleaceae	Veillonellaceae	Vibrionaceae	Weeksellaceae	Xanthobacteraceae	Xanthomonadaceae	Yersiniaceae
NS38	183	1	90	192	0	79	1335757	0	1	0	396	40	2969488	501	0	1659540	86	0	0	0	0	18	438	0	11	0	0	4505	2	47221	0	179	118072	6	12	0	1	0	1	20489	0	26370	118295	5498	0	27856	0	4167	95	0	0	8	0	5	1	1	0	0	0	0	11	0	1132944	14262	2	0	0	0	0	1	199	523	0	1304	2	0	53	9	0	0	0	50440	719382	0	4	2110	2	298	11222	0	0	2	12	551	19	0	1544	1	0	0	0	252982	11	10	0	0	9	31	0	18826	0	0	0	4412	0	7	262417	0	1	0	0	0	0	2	192	360	2	63137	0	192	0	3	0
NS39	170	30	43188	531	16	85	55389	0	5	0	221	120	2381048	25179	2	946981	0	0	0	0	0	31	1782	9	226	0	0	3242	0	35882	2	0	97903	17	1	0	0	0	7	64	0	3182	11795	1971	0	30835	0	6149	222	0	0	27	0	143	4	4	0	0	0	0	4	1	1236106	355	0	6	1	0	0	0	226	251	0	553	15	16	131	97	0	0	0	81227	4929143	0	32	17167	1	5629	12218	19	19	0	71	350043	93	3	85	8	0	2	0	264092	122	100898	0	14	41	35	0	35023	0	0	0	3799	0	170	151682	0	0	1	26	0	0	12	1763	1362	9	13853	0	57	0	0	0
NS4	47	1	80	75	11	0	480	36	1	0	15	33	5562979	218	0	754063	17	0	0	0	0	336	1501	5	38	0	0	91	0	17307	0	361	40610	1	0	3	0	0	0	0	0	5113	237508	1971	0	21245	0	2758	18	0	0	0	0	221	2	0	0	0	0	62	0	0	2203536	652	0	4	0	0	0	0	111	25	0	19	139	0	16	562	0	0	0	19368	2404582	0	12	42623	1	374	5831	5	0	0	14	2041	36	0	11	0	0	0	0	24510	47	5	0	0	1	15	1	48950	0	0	0	3200	0	0	68268	0	0	0	0	0	0	0	642	1165	8	7605	2	512	0	0	0
NS40	347	0	16604	945	22	21	706	0	10	1	69887	356	1029258	1045	2	1506699	2	0	0	0	0	39	3741	1	105	14	0	1167	0	62117	0	124	271655	40	2	1	0	1	0	3	1	14366	37628	8572	0	65971	0	9099	414	0	0	0	0	356	0	5	0	0	0	2	8	0	2166778	182557	2	4	0	2	0	10	79	817	0	67	571	0	270	11	0	2	2	12096	4954672	0	54	351	5	3499	36847	49	0	13	1486	381882	244	4	605	6	33	4	0	97488	8	81315	7	56	0	98	0	23478	0	0	0	393	0	1	362075	0	0	0	1	0	0	9	2473	218	29	26613	0	99	0	0	0
NS41	173	0	21693	102	10	274	55274	5	26	0	4562	79	4071394	2114	0	130075	0	0	0	0	0	45	17365	0	39	0	0	887	0	30316	0	32	33302	0	2	0	0	0	0	14	2	1784	1012	6018	0	18822	0	3919	22	0	0	0	0	38	0	0	0	0	0	0	0	0	1922704	34880	0	1	5	0	0	1	37	792	0	170	80	0	30	4	0	0	0	75250	4006784	0	21	583	0	285	7089	25	0	0	643	7106697	30	0	7090	0	0	0	0	321288	26	58635	2	21	0	0	0	14081	0	0	0	5039	0	2	965425	0	0	3	0	0	0	0	192	117	4	3854	0	139	0	0	0
NS46	198	0	151	1338	9	26	38454	110	0	0	287	87	2299371	520	0	734429	0	10	0	0	0	69	6683	2	219	0	1	18763	0	246096	0	456	2235	58	72	0	0	0	6	70	17	181896	71631	4257	0	83785	0	16866	1323	0	0	15	0	18	0	0	0	0	0	0	33	0	2607159	7875	6	3	2	154	42	1	509	537	1	48	1	0	27	13	2	0	0	50687	1367605	5	57	108	15	2205	30866	70	0	2	2399	15528	45	0	37	0	0	1	0	164840	5	10	1	253	3	8411	0	8140	0	4	0	8	0	27	77567	0	0	1	1	4	0	24	683	72990	20	1371	0	465	0	3	3
NS51	147	0	7256	1591	43	0	190	0	2	0	1378	164	395634	33	0	2597035	1	2337	0	8	0	16697	2926	0	465	0	0	1702	1	679167	0	43	34241	236	4	3	0	0	0	400	0	4923	218984	8654	0	55718	0	6862	115	0	0	7	0	3120	4	13	0	2	4	0	0	1	5664152	36716	54	32	0	0	1065	3	993	11	0	12	34	2	44	102	0	0	0	99	2442159	0	112	962	3	9900	581136	26677	1	0	4814	5435	233	0	191	0	6	7	0	4041	0	11	0	215	0	100	0	177706	1	0	0	22	0	1	22585	0	0	0	185	15	2	41	1127	5046	62	5768	0	256	4	2	0
NS55	679	0	146	706	17	4	2801	0	0	0	146	158	807723	10	0	238674	1	0	0	0	0	0	238	2	145	0	0	2344	0	78933	0	24	76914	13	11	1	0	0	0	12	0	48152	34414	3571	0	734135	0	4251	104	0	0	0	0	23	0	48	0	0	0	0	25	0	3271949	1239	9	2	0	0	0	0	58	139	0	1	1	0	130	0	0	0	0	6933	1498983	0	38	54	4	343	35977	0	7	0	78	563	52	0	3	0	12	0	0	5622	0	13	1	0	0	30	0	46219	0	0	0	6	0	1	4838	0	0	0	1	20	0	0	492	2213	61	485	0	34	0	0	0
NS58	770	0	2103	7004	266	0	430	3	0	0	608	1638	32326	1	0	965354	2	332	0	0	1	18561	26319	4	1710	0	2	3835	0	95918	0	153	267918	857	0	0	2	0	0	1	0	9719	713	2604	0	633337	0	2074	344	1	1	2	0	467	0	31	1	1	0	0	31	1	12266920	1155	1	29	0	4	1134	1	1625	50	0	16	83	0	393	44	0	4	0	235	441305	0	136	7121	5	574	137140	2089	8	0	41	81357	369	0	29	0	0	3	0	1242	0	23	1	69	0	668	3	354745	0	0	3	41	0	0	4352	0	0	2	1	0	5	8	338	285783	48	3627	53	24	0	0	0
NS6	235	0	85	297	34	0	882	0	4	0	204	159	9433234	730	0	2637	0	0	0	0	0	8	1162	0	380	0	0	1584	0	44115	0	0	71746	15	14	1	0	0	0	13	0	45640	10451	4543	6	160453	0	7671	48	0	0	3	0	17	2	0	0	0	0	0	6	0	3409985	3140	57	4	0	0	0	0	105	22	0	505	99	0	37	132	0	0	0	84192	1927883	0	25	1331	2	7809	43118	0	0	0	11274	27965	90	0	7218	0	0	1	0	487889	0	2	0	0	0	72	2	32885	0	0	0	8	0	8	714787	0	0	0	0	0	0	0	773	28	18	1430	0	902	0	0	0
NS62	330	1	8706	1248	16	0	146992	0	0	0	157	97	215823	52	0	416302	1	0	0	0	0	64	11849	0	214	0	0	5651	0	86294	0	2	312	6938	30	0	0	0	2	5	0	95260	750	10978	2	146121	0	2488	204	0	0	0	0	17	0	1	0	1	0	0	16	0	4380975	1588	3	228	0	5	0	0	232	172	0	9	0	0	77	0	0	0	0	2548	608935	0	37	72	2	344	28156	0	0	0	34	525	38	0	2	0	27	0	0	145040	7	0	0	0	2	468	7	51971	0	4	0	14	0	4	37285	0	0	1	1	0	0	9	930	1264	95	407	6	201	0	0	0
NS67	101	2	739	9230	29	0	129006	5	2	0	1717	384	358731	9	0	2439843	0	214	0	31	0	6988	2974	3	997	0	0	6691	0	68381	0	33	329003	277	2	0	0	0	2	101	19	62622	148346	11315	0	106268	13	9969	938	1	0	4	0	157	0	0	0	0	0	1	0	0	3706302	206925	0	1157	0	0	240	4	631	116	0	77	25	1	392	19	0	7	1	484	2796750	0	166	2348	22	5017	41114	2150	0	0	418	218307	221	0	24	12	18	1	0	463	0	95	0	92	177	176	0	47493	0	0	15	388	0	131	38011	5	6	12	608	0	2	8	410	22524	23	16013	0	32	0	0	0
NS7	196	3	11048	5244	958	21	382	6	1	0	2791	979	588043	376	0	3128218	2	0	1	0	0	46	44212	5	599	0	0	788	0	62383	0	420	654411	207	0	1	0	0	1	179	0	47112	22859	4701	2	41360	0	3967	450	11	1	17	0	657	0	6	0	16	0	0	0	0	2737307	827680	1	38	0	188	0	0	1244	112	0	254	128	0	351	27	1	3	0	16677	4493357	3	33	11307	5	1211	429962	0	36	0	52	951574	552	0	102	2	20	13	41	105039	2	51031	4	100	9	31	0	188464	0	0	0	37873	0	4	61883	0	13	4	1	0	17	8	803	121516	27	65879	0	344	0	19	1
NS70	515	0	9637	2897	50	0	162	0	0	0	1604	246	545782	11	1	1127007	2	1972	0	3	1	19413	3730	7	109	7	0	1641	1	50079	0	192	432603	73	50	6	0	0	0	11	0	47637	1118	11325	1	306896	0	4637	627	0	0	0	0	73	0	0	0	0	0	1	0	0	3710505	2224	2	3	0	3	1115	3	1519	55	0	139	13	1	24	5	0	0	0	409	2926444	0	35	1798	1	229	34493	25631	0	0	27	1853929	107	0	91	0	0	0	0	12088	0	6	0	223	0	357	2	398747	0	0	0	1440	0	7	33916	0	0	1	0	0	0	4	817	31682	37	4407	0	31	4	0	0
NS71	1132	0	92188	7581	10	0	949348	0	0	0	384	433	1360129	758	0	2368507	1	0	0	12	2	108	5999	0	1120	1	0	13675	0	138333	0	42	339046	62	4	0	5	0	0	24	1	57242	2112	13917	6	278072	0	28772	1368	2	0	3	0	112	1	17	0	12	0	3	7	0	3259136	7773	65	114	0	8	14	3	767	0	0	7	81	11	12	16	1	4	0	3875	1006685	75	36	136	9	1863	293655	15	0	0	73	2138	822	0	66	0	97	0	25	25838	0	38	2	0	1	303	10	142896	0	0	0	18	0	47	47800	0	2	3	1	25	9	2	778	103837	7	105	1	84	0	43	0
NS72	1076	1	1435	20432	1362	39	41598	1	1	0	4653	806	28473	1	0	4177990	1	90	2	60	2	1183	1658	2	1480	0	0	4623	0	171809	0	8	764834	113	2	3	0	0	0	22	0	10813	3190	3122	0	408109	0	13195	3918	12	0	0	0	160	0	0	2	4	0	0	28	0	4606837	1298666	446	5	0	3	66	4	2341	0	0	5	274	0	1097	5	0	0	1	261	341209	0	61	115	0	1380	197493	1233	3	2	1	80042	345	0	102	9	52	4	0	861	0	192660	1	14	0	12913	2	465498	0	0	1	277	0	0	5640	0	1	0	0	0	0	14	1726	4891	66	46928	0	3	0	13	0
NS77	26	0	284086	667	22	7	195	5	6	0	186	76	2823301	775	0	120722	1	22	0	0	0	46	8549	0	90	0	0	1902	0	127481	7	117	68415	7	0	0	0	0	1	244	0	6808	996175	2144	0	92455	0	4170	234	0	0	37	0	337	0	6	0	0	0	0	0	0	1025281	329	14	0	0	0	31	0	1016	83	398	295	0	0	65	149	0	0	1	54764	3149405	0	12	1453	2	164	25049	0	0	0	151	2351999	178	0	168	0	0	0	0	94573	0	4	3	67	0	20	0	67749	2	1	0	5335	0	11	498427	0	3	0	0	0	0	2	97	826	12	3438	0	40	0	0	0
NS78	719	29	330	1038	6	24	175	0	0	7	24041	256	33538	9	0	1037929	1	534	0	0	0	5849	1267	0	906	0	0	1199	0	36032	0	12	223162	11	0	0	0	0	0	0	0	2748	1302	1623	0	92804	0	2398	400	1	0	0	0	33	0	0	0	0	1	2	0	0	3327924	12546	0	57	0	0	210	2	525	206	0	117	0	2	23	0	0	0	0	1217	546864	0	51	182	5	111	51580	7654	0	0	3	78184	69	0	104	0	0	0	0	8389	0	15	0	79	0	434	1	429963	0	0	0	133	0	12	4116	0	1	4	0	0	1	7	2348	13502	34	1852	0	17	0	0	0
NS79	620	0	60202	392	11	15	220	0	0	0	158	288	1006084	62	0	1972578	2	1373	0	0	1	12270	2591	1	48	0	0	1106	0	33838	0	11	216116	55	7	0	0	0	0	19	0	31596	1007	25952	2	225770	0	5048	91	0	0	0	0	32	0	1	0	2	0	0	0	0	3150496	1572	0	11	0	0	671	0	392	0	0	3	120	0	32	0	0	0	0	5442	3313227	0	0	92	6	203	19683	16918	3	0	10	303	217	0	8	0	0	0	0	36128	0	1	0	169	0	36	0	28663	0	0	0	220	1	2	26100	0	0	1	2	1	0	3	1213	393	38	533	0	20	0	2	0
NS81	492	0	136	1646	59	16	5129	12	0	0	103	350	35569	1	0	659874	6	2722	2	0	0	27789	2661	0	964	16	0	9840	0	59742	0	243	74	118	5	1	0	1	0	2	0	73330	3676	18777	1	257976	15	5238	275	3	1	3	8	24	0	27	6	8	0	0	178	0	4823736	7766	1	56	0	2	1558	3	32	21	2	0	35	0	158	13	0	0	0	10	793659	0	71	221	2	1279	107332	33935	4	0	7	53	57	0	14	0	53	0	0	4345	0	11	0	311	2	106	2	146039	2	1	0	51	0	3	8517	1	0	0	4	17	6	13	6310	25601	11	13424	0	15	1	0	0
NS83	759	0	84493	4132	228	37	94098	0	1	0	1859	305	426163	265	0	623711	1	261	1	0	3	2614	2280	1	140	0	0	3934	0	98267	0	30	706766	185	3	0	1	0	0	56	0	54750	34506	19532	4	230282	0	33139	284	1	0	0	0	14	0	12	3	7	4	2	0	0	2726102	97623	0	1	3	472	153	6	892	1001	0	302	34	0	70	0	0	0	0	9064	3309287	0	66	1961	8	627	78252	3026	0	0	15	245509	339	0	9	1	16	1	0	33818	1	40	2	30	0	405	6	397065	0	0	1	8064	0	21	66561	2	1	0	0	0	2	7	1966	32570	31	502	0	5	0	3	25
NS86	164	0	3494	2491	160	179	535	92	5	0	13025	86	46964	36	0	766368	1	183	0	0	0	7224	2467	5	156	2	0	1682	0	65007	0	198	81583	29	6	4	0	0	4	0	1	5001	13918	3149	0	94258	3	2870	44	0	0	0	0	34	0	0	0	0	0	0	9	0	3822324	65639	0	10	1	1	720	4	1763	149	0	80	382	0	40	32	0	0	0	768	4198885	0	15	9282	1	237	41082	1761	3	0	14	109989	123	0	242	1	2	0	0	14209	0	105	1	30	1	2913	2	253596	0	0	0	419	1	1	10062	0	0	0	0	0	0	2	1177	160	8	17527	0	3	2	85	0
NS9	794	0	92268	602	1	0	461	0	13	0	171	132	3243977	2386	0	31351	0	0	0	0	0	0	17581	1	79	0	0	5451	0	156298	0	48	93222	8	10	0	0	0	13	204	0	19918	71783	8927	0	98191	0	9924	234	0	0	6	0	29	0	0	0	0	0	0	0	0	3005987	2412	0	1	0	0	0	0	41	102	0	415	1424	0	83	6	0	1	0	156228	2533015	0	79	64	13	254	201761	0	0	0	298	8634	15	0	21	4	0	0	25	990252	34	232	1	2	24	412	0	100784	0	32	0	37	0	27	451415	0	0	3	1	0	1	0	251	575	24	818	0	142	0	3	4
