feature	Abiotrophia	Acetivibrio	Acetobacterium	Achromobacter	Acidaminococcus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Acutalibacter	Adlercreutzia	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alicycliphilus	Alicyclobacillus	Alistipes	Alkalihalobacillus	Alkaliphilus	Amedibacterium	Aminipila	Amniculibacterium	Anaerobutyricum	Anaerococcus	Anaerocolumna	Anaerostipes	Anaerotignum	Anoxybacillus	Arabiibacter	Arachnia	Arcanobacterium	Aromatoleum	Arthrobacter	Asticcacaulis	Atopobium	Auritidibacter	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bordetella	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brucella	Bulleidia	Burkholderia	Butyricicoccus	Butyricimonas	Butyrivibrio	Caldibacillus	Caldicellulosiruptor	Caloramator	Caloranaerobacter	Campylobacter	Capnocytophaga	Caproicibacter	Caproicibacterium	Caproiciproducens	Cardiobacterium	Carnobacterium	Cellulosilyticum	Christensenella	Chryseobacterium	Citrobacter	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Comamonas	Companilactobacillus	Coprobacter	Coprococcus	Coriobacterium	Corynebacterium	Crassaminicella	Cruoricaptor	Cryptobacterium	Cupriavidus	Cutibacterium	Cytobacillus	Dehalobacter	Dehalobacterium	Dehalococcoides	Delftia	Denitrobacterium	Dermabacter	Dermacoccus	Desulfitobacterium	Desulfomicrobium	Desulfosporosinus	Desulfotomaculum	Desulfovibrio	Desulfurispirillum	Dialister	Diaphorobacter	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erysipelatoclostridium	Erysipelothrix	Escherichia	Ethanoligenens	Eubacterium	Evansella	Exiguobacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Fibrobacter	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Flintibacter	Fretibacterium	Fusobacterium	Gardnerella	Gemella	Gemmatimonas	Geoalkalibacter	Geobacter	Geosporobacter	Gordonia	Gordonibacter	Gottschalkia	Granulicatella	Haemophilus	Halomonas	Halopseudomonas	Haploplasma	Hathewaya	Helcococcus	Helicobacter	Heliomicrobium	Herbinix	Heyndrickxia	Histophilus	Hungatella	Hydrogenophaga	Intestinibaculum	Intestinimonas	Jeotgalibaca	Jiangella	Jonquetella	Kingella	Klebsiella	Kocuria	Komagataeibacter	Laceyella	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Lawsonia	Leclercia	Lentilactobacillus	Leptospirillum	Leptotrichia	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnochorda	Limosilactobacillus	Liquorilactobacillus	Listeria	Loigolactobacillus	Longibaculum	Longicatena	Lysinibacillus	Macrococcus	Mageeibacillus	Mameliella	Mammaliicoccus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Meiothermus	Mesorhizobium	Metabacillus	Methylibium	Methylobacterium	Methylomusa	Methylorubrum	Microbacterium	Miniimonas	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Moorella	Moraxella	Murdochiella	Muribaculum	Mycobacterium	Mycolicibacterium	Mycoplasma	Nanosynbacter	Ndongobacter	Neisseria	Neobacillus	Niallia	Nocardioides	Novisyntrophococcus	Novosphingobium	Oceanithermus	Odoribacter	Oleidesulfovibrio	Olsenella	Ornithobacterium	Oscillibacter	Ottowia	Paenibacillus	Paeniclostridium	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paraclostridium	Parafannyhessea	Paraprevotella	Parascardovia	Parolsenella	Parvimonas	Pasteurella	Paucilactobacillus	Pauljensenia	Pediococcus	Pedobacter	Peptacetobacter	Peptoclostridium	Peptoniphilus	Peribacillus	Petrimonas	Petrocella	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Phytoplasma	Porphyromonas	Pradoshia	Prevotella	Priestia	Propionibacterium	Propionimicrobium	Pseudoalteromonas	Pseudobutyrivibrio	Pseudoclostridium	Pseudodesulfovibrio	Pseudomonas	Pseudoprevotella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultella	Rhizobium	Rhodocaloribacter	Rhodococcus	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Saccharibacillus	Saccharimonas	Saccharothrix	Salmonella	Sarcina	Scardovia	Schaalia	Schleiferilactobacillus	Sedimentibacter	Sedimenticola	Selenomonas	Serpentinicella	Serratia	Shigella	Slackia	Sneathia	Sodaliphilus	Sodalis	Solibaculum	Solidesulfovibrio	Sorangium	Sphingobacterium	Sphingobium	Sphingomonas	Sporomusa	Sporosarcina	Staphylococcus	Staphylospora	Stenotrophomonas	Steroidobacter	Streptobacillus	Streptococcus	Streptomyces	Succinivibrio	Suicoccus	Sulfurovum	Sutterella	Symbiobacterium	Syntrophobotulus	Tannerella	Tepidanaerobacter	Terrisporobacter	Tetragenococcus	Thalassotalea	Thermincola	Thermoactinomyces	Thermoanaerobacter	Thermoanaerobacterium	Thermobacillus	Thermoclostridium	Thermophilibacter	Thermosipho	Thermus	Tissierella	Treponema	Trueperella	Tumebacillus	Turicibacter	Turicimonas	Ureibacillus	Vagococcus	Vallitalea	Veillonella	Vescimonas	Vibrio	Weissella	Weizmannia	Xanthomonas
NS34	6	0	0	0	0	4	5	0	167	144	16	5	5	0	0	88985	10	0	127962	6	0	594	10	0	5919	14147	3	11910	50	0	16	6	20	0	0	0	3	0	15	8043638	0	8	183647	32793	0	0	0	0	0	4	0	1	0	0	327	10	0	0	0	1	3880	21	1	6	2	0	0	0	961	0	2	3	11	16397	20138	1608	0	0	61	18890	0	101	2	345	1	0	3	0	0	1	21	0	1	28	0	0	0	0	1	8	0	1646	0	11	75	26555	20780	0	0	52699	4434	0	18888	7	419594	2	10686	0	0	958	2445	74796	3	2277	3589	5	151	0	48	3777	0	18183	159	3	16413	37	72	0	0	0	0	0	6126	0	334	25	0	0	0	0	103	0	0	0	0	1	13864	0	20	4786	4	0	0	0	140	0	21	0	14	15002	2672	3939	15	9	72	20	0	0	1	3284	0	0	0	0	16	0	0	61	0	0	0	6	0	2070	1180	0	0	151	0	0	157	687824	0	26	0	0	0	0	0	0	0	0	0	10	775	29	6573	0	0	120	6	0	0	0	13	66	47	4	0	0	152	0	0	74819	0	41	0	16090	0	7	20	0	0	516476	0	8	9	1	2	61	377	0	0	12	0	0	36	0	4271	4	10	0	92708	6820	7	0	5673	0	5157	0	0	124	0	53	1	0	111	0	1577	3	0	0	0	0	1128	23204	14	18	20222	35018	0	0	0	581	20	4	4339	0	0	0	0	0	0	38	2	3	8	0	1574	0	0	0	0	0	0	0	0	0	0	0	11	12308	0	0	1	0	1	0	1	2	0	0	0	0	1	0	15	0	0	1	2	0	0	1	650	25	0	21282	6	0	0	3	493	56841	0	0	2	2
NS36	0	0	0	0	0	6	440	0	480	458	13371	0	0	0	0	3022608	17	0	1083338	0	0	1510	17	1	85695	625	7	137399	180	0	1	27	4	0	0	0	0	0	17	2057162	1169	99	290308	80507	0	0	0	2	0	0	0	2	0	45	65865	41	5	11	0	0	7841	2	13	57	36	0	0	2	2548	0	0	105	116	16824	217414	174745	8	0	157	17600	0	219	0	71	0	0	11	0	0	0	21	14	1	0	0	2	0	0	3	19172	0	19	101	10	19	94798	13588	0	10	42417	11979	22	6343	0	2713	27	6673	0	0	743	37000	292381	26	7195	20959	105	168	0	29	256	2	197827	25730	4	47	77	46	0	1	0	0	0	962	0	56	14	0	0	2	0	10	4	52	4	0	0	69560	0	23	132864	3	0	40	0	0	0	105	0	100	41587	1844	13770	10	58	1302	1063	3	0	0	12	4	0	0	0	5	0	0	275	1	2	0	0	0	33898	3110	0	0	226	0	0	4571	72773	0	98	0	19	0	0	13	0	0	0	0	12	13	84	795814	0	19	23	32	6	0	0	62	18	13	20	0	2	56	0	2	51292	0	101	0	89094	0	30	40	0	0	603965	0	18	16	578	0	103	43	0	0	28	1	0	16	0	846	0	1	8	225344	1063955	5	0	902	0	2326	0	19	16	1	24	0	2	4821	0	59225	17	0	0	0	0	11752	45751	31	15	55649	211154	0	0	7	0	2	5	296	0	0	0	5	0	0	0	2	0	8	0	3719	0	7	0	129	13	0	1	8076	0	3	0	0	20984	0	0	0	0	11244	3	0	6	0	1	0	0	0	0	0	0	0	2	6	1	0	23	446	6	0	15030	2	0	0	4	15	19480	8	0	0	0
NS38	0	0	0	0	6	25	523	0	126	295	14876	0	79	8	0	1335757	0	0	252982	0	0	618	15	2	105073	6	5	529127	6	10	9	2	0	0	0	0	1	0	17	2358201	462	3	1659539	103303	0	0	86	0	0	0	0	0	0	7	9806	22	8	0	0	0	438	6	7	42	5	0	1	8	4505	3	0	7	188	6663	47086	118072	13	0	39	201670	0	6	0	0	0	0	1	0	0	0	12	0	0	0	1	0	1	0	0	20487	2	62570	136	0	283	37245	4167	0	0	44608	5498	0	2614	0	118091	14	4167	0	0	3	9193	454172	13	4189	4011	1	0	0	2	4	0	9406	302	0	5	1	104	1	1	0	0	0	7310	0	10	2101	0	0	0	0	0	0	11	4	0	0	120	0	17	6896	0	0	0	0	0	0	183	0	21	2710	58899	9909	0	83	35	604	1	0	18	2	1	0	0	0	0	13	0	14113	0	17	0	0	0	9490	1900	0	0	404	0	0	4192	15537	0	46	0	0	0	0	0	0	0	0	0	46	1	80	19014	0	0	215	1016	2	0	0	53	31	9	5	0	0	126	0	0	40634	0	294	0	38594	0	0	18	0	0	262415	0	5	0	267	0	99	73	0	0	0	0	0	8	0	0	0	0	2	84	611287	4	1	12	0	284	0	0	16	0	15	2	0	1544	0	2126	0	0	0	0	0	4531	57712	199	0	98932	33451	0	0	0	0	1	0	61	1	0	0	10	0	0	204	1	0	5	0	1265	1	2	0	0	0	9	0	31	0	3	0	0	18222	0	0	0	0	4409	0	1	2	0	0	0	0	0	0	0	0	4	0	1	0	1	2	192	3	1	360	3	0	0	0	521	24408	0	0	0	0
NS39	16	0	0	0	5	0	239	5	139	102	404	0	85	128	0	55389	0	0	264092	1	0	1049	40	0	80797	10	9	76940	40	10	8	83	0	2	0	0	1	1	73	1388032	443	58	946754	208217	0	0	0	0	0	0	0	119	0	109	5159	94	0	0	2	0	1782	0	12	19	8	9	4	8	3242	0	0	158	22	10021	35511	97902	0	0	24736	564277	1	17	3	35	0	0	2	0	0	0	1	0	9	0	0	0	7	0	0	35	0	1158	0	0	27	44429	2055	1	0	16315	1970	0	2440	0	11795	4	6149	0	0	112	10600	4751975	368	3023	4167	76	2	0	305	24	21	11257	803	12	142	227	341	4	0	4	1	0	607	0	222	16794	0	0	14	1	0	0	4	6	0	235	192	0	49	5798	0	1	0	2	0	0	170	0	73	3887	110079	6067	8	140	28	744	4	22	23	0	17	0	0	0	5	2	0	151	1	1	0	0	3	10254	1789	0	0	362	0	0	1303	103252	100889	29	0	19	0	0	0	13	0	0	2	245	0	182	238	0	12	76	95	12	3	16	131	0	93	35	0	0	220	0	0	76068	0	66	0	20196	0	32	9	0	0	151681	0	5	15	92	0	127	5511	4	0	17	0	0	106	0	8	0	0	6	43183	993016	21	16	71	0	349934	0	0	8	3	119	0	2	85	17	2453	8	0	0	0	0	1777	62683	225	65	33395	14517	0	1	8	0	58	0	92	0	0	0	9	0	0	0	20	1	431	0	650	0	0	0	0	14	28	19	35	1	0	0	0	34279	0	0	0	0	3797	0	0	1	0	0	0	2	0	0	25	0	0	0	8	0	0	12	1763	207	5	1362	2	0	1	3	12666	49459	0	0	1	0
NS4	3	0	0	0	11	212	23	0	12	31	0	8	0	185	0	480	0	0	24510	0	0	1063	4	0	42576	136	15	992505	19	0	0	1	14	0	0	0	0	0	11	2015215	158	0	754039	129547	36	3	17	0	0	0	0	0	0	487	571	140	0	0	1	0	1501	0	1	0	0	5	0	4	91	0	19	0	505	5468	16746	40610	0	0	60	35893	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	174	103	0	8	11560	4744	362	0	18909	1971	0	6507	0	237309	0	2758	0	0	15	5139	2283349	30	1861	1153	13	0	0	261	71	0	12137	561	0	221	24	144	2	0	0	1	0	349	0	38	42436	0	0	1	0	3	62	0	0	0	1	72	46	99	1459	0	0	0	0	0	0	47	0	75	4909	657508	5571	0	24	286	395	0	0	296	0	0	0	0	0	4	0	0	342	0	0	0	0	0	5095	2159	0	0	247	0	0	316	71492	5	34	0	5	0	46	0	0	0	0	0	48	1	14	80	0	2	10	0	139	0	0	16	1	190	3	0	0	61	0	0	18797	0	5	0	18107	0	12	8	0	0	68262	40	0	0	933	0	8	44	0	0	0	0	0	2	5	110	0	0	0	69	3547764	18	0	14	0	1108	18	5	27	0	292	0	0	11	0	957	0	0	0	0	0	87	242159	111	18	70540	641	0	0	0	31	0	0	35	0	0	0	0	0	0	148	2	0	11	0	212	0	0	0	0	0	1	0	15	0	0	1	0	48555	0	0	0	0	3180	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	642	0	1	1165	20	0	0	8	7397	6702	0	0	0	0
NS40	21	3	11	0	9	18	817	0	188	961	1744	1	21	2	33	706	0	0	97488	0	0	3203	17	0	407106	228	9	182059	9	0	2	84	0	4	0	14	6	4	310	453453	988	3	1506534	373358	0	0	2	0	0	0	0	2	0	713	929	220	13	0	0	0	3741	0	25	69	22	1	0	33	1167	0	894	1	14	35862	60508	271651	0	0	57	535083	4	40	0	80	2	0	4	25	2	1	2	0	14	1	0	1	0	0	0	3	0	70	74	4	6	125339	1145	0	555	27299	8572	0	17443	2	34441	138	9087	0	0	142	8453	3481156	323	7772	13692	301	16	0	74	230	0	40840	1325	0	356	165	422	0	5	0	0	0	11379	0	98	349	0	0	0	0	4	2	8	31	0	0	811	0	564	8379	3	0	0	0	1657	0	347	0	244	40532	32321	25096	0	1732	99	1654	6	2	14	2	0	0	0	0	4	722	0	179700	0	292	0	2	0	19509	2780	0	0	795	0	0	2946	277966	81193	26182	0	49	0	4	0	0	0	10	2	425	35	397	701431	0	0	2572	42	570	1	0	270	264	11	8	0	2	332	0	0	11167	0	69186	1	64315	32	54	8	0	0	362074	0	1	18	10373	0	626	350	0	0	13	0	0	126	6	115	0	1	20	16595	575805	55	0	1486	0	371495	0	32	124	4	273	0	0	605	14	11571	25	0	0	0	2	771	257035	75	0	10619	102799	0	0	6	0	84	0	407	9	0	0	122	0	0	81	22	0	19	0	60192	0	13	6	0	56	0	0	98	0	0	0	0	21824	0	0	0	0	391	0	0	1	0	0	0	0	1	0	0	0	0	0	45	0	0	9	2473	1	10	218	2	0	0	9	361	354381	0	1	0	0
NS41	10	1	0	0	18	0	741	0	37	57	309	0	274	4	0	55274	0	0	321288	0	0	706	16	0	17697	32	8	23583	88	0	2	7	0	0	0	0	3	3	19	2661768	2023	10	130066	49156	5	0	0	0	0	0	0	17	7	635	11416	186	0	0	0	0	17365	0	16	16	13	0	0	55	887	0	0	1	12	6075	29163	33301	0	0	91	1219755	1	0	0	127	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	14	0	52	0	0	57	45969	555	0	0	21480	6018	0	3271	0	1012	14	3919	2	0	18	1133	3496558	53	2598	9066	37	4	0	5	66	0	15849	526	1	38	9	26	0	0	0	0	0	891	0	39	579	0	0	0	1	3	0	0	8	0	0	497	32	332	9099	0	0	0	0	0	3	173	0	195	3218	33585	7977	0	168	13	194	0	0	5	0	0	0	0	0	1	81	0	34574	5	40	0	0	0	3042	1202	0	0	841	26	0	970	61128	58626	3676	0	25	46	8	0	0	0	0	0	31	1	6	23233	0	51	151	52	80	0	0	30	22	4	12	0	0	681	0	0	63834	0	4403	0	40725	0	21	13	0	0	965394	0	3	10	16989	0	145	24	0	0	1	0	0	34	12	9	0	2	2	21675	1409626	13	0	643	0	7089708	0	1	20	0	438	0	0	7090	0	17153	33	0	0	0	0	950	480868	31	6	45611	25547	0	0	0	0	16	0	21	4	0	0	9	1	0	0	2	0	61	0	6293	0	0	0	0	21	0	0	0	3	0	0	0	13887	0	0	0	0	5039	0	0	31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	192	5	26	117	0	0	0	2	126	288878	0	0	0	0
NS46	5	2	0	110	2	174	537	0	945	541	114457	3	26	0	0	38454	16	0	164840	7	0	803	586	3	155721	879	63	175268	34	1	88	2	0	0	1	0	1	7	68	1444589	305	42	734426	278086	0	0	0	10	0	0	0	328	0	15	22401	179	0	0	0	0	6683	12	9	72	8	2	0	113	18763	23	0	4	314	20937	244516	2235	18	0	215	1424366	0	58	11	118	8	13	18	7	8	0	72	31	882	0	0	3	6	0	3	60	0	368	213	13	8	65297	54143	0	9	9333	4257	9	22255	2	71416	51	16866	0	0	853	17761	803354	91	46766	11672	21	22	0	274	664	0	18544	2128	14	18	2	227	0	0	0	1	0	12220	0	206	108	0	0	0	0	8	0	33	22	1	0	1528	0	477	6141	0	0	9	0	0	0	198	0	183	12171	27558	13322	14	275	7009	1886	59	3	38	6	0	0	1	2	2	3	0	492	2	78	0	154	0	16644	13752	0	1	584	5	0	2951	315689	2	80	0	70	1	0	42	1	0	0	0	22	38	737	31220	1	0	146	11	0	0	0	27	99	13	1	0	0	386	48	0	28286	0	168	1	26962	0	32	33	0	0	77565	0	18	7	2960	1	13	183	0	0	10	0	0	36	1	325	0	17	17	149	854782	41	0	2399	0	12567	0	2	18	0	339	0	6	37	1	5163	17	0	0	0	0	9585	147560	501	7	211114	147624	0	0	0	206	7	0	317	0	1	0	8	0	3	0	15	1	29	0	1770	4	2	1	185	4	2	0	8410	0	0	0	0	6254	0	4	1	0	2	0	0	2	0	0	0	0	1	1	0	4	25	7	39	0	0	24	683	7	0	72990	6	0	0	3	923	55254	0	0	0	2
NS51	33	1	0	0	1	1	10	0	771	217	466	7	0	6	6	190	0	0	4041	17	15	3004	29	0	647445	3096	15	1540535	6	5	12	108	4	7	0	0	20	0	73	135014	33	237	2596924	864212	0	3	1	2337	0	0	8	1	33	1401	82	221	0	15	3	2	2926	7	5	21	6	0	0	4	1702	0	4	1	6	7688	270760	34215	0	0	0	213036	26	236	1	244	2	145	0	6	3	0	4	0	74	0	0	0	0	0	0	400	1	37	41	8	7	26012	3656	13	0	11692	8652	0	41026	2	218958	13	6862	1	0	6407	1982	2286399	48	10919	5526	87	64	0	4	2182	0	17977	2531	0	3120	13	638	4	0	13	1	0	333	2	428	955	4	0	0	1	34	0	0	24	1	1	28028	0	109	1587	29	1	0	2	0	0	147	0	138	11175	23062	8132	424	1650	33408	1958	9	0	23	54	0	0	0	0	31	0	10	291	0	924	0	0	1	1409	2611	0	0	263	0	0	1506	1392085	11	41	0	26674	0	0	944	0	121	3	0	15	42	86	19609	2	0	341	3	34	0	2	44	32	87	50	2	0	642	30	0	17	0	416	6	11890	1	112	275	9	0	22581	3	166	39	1419	47	844	19	0	7	4	1	0	497387	0	4228	3	0	55	7255	260620	106	0	4814	0	4016	0	86	39	0	379	0	0	191	0	1071	16484	0	0	0	0	75782	940430	993	148	53130	4678	0	1	0	0	378791	51	679	0	0	0	0	0	0	22	37	0	2	0	945	0	0	0	139	36	0	1	85	0	0	0	1	175748	1	0	3	0	22	0	0	4	0	0	2	0	0	0	183	0	0	4	50	0	0	40	1127	3	2	5046	0	0	0	7	5690	19706	0	0	6	2
NS55	16	1	0	0	8	0	139	0	330	69	7937	1	4	0	12	2801	0	0	5622	3	1	1713	7	0	224853	71	39	360040	8	7	3	26	0	0	0	0	0	0	118	440571	1	0	238674	424620	0	0	1	0	0	0	0	1	0	583	277	476	0	20	0	0	238	0	2	19	2	2	0	619	2344	1	0	0	12	11407	78136	76914	0	0	9	303064	0	13	0	6	0	0	9	10	1	0	11	0	0	1	0	3	0	0	0	12	0	37	0	7	1	9349	33876	0	0	13094	3571	11	5003	1	34409	6	4251	0	0	20	390023	1426879	56	4234	10407	57	7	0	43	115	0	8966	335	1	23	0	237	0	0	48	0	0	6248	0	136	54	0	0	0	0	2	0	25	18	0	0	184	0	65	997	2	0	0	0	5	0	679	0	1487	11927	122196	4824	37	52	855	3919	11	0	0	9	0	0	0	0	2	14	0	222	0	53	0	0	0	325444	1422	0	0	690	0	0	1054	555749	3	119	0	0	0	0	0	0	0	0	0	334	2	97	9390	1	0	88	0	1	0	0	130	0	0	20	0	0	307	0	0	6656	0	35	4	3557	24	38	95	0	0	4838	0	27	0	17	0	96	15	0	2	9	0	1	26	1	52	0	0	57	138	367152	87	0	78	0	487	0	0	17	0	1486	0	0	3	59	1452	0	0	0	0	0	24405	1242908	58	27	18451	10822	0	0	0	0	2	0	278	0	1	2	10	0	0	0	1	0	0	0	505	0	0	0	0	0	0	0	21	0	0	0	0	42300	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	492	30	0	2213	0	0	0	4	329	8786	0	4	0	0
NS58	266	0	0	0	6	43	50	0	3450	81	8	0	0	128	0	430	0	0	1242	128	1	2312	1	0	440409	28	36	1851641	0	8	0	278	1	3	0	0	0	0	1433	11039	0	35	965350	5581982	3	0	2	332	0	0	0	9	33	135	22	2635	2	0	0	5	26319	2	8	18	6	4	8	27	3835	0	0	0	18	15910	95529	267915	0	0	1	508571	3	857	0	0	2	135	27	13	2	0	0	110	10	0	2	0	0	1	0	1	0	1	0	5	0	4346	7937	30	78	5788	2604	0	13840	0	635	5	2074	0	0	0	338560	407940	243	6115	7796	376	0	1	6	74	0	7023	1269	0	467	0	6993	0	0	31	0	1	1699	1	1689	6988	0	1	0	0	0	0	31	0	0	2	38	0	514	214	8	1	0	1	0	11	769	0	280	19094	186444	7455	47	74	144	448	104	3	4	1	0	0	0	0	29	534	0	187	0	85	0	4	0	268114	1949	0	0	92	0	0	1253	633224	22	1	0	2089	0	0	804	0	330	0	0	1073	16	343	445	1	0	20	0	83	0	0	393	1	13	25	20	0	1491	0	0	213	0	109	6	2218	0	136	548	17	0	4346	6	177	25	90	0	369	451	3	0	76	0	1	60	1	1	7	0	47	2097	21287	12	0	41	1	81266	1	0	63	0	1859	0	0	28	1	1863	18366	0	0	0	4	120612	3019869	1614	0	2980	6333	0	4	0	0	38	4	3085	0	0	0	1	0	0	0	16	0	16	1	520	0	0	0	54	15	0	0	668	0	0	3	0	354297	0	0	0	3	39	0	2	6	0	3	0	0	0	2	0	0	0	1	1	1	0	8	338	0	0	285783	2	8	0	1	3625	7426	53	81	0	0
NS6	6	2	0	0	16	0	22	0	51	420	2	28	0	9	0	882	0	0	487889	3	0	2128	21	0	463085	4467	27	1202341	5	2	1	21	1	1	0	0	1	0	122	4562991	550	0	2628	465115	0	0	0	0	0	0	0	4	0	186	2400	146	19	0	3	0	1162	2	9	20	5	0	7	36	1584	3	9	0	0	36365	40890	71744	0	2	180	282159	2	15	0	897	0	0	2	5	2	0	14	0	0	1	0	0	0	0	0	13	0	89	0	25	0	11778	45059	0	0	26450	4543	0	16804	5	10442	3	7671	0	0	894	68791	1739494	33	3259	19826	18	109	0	94	1221	0	21913	414	8	17	9	67	2	0	0	0	0	560	0	347	1320	0	0	0	0	147	0	6	11	0	1	3029	0	68	2367	1	0	0	0	0	0	235	0	326	13146	43076	5270	1950	454	57	514	2	0	8	57	0	0	0	0	4	78	0	330	0	0	0	0	0	50266	2528	0	0	842	0	0	510	292287	2	57	0	0	0	0	0	0	0	0	0	89	7	27	492	0	0	549	481	99	0	0	37	260	132	5	0	0	748	0	0	81792	0	40	2	10458	0	14	27	0	6	714787	0	6	0	5960	0	161	179	1	0	1	29	0	3	1	1246	0	0	18	69	4870243	18	0	11274	3	21993	0	0	67	0	503	0	0	7218	12	2086	0	0	0	0	0	6628	611995	105	8	89788	20925	11	0	0	0	1	0	133	0	0	0	0	0	0	0	0	0	24	0	1160	0	0	0	0	0	0	0	72	0	0	2	0	32371	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	86	4	28	5	0	0	0	1284	28371	0	239	0	0
NS62	16	0	0	0	0	0	172	0	597	273	74734	0	0	0	27	146992	0	0	145040	8	0	2320	72	0	473357	36	14	1088975	4	9	16	16	0	0	0	0	0	0	56	166013	42	32	416298	1166671	0	0	1	0	0	0	0	1	0	72	101	201	0	0	0	0	11849	0	16	67	6	0	3	158	5651	0	90	2	19	16465	85761	312	0	3	10	1087249	0	6938	0	182	0	0	3	0	2	0	30	0	0	0	0	0	2	0	0	5	0	10	0	0	0	10334	7919	0	0	12329	10978	0	11091	0	582	4	2488	1	0	103	49749	497538	142	7060	2524	24	1	0	479	125	0	6349	276	0	17	3	324	0	0	1	0	0	12485	1	204	72	0	2	1	2	0	0	16	16	0	0	391	0	241	1244	7	0	2	0	0	0	330	0	323	26324	65007	57118	23	102	453	6667	19	304	64	3	0	30	0	0	228	128	0	519	0	10	0	5	5	39935	40118	23	0	616	7	0	3469	206961	0	129	0	0	0	0	0	0	0	0	0	185	4	132	17637	1	0	118	7	0	0	0	77	0	0	0	0	0	273	0	0	2447	0	1	0	7982	2	37	262	0	2	37281	0	14	0	96	1	132	28	0	1	1	2	0	21	0	37	0	0	91	8706	49810	69	0	34	0	420	0	0	19	0	620	3	0	0	9	1753	0	48	0	0	0	10928	188315	232	45	23098	10217	0	0	0	0	54	0	605	0	1	0	0	0	0	0	5	0	2	0	770	0	0	0	0	0	2	0	467	0	0	7	0	45304	0	4	0	0	6	0	0	4	0	1	0	0	0	1	0	0	0	0	5	0	0	9	930	12	0	1264	8	0	0	4	268	32226	6	28	0	0
NS67	19	1	16	0	259	3	116	0	4998	396	42555	6	0	0	18	129006	0	2	463	1	0	2067	95	0	322517	1767	18	15239	567	10	76	162	0	1	12	0	7	0	113	218068	3	134	2439819	197987	4	0	0	214	59	0	31	153	9	1745	427	247	4	0	0	2	2974	4	99	117	69	3	0	25	6691	0	39	122	5	19898	60329	328990	0	0	6	478847	13	277	0	22	3	56	5	20	9	5	2	0	16	0	0	5	2	0	2	66	0	10417	0	5	9	91957	19239	2	59	109904	11315	5	43282	6	148101	80	9953	0	26	222	832	1091163	124	6608	4812	20	25	0	2352	1338	0	42582	1279	9	157	9	515	0	0	0	0	0	498	0	986	883	0	0	0	0	21	1	0	36	0	1464	1357	0	143	19413	6	0	0	2	0	0	101	0	354	43826	86950	19736	30	665	382	1385	46	0	7	0	11	1	4	0	1080	113	0	205339	0	359	4	0	0	3840	51009	5	7	388	0	0	7905	2237246	51	1735	0	2150	0	0	172	93	68	2	0	1369	45	843	364	0	0	270	16	22	3	1	392	90	15	27	0	1	692	6	5	57	21	457	0	31505	30	107	118	3	0	38007	0	120	36	172	10	1160	623	1	0	168	1	0	181	26	998	11	19	23	480	140663	35	0	418	0	218135	0	12	41	0	156	2	1	24	0	11587	6913	0	0	0	7	18538	185347	619	539	1074155	399609	0	0	12	25	4830	5	3473	16	0	0	44	0	0	120	66	0	52	0	11874	0	0	0	0	76	84	0	169	12	0	0	77	46108	0	0	4	15	385	0	0	4	5	0	0	0	0	0	606	0	0	9	11	1	1	8	410	526	0	22524	3	0	0	0	3861	40229	0	12	175	0
