feature	Abiotrophia	Acetivibrio	Acetobacterium	Achromobacter	Acidaminococcus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Acutalibacter	Adlercreutzia	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alicycliphilus	Alistipes	Alkalihalobacillus	Alkaliphilus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerocolumna	Anaerostipes	Anaerotignum	Anoxybacillus	Arabiibacter	Arachnia	Arcanobacterium	Aromatoleum	Arthrobacter	Atopobium	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bordetella	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brucella	Bulleidia	Burkholderia	Butyricicoccus	Butyricimonas	Butyrivibrio	Caldibacillus	Caldicellulosiruptor	Caloramator	Caloranaerobacter	Campylobacter	Capnocytophaga	Caproicibacter	Caproicibacterium	Caproiciproducens	Cardiobacterium	Carnobacterium	Cellulosilyticum	Christensenella	Chryseobacterium	Citrobacter	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Comamonas	Companilactobacillus	Coprobacter	Coprococcus	Coriobacterium	Corynebacterium	Crassaminicella	Cruoricaptor	Cryptobacterium	Cupriavidus	Cutibacterium	Cytobacillus	Dehalobacter	Dehalobacterium	Dehalococcoides	Delftia	Denitrobacterium	Dermabacter	Dermacoccus	Desulfitobacterium	Desulfomicrobium	Desulfosporosinus	Desulfotomaculum	Desulfovibrio	Dialister	Diaphorobacter	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erysipelatoclostridium	Erysipelothrix	Escherichia	Ethanoligenens	Eubacterium	Evansella	Exiguobacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavobacterium	Flavonifractor	Flintibacter	Fretibacterium	Fusobacterium	Gardnerella	Gemella	Gemmatimonas	Geobacter	Gordonia	Gordonibacter	Gottschalkia	Granulicatella	Haemophilus	Halopseudomonas	Hathewaya	Helcococcus	Helicobacter	Heliomicrobium	Herbinix	Histophilus	Hungatella	Hydrogenophaga	Intestinibaculum	Intestinimonas	Jeotgalibaca	Jonquetella	Klebsiella	Kocuria	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Lawsonia	Lentilactobacillus	Leptospirillum	Leptotrichia	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnochorda	Limosilactobacillus	Listeria	Loigolactobacillus	Longibaculum	Longicatena	Lysinibacillus	Macrococcus	Mageeibacillus	Mameliella	Mammaliicoccus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylibium	Methylobacterium	Methylomusa	Methylorubrum	Microbacterium	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Moorella	Moraxella	Murdochiella	Muribaculum	Mycobacterium	Mycolicibacterium	Mycoplasma	Nanosynbacter	Ndongobacter	Neisseria	Neobacillus	Niallia	Novisyntrophococcus	Novosphingobium	Oceanithermus	Odoribacter	Oleidesulfovibrio	Olsenella	Ornithobacterium	Oscillibacter	Ottowia	Paenibacillus	Paeniclostridium	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paraclostridium	Parafannyhessea	Paraprevotella	Parascardovia	Parolsenella	Parvimonas	Paucilactobacillus	Pauljensenia	Pediococcus	Peptacetobacter	Peptoclostridium	Peptoniphilus	Peribacillus	Petrimonas	Petrocella	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Priestia	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudoclostridium	Pseudodesulfovibrio	Pseudomonas	Pseudoprevotella	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Raoultella	Rhizobium	Rhodocaloribacter	Rhodococcus	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Saccharibacillus	Saccharimonas	Saccharothrix	Salmonella	Sarcina	Scardovia	Schaalia	Schleiferilactobacillus	Sedimentibacter	Sedimenticola	Selenomonas	Shigella	Slackia	Sneathia	Sodaliphilus	Solibaculum	Sorangium	Sphingobacterium	Sphingobium	Sphingomonas	Sporomusa	Sporosarcina	Staphylococcus	Stenotrophomonas	Steroidobacter	Streptobacillus	Streptococcus	Succinivibrio	Suicoccus	Sutterella	Syntrophobotulus	Tannerella	Tepidanaerobacter	Terrisporobacter	Thermoactinomyces	Thermoanaerobacter	Thermoanaerobacterium	Thermobacillus	Thermoclostridium	Thermophilibacter	Thermosipho	Tissierella	Treponema	Trueperella	Tumebacillus	Turicibacter	Turicimonas	Vallitalea	Veillonella	Vescimonas	Vibrio	Weissella	Weizmannia	Xanthomonas
NS34	1	0	0	0	0	3	4	0	79	87	11	2	3	0	0	48676	1	70113	6	0	331	6	3327	7874	3	6513	23	0	7	3	10	0	0	2	5	4396926	0	2	100605	17962	0	0	0	0	3	0	0	0	0	181	3	0	0	0	0	2156	12	0	3	3	0	0	0	523	0	1	4	11	9031	11086	888	0	0	34	10304	0	65	0	194	1	0	2	0	0	0	12	0	0	21	0	0	0	0	0	3	872	0	6	33	14287	11427	0	0	28798	2432	0	10583	3	228259	1	5808	0	0	537	1342	40991	3	1250	1949	2	79	32	2126	0	9922	77	1	8951	16	35	0	0	0	3319	0	143	16	0	0	54	0	0	0	0	7590	0	11	2566	2	0	69	0	13	4	8263	1532	2130	9	4	36	9	0	0	0	1783	0	0	0	9	0	0	37	0	0	3	0	1139	693	0	0	86	0	0	86	376614	0	19	0	0	0	0	0	0	10	424	14	3653	0	0	77	2	0	0	0	9	37	28	0	0	85	0	0	40985	0	19	0	9037	0	4	12	0	0	281606	0	2	8	1	2	29	178	0	6	0	13	0	2351	4	8	0	50564	3694	2	3112	2770	0	0	68	33	0	0	54	0	847	0	0	0	0	0	562	12608	11	8	11050	18944	0	0	0	320	14	4	2335	0	0	0	0	22	1	1	7	894	0	0	0	0	0	0	0	0	0	2	6664	0	1	0	1	1	0	0	0	15	0	0	1	1	0	2	351	20	0	11490	2	2	275	30985	0	0	0	0
NS36	0	0	0	0	0	3	234	0	252	258	6840	0	0	0	0	1534665	11	549565	0	0	783	6	43327	320	4	70285	93	0	0	15	3	0	0	0	9	1043718	603	48	146972	40654	0	0	3	0	0	0	2	0	26	33661	17	1	6	0	0	3981	0	4	26	17	0	0	1	1295	0	0	54	53	8523	110936	88946	11	0	81	9034	0	96	0	42	0	0	5	0	0	0	14	7	2	0	0	0	0	0	1	9816	8	73	6	13	48059	7003	0	6	21761	6009	7	3207	0	1407	18	3349	0	0	363	19117	148182	19	3718	10728	53	76	16	133	1	100693	12999	1	28	31	25	0	0	0	486	0	31	9	0	0	9	0	38	2	0	35434	0	12	67355	1	16	0	0	35	68	21351	944	6988	10	28	714	532	2	0	0	8	0	0	0	2	0	0	121	4	0	0	0	17095	1539	0	0	119	0	0	2312	37041	0	47	11	0	6	0	0	0	6	5	44	403205	0	7	12	14	5	0	0	29	10	5	10	0	27	0	0	25848	0	57	0	45011	0	11	21	0	0	306372	0	9	6	281	0	47	22	0	17	2	7	0	461	0	0	2	114895	538573	3	471	1187	0	6	9	8	0	1	2377	0	30093	7	0	0	0	0	5934	23335	18	8	28299	107390	0	0	4	0	0	4	161	0	0	0	4	0	1	0	4	1924	4	0	58	9	0	1	4113	1	0	0	10384	0	0	5618	0	3	0	1	0	0	0	0	0	4	0	15	216	2	0	7545	1	5	6	10044	0	0	0	0
NS38	0	0	0	0	6	13	366	0	74	203	10064	0	58	7	0	895814	0	169617	0	0	388	14	70589	7	2	353784	3	9	6	2	0	0	0	0	11	1580175	310	4	1112830	69469	0	69	0	0	0	0	0	0	6	6619	12	4	0	0	0	269	6	2	34	2	0	0	6	2956	1	0	3	122	4413	31485	78836	9	0	24	135293	0	6	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	13534	42084	80	0	181	25078	2799	0	0	29985	3644	0	1762	0	78950	3	2851	0	0	1	6153	304840	6	2810	2683	0	0	0	2	0	6369	211	0	5	1	72	0	0	0	4959	0	9	1360	0	0	0	0	10	4	0	79	0	10	4504	0	0	0	0	121	11	1823	39406	6628	0	62	28	442	2	0	19	1	1	0	0	0	5	0	9519	0	11	0	0	6319	1303	0	0	267	0	0	2801	10372	0	34	0	0	0	0	0	0	22	2	59	12774	0	0	154	700	3	0	0	42	26	11	6	0	90	0	0	27224	0	182	0	26031	0	0	16	0	0	175687	0	6	0	152	0	65	42	0	0	0	7	0	0	0	0	0	74	411625	2	6	194	0	0	9	9	1	0	1099	0	1435	0	0	0	0	0	2977	38762	119	0	66205	22174	0	0	0	0	0	0	42	0	0	0	10	132	0	0	4	828	1	0	0	0	12	0	19	2	0	0	12080	0	0	2924	0	1	0	0	0	0	0	2	0	0	0	3	129	2	1	245	0	0	361	16491	0	0	0	0
NS39	9	0	0	0	1	0	125	1	77	50	199	0	53	80	0	30465	0	144932	1	0	547	18	44566	2	4	42137	18	7	4	40	0	2	0	1	29	761065	255	47	519225	114477	0	0	0	0	0	0	76	0	60	2843	68	0	0	0	0	983	0	5	13	3	5	3	14	1791	0	0	100	11	5558	19629	53841	0	0	13604	309192	0	4	2	17	0	0	1	0	0	0	1	0	2	0	0	0	6	0	0	20	642	0	0	16	24513	1101	1	0	8848	1117	0	1330	0	6438	3	3400	0	0	52	5826	2607567	182	1712	2296	33	1	167	10	13	6051	426	13	62	132	189	2	3	0	333	0	117	8960	0	2	0	0	0	3	108	107	0	30	3113	0	0	0	0	101	51	2175	59787	3358	8	67	15	425	3	12	14	0	8	0	0	1	1	0	98	1	1	0	1	5820	973	0	0	199	0	0	713	56744	55449	18	10	0	0	8	0	0	137	0	81	140	0	9	44	63	6	3	11	77	0	44	23	0	143	0	0	41933	0	36	0	10980	0	17	6	0	0	82802	0	0	6	45	0	56	3029	0	8	0	51	0	3	0	0	2	23848	545431	12	39	191964	0	0	6	62	0	0	46	17	1328	4	0	0	0	0	938	34630	116	39	18201	7907	0	0	3	0	33	0	66	0	0	0	7	0	12	0	233	323	0	0	0	5	16	11	21	0	0	0	18913	0	0	2093	0	0	0	0	0	16	0	0	0	6	0	8	993	111	2	721	1	2	6973	27244	0	0	0	0
NS4	1	0	0	0	7	102	10	0	1	22	0	5	0	94	0	271	0	12637	0	0	581	6	22230	63	5	515054	13	0	0	1	6	0	0	0	5	1046064	87	0	390260	67361	16	5	0	0	0	0	0	0	248	260	60	0	0	1	0	797	0	2	0	0	1	0	1	61	0	4	0	252	2871	8795	21064	0	0	25	18393	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	99	50	0	2	5981	2400	160	0	9819	1037	0	3403	0	122810	0	1465	0	0	9	2718	1185521	16	944	602	3	0	140	39	0	6240	275	0	100	12	84	1	0	0	170	0	13	21954	0	0	2	29	0	0	0	44	22	49	792	0	0	0	0	31	25	2486	340932	2859	0	15	141	195	0	0	160	0	0	0	0	2	0	0	177	0	0	0	0	2689	1182	0	0	109	0	0	158	36967	2	15	8	23	0	0	0	0	27	0	5	37	0	1	11	0	73	0	0	8	0	91	2	0	27	0	0	9687	0	1	0	9484	0	5	7	0	0	35561	21	0	0	449	0	3	22	0	0	0	0	3	58	0	0	0	37	1841268	6	4	593	12	3	15	160	0	0	3	0	518	0	0	0	0	0	43	125785	46	15	36738	349	0	0	0	20	0	0	21	0	0	0	0	67	0	0	6	96	0	0	0	0	2	0	9	0	0	0	25217	0	0	1641	0	4	0	0	0	0	0	0	0	1	0	0	328	0	0	580	11	4	3824	3548	0	0	0	0
NS40	6	1	5	0	4	11	455	0	91	479	947	0	11	1	11	372	0	50755	0	0	1633	5	211821	128	7	95067	6	0	1	33	0	3	0	3	157	235476	522	1	783531	194115	0	1	0	0	0	0	0	0	390	435	123	8	0	0	0	1881	0	14	35	11	0	0	17	589	0	488	0	5	18649	31680	141946	0	0	36	278472	0	13	0	37	2	0	0	15	2	1	1	0	4	1	0	0	0	0	0	0	39	34	5	3	65245	658	0	284	14289	4587	0	9074	0	17817	58	4813	0	0	89	4453	1812719	157	4018	7270	179	7	41	134	0	21300	707	0	197	83	227	0	0	0	5879	0	65	183	0	0	1	1	6	16	0	417	0	303	4290	3	0	836	0	178	144	20967	16831	13037	0	915	44	829	3	3	7	1	0	0	0	1	375	0	93436	0	171	2	0	10129	1437	0	0	403	0	0	1563	144480	42142	13403	39	1	0	0	0	4	221	16	209	364771	0	0	1345	24	265	1	0	149	110	6	4	0	168	0	0	5788	0	36201	0	33490	11	34	3	0	0	188316	0	0	10	5338	0	310	180	0	9	0	69	2	55	0	0	15	8635	299670	31	811	193094	0	20	48	159	0	0	301	10	5930	4	0	0	0	1	418	133592	35	0	5488	53529	0	0	3	0	46	0	218	2	0	0	67	36	4	0	9	31453	8	3	0	29	0	0	48	0	0	0	11174	0	0	184	0	0	0	0	0	0	0	0	0	19	0	4	1198	0	5	115	3	8	189	184246	0	2	0	0
NS41	5	1	0	0	8	0	229	0	13	19	88	0	86	1	0	17723	0	101261	0	0	217	5	5619	8	0	7517	28	0	1	0	0	0	0	1	5	835512	613	3	40888	15575	0	0	0	0	0	0	7	0	180	3566	66	0	0	0	0	5425	0	10	7	1	0	0	18	303	0	0	0	3	1876	9233	10377	0	0	30	383491	0	0	0	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	13	0	0	16	14587	167	0	0	6845	1846	0	989	0	312	7	1207	3	0	10	381	1100379	23	825	2937	16	0	2	13	0	5012	176	0	9	0	13	0	0	0	300	0	14	205	0	1	0	0	0	4	0	154	7	107	2846	0	0	0	1	64	55	952	10686	2478	0	44	4	58	0	0	3	0	0	0	0	0	27	0	10825	3	14	0	0	984	357	0	0	261	11	0	317	19330	18632	1152	9	2	0	0	0	0	5	0	2	7275	0	17	43	13	19	0	0	11	8	0	3	0	225	0	0	19956	0	1411	0	12811	0	7	2	0	0	303888	0	2	2	5471	0	45	7	0	0	0	9	4	1	0	0	0	6813	443006	4	225	2232046	0	1	1	136	0	0	2245	0	5476	8	0	0	0	0	300	151273	6	5	14364	7877	0	0	0	0	3	0	7	0	0	0	2	0	0	0	18	1989	0	0	0	11	0	0	0	0	0	0	4317	0	0	1564	0	10	0	0	0	0	0	0	0	0	0	0	64	1	8	30	0	0	40	90680	0	0	0	0
NS46	3	1	0	96	1	123	431	0	658	376	83757	3	12	0	0	28095	8	120422	3	0	593	414	113899	647	55	127920	23	0	61	2	0	0	1	3	41	1057144	226	37	537658	203628	0	0	9	0	0	0	260	0	8	16508	126	0	0	0	0	4913	8	8	51	7	1	0	85	13688	19	0	3	238	15354	179310	1638	12	0	186	1042685	0	40	11	95	5	5	12	3	2	0	54	18	607	0	0	2	1	0	3	41	270	142	13	6	47853	39287	0	5	6790	3074	7	16292	1	52233	36	12131	0	0	629	13204	588050	66	34545	8543	23	12	184	510	0	13533	1577	11	10	1	168	0	0	0	8792	0	145	79	0	0	7	0	35	17	0	1098	0	353	4382	0	5	0	0	188	138	8901	20143	9791	10	242	5261	1470	42	4	53	6	0	0	3	0	3	0	367	0	59	128	0	12142	10018	0	1	418	1	0	2112	230886	1	63	58	0	21	3	0	0	11	32	537	22830	0	0	93	9	0	0	0	18	82	8	1	0	282	32	0	20487	0	100	2	19739	0	22	33	0	0	56806	0	11	5	2179	0	15	132	0	6	0	17	2	254	0	13	14	105	625055	29	1718	9178	0	0	21	224	0	6	36	1	3952	15	0	0	0	0	6979	108269	409	7	154414	108081	0	0	0	152	4	0	250	0	1	0	13	0	7	1	18	1343	3	0	134	4	0	0	6146	0	0	0	4647	3	0	0	0	0	0	0	0	0	4	19	3	18	0	19	468	6	0	53753	2	3	683	40490	0	0	0	5
NS51	15	0	0	0	1	1	4	0	350	92	214	2	0	3	2	78	0	1831	4	11	1426	19	294587	1437	6	704276	2	2	10	47	1	3	0	11	41	61483	17	89	1185836	394488	0	0	1101	0	0	6	0	17	618	38	96	0	9	3	0	1378	5	2	6	3	0	0	0	758	0	2	0	5	3541	123960	15585	0	0	0	97596	10	111	0	117	2	62	0	1	0	0	2	0	34	0	0	0	0	0	0	171	11	17	4	1	12061	1624	7	0	5161	3984	0	18866	1	100263	5	3165	1	0	2946	957	1044852	25	4972	2493	51	32	1	1063	0	8270	1140	0	1468	5	305	2	4	0	152	1	194	425	0	0	12	0	0	6	1	12902	0	57	695	14	0	0	0	61	57	5158	10497	3672	196	701	15366	867	6	0	7	21	0	0	0	8	0	9	118	0	437	0	1	651	1178	0	0	121	0	0	674	635786	5	15	11965	0	471	0	62	0	6	16	42	9007	0	0	139	1	16	0	2	17	17	32	24	0	295	12	0	6	0	180	5	5482	0	48	108	3	0	10215	2	92	14	655	14	413	16	4	5	0	227565	0	2010	2	0	27	3316	119582	45	2188	1767	0	37	17	154	0	0	87	0	493	7493	0	0	0	0	34629	429819	438	69	24277	2093	0	1	0	0	172732	20	322	0	0	0	0	7	13	0	1	430	0	0	69	22	0	1	36	0	0	0	80308	0	1	5	0	1	0	0	0	74	0	0	4	22	0	16	511	0	0	2427	0	6	2579	8963	0	0	0	0
NS55	17	0	0	0	4	0	120	0	292	57	6888	2	3	0	12	2381	0	4887	1	0	1508	5	193598	62	34	310304	9	5	2	25	0	0	0	0	90	379481	2	0	205331	364875	0	1	0	0	0	0	0	0	459	220	400	0	16	0	0	210	0	1	20	3	2	0	523	2015	0	0	0	14	9820	67538	66305	0	0	10	261351	0	9	0	6	0	0	6	9	0	0	13	0	0	2	0	5	0	0	0	14	30	0	9	2	8001	28957	0	0	11107	3109	7	4275	2	29739	8	3787	0	0	19	336844	1228461	42	3610	8941	47	6	33	102	0	7920	263	1	20	0	227	0	42	0	5336	0	107	51	0	0	4	0	17	11	0	158	0	50	895	1	0	4	0	619	1283	10286	105466	4115	37	41	759	3454	9	0	0	4	0	0	0	2	13	0	195	0	43	0	0	279387	1264	0	0	585	0	0	873	480412	3	96	0	0	0	0	0	0	292	3	88	8235	3	0	94	0	0	0	0	101	0	0	23	0	255	0	0	5704	0	38	5	3132	18	30	83	0	0	4169	0	27	0	17	0	83	13	1	8	0	23	0	38	0	0	58	114	317199	70	67	420	0	0	18	1236	0	0	4	45	1251	0	0	0	0	0	21130	1072272	46	19	15857	9359	0	0	0	0	1	0	217	0	1	4	11	0	1	0	0	377	0	0	0	0	0	0	24	0	0	0	36722	0	0	3	0	0	0	0	0	0	0	0	2	3	0	0	442	30	0	1905	0	3	314	7663	0	4	0	0
NS58	84	0	0	0	2	14	15	0	1285	25	6	0	0	37	0	170	0	465	39	0	856	0	167607	11	18	703544	0	1	0	105	1	1	0	0	545	4136	0	13	366838	2122218	1	1	115	0	0	0	2	11	50	7	987	0	0	0	1	10181	0	5	6	4	2	2	8	1500	0	0	0	6	6125	36312	101603	0	0	0	193039	1	330	0	0	1	47	7	3	0	0	0	44	2	0	1	0	0	0	0	0	0	0	0	0	1624	3032	9	24	2132	1029	0	5218	0	243	1	819	0	0	0	129027	154584	92	2339	2990	152	0	3	33	0	2707	483	0	192	0	2628	0	9	0	684	0	664	2678	1	0	0	0	8	0	4	8	0	184	84	1	0	0	3	315	106	7402	70834	2901	22	24	68	161	36	1	2	1	0	0	0	9	194	0	71	0	31	2	0	101833	662	0	0	31	0	0	487	240461	12	0	828	0	326	0	131	0	434	9	136	176	0	0	8	0	34	0	0	151	0	8	9	8	572	0	0	73	0	50	2	822	0	57	223	3	0	1676	4	58	9	28	0	148	160	0	28	0	14	1	1	5	0	16	835	8047	7	13	31128	0	0	24	730	0	0	8	0	698	6990	0	0	0	2	45975	1147669	614	0	1075	2439	0	3	0	0	17	4	1141	0	0	0	1	0	3	0	7	200	0	0	13	4	0	0	262	0	0	0	134499	0	0	17	1	2	0	1	2	0	0	0	0	0	0	3	119	0	0	108812	0	0	1280	2841	14	31	0	0
NS6	1	0	0	0	6	0	5	0	12	122	2	8	0	2	0	288	0	174898	1	0	816	4	166677	1577	10	431987	0	0	0	15	0	1	0	1	51	1645099	202	0	901	167209	0	0	0	0	0	0	3	0	52	886	56	6	0	2	0	437	2	5	9	2	0	1	9	596	2	4	0	0	13199	14583	25894	0	0	64	101765	1	12	0	316	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	5	34	0	12	0	4224	16092	0	0	9379	1562	0	6083	1	3762	0	2767	0	0	335	24978	626459	11	1124	7011	9	42	30	433	0	7980	138	3	8	4	27	0	0	0	189	0	133	513	0	0	60	0	2	5	1	1124	0	30	849	0	0	0	0	69	91	4787	15600	1887	653	150	27	184	0	0	3	21	0	0	0	1	28	0	116	0	0	0	0	17964	864	0	0	298	0	0	180	105166	0	21	0	0	0	0	0	0	37	2	8	167	0	0	186	153	38	0	0	12	86	41	2	0	239	0	0	29576	0	14	3	3776	0	8	11	0	1	256827	0	2	0	2227	0	65	53	0	0	12	1	0	454	0	0	2	16	1752780	9	4064	7906	0	0	12	200	0	0	2652	4	731	0	0	0	0	0	2378	220398	39	0	32242	7674	6	0	0	0	0	0	49	0	0	0	0	0	0	0	4	402	0	0	0	0	0	0	28	0	0	0	11622	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	285	28	2	4	2	0	489	10084	0	81	0	0
NS62	13	0	0	0	0	0	176	0	555	280	69878	0	0	0	30	136347	0	134523	6	0	2109	62	440199	53	7	1009674	2	9	12	13	0	0	0	0	53	153711	38	26	385687	1083174	0	1	0	0	0	0	0	0	76	97	183	0	0	0	0	10970	0	19	62	8	0	2	139	5235	0	66	4	15	15194	79666	311	0	3	12	1007545	0	6496	0	188	0	0	4	0	2	0	34	0	0	0	0	0	2	0	0	2	8	0	0	0	9636	7389	0	0	11354	10129	0	10299	0	525	4	2185	2	0	104	45698	462450	154	6504	2259	24	0	417	122	0	6003	288	0	13	3	288	0	1	0	11285	0	182	69	1	3	0	0	11	10	0	371	0	239	1159	4	1	0	0	307	308	24715	60239	52913	18	89	449	6252	24	273	59	3	0	0	0	200	109	0	483	0	5	10	6	37000	36914	18	0	567	4	0	3167	191674	0	105	0	0	0	0	0	0	143	3	134	16507	0	0	118	8	0	0	0	82	0	0	0	0	254	0	0	2267	0	1	0	7576	3	41	277	0	2	35027	0	9	0	87	0	133	24	1	0	1	19	0	30	0	0	85	7982	45779	57	27	413	0	0	22	590	1	0	0	6	1778	0	49	0	0	0	10026	174637	209	42	21257	9522	0	0	0	0	58	0	549	0	1	0	0	0	2	0	2	723	0	0	0	0	2	0	388	0	13	0	42248	7	0	6	0	1	0	0	2	0	0	0	0	1	0	15	868	8	0	1131	7	3	228	29888	6	30	0	0
NS67	8	2	8	0	160	2	59	0	2778	194	23398	3	0	0	8	70956	0	265	0	0	1133	56	176549	978	11	8443	351	5	34	85	0	0	5	5	54	120311	0	79	1344126	108944	0	0	132	37	0	15	73	2	986	231	134	1	0	0	1	1658	2	68	63	35	2	0	13	3707	0	26	68	3	10866	32853	180958	0	0	2	262356	7	145	0	14	2	27	2	13	3	3	1	0	11	0	0	4	1	0	0	33	5869	0	4	9	50940	10541	0	23	60281	6397	1	23832	4	81870	50	5406	0	14	103	420	599278	66	3540	2764	13	17	1329	725	0	23513	722	6	91	5	290	0	0	0	295	0	567	493	0	0	11	1	0	27	809	715	0	84	10666	3	0	0	0	49	160	24130	47680	11019	12	351	201	800	35	0	1	0	9	1	0	578	59	0	113037	0	189	0	0	2132	27823	5	3	208	0	0	4422	1230836	39	951	1199	0	103	54	54	0	734	24	428	184	0	0	158	5	6	0	0	207	57	9	11	0	373	2	2	32	10	240	0	17345	20	50	76	3	0	20853	0	79	21	97	6	640	320	0	93	2	93	14	513	10	11	10	247	77400	13	239	119742	0	3	21	86	1	1	15	0	6294	3896	0	0	0	3	10154	102474	331	289	589764	219699	0	0	3	11	2712	3	1869	7	0	0	23	60	41	0	27	6449	0	0	0	57	38	0	106	0	0	40	25152	0	1	222	0	5	5	0	0	336	0	0	2	4	0	6	242	295	0	12508	2	0	2103	22133	0	5	89	0
NS7	419	0	0	1	286	44	39	0	781	90	3	0	6	79	0	144	9	42536	108	0	659	2	182223	76	6	60612	1	0	5	159	0	0	7	1	152	111261	122	71	1264762	387249	0	2	0	0	1	0	4	0	274	2541	76	19	0	0	2	17956	5	2	7	1	3	9	1	345	2	0	1	123	3739	24859	264962	2	0	25	112053	0	89	2	0	0	10	6	23	1	0	0	1	0	0	0	0	0	0	1	75	142	98	18	0	15766	17880	3	101	10761	1924	7	1655	0	8886	4	1615	0	3	1	5350	1758448	27	2097	3426	20	9	20	153	0	1724	168	1	248	4	933	0	2	0	1085	6	194	4577	0	1	0	0	0	2	0	67	3	43	1191	15	0	34	0	81	173	2809	31342	3571	19	362	793	814	56	0	13	0	0	0	2	21	8	0	332309	0	710	61	0	4936	635	12	0	163	0	1	285	105135	20644	11196	0	0	0	0	0	0	431	2	186	475	0	3	219	5	54	0	0	146	2	5	6	29	110	0	0	4141	0	946	0	4694	2	10	603	0	3	25300	0	308	4	56	2	143	29	0	17	26	111	0	13	15	0	6	4239	126615	3	21	384482	1	12	35	84	0	0	45	1	815	0	0	8	15	4	169704	208859	512	4	2302	1959	5	0	0	0	20	0	1312	12	0	2	64	141	1	1	97	2341	0	3	39	0	6	0	9	8	0	0	75751	0	0	15247	0	9	0	1	0	0	0	0	0	2	3	3	314	3	0	48950	1	6	15180	28084	0	0	0	6
NS70	16	0	0	0	1751	0	28	0	791	261	14385	0	0	2	0	93	0	6142	30	0	2515	10	281000	19	6	421367	0	0	4	46	0	0	0	0	83	103515	5	0	577086	581016	0	1	1027	0	0	2	0	13	63	193	288	0	0	0	0	1870	0	0	2	4	2	0	4	885	0	0	0	3	5445	25597	221545	0	0	0	241368	1	33	0	11	0	120	0	14	0	0	29	120	0	2	0	0	0	0	0	5	8	0	0	0	7278	7173	1	0	5011	5732	0	2283	0	497	1	2356	1	1	0	78430	1360519	23	2743	6107	40	3	8	19	0	4745	340	0	42	1	242	0	0	0	2577	0	55	896	0	0	0	1	0	27	0	52	0	74	1032	2	1	66	0	273	106	6701	100135	6517	7	200	65	5105	9	5	12	1	0	0	0	0	6	0	124	0	808	2	0	67101	298	0	0	51	0	0	204	98331	0	1	13123	0	448	0	141	0	38	0	292	52	0	0	24	0	7	0	0	12	0	1	2	3	46	0	0	6	0	33	0	2814	0	14	92	19	0	17394	0	17	13	4114	1	787	66	0	1	1	28	0	3	6	0	17	3296	177340	5	11	947643	0	7	2	636	0	0	41	26	1069	9746	0	0	0	0	12001	159777	721	1	106207	5246	0	0	0	0	15	0	607	0	0	1	3	0	0	0	75	821	0	0	77	34	0	0	191	0	0	0	200054	0	0	761	0	0	0	0	0	0	0	0	0	3	0	1	454	0	0	16114	0	2	2255	11391	0	5	0	0
