filepath,count
AD_Skin/preproc/SRR20002466/SRR20002466_paired_1.fastq,3172951
AD_Skin/preproc/SRR20002467/SRR20002467_paired_1.fastq,2158900
AD_Skin/preproc/SRR20002468/SRR20002468_paired_1.fastq,4502596
AD_Skin/preproc/SRR20002469/SRR20002469_paired_1.fastq,127077
AD_Skin/preproc/SRR20002470/SRR20002470_paired_1.fastq,14208
AD_Skin/preproc/SRR20002471/SRR20002471_paired_1.fastq,50343
AD_Skin/preproc/SRR20002472/SRR20002472_paired_1.fastq,2551883
AD_Skin/preproc/SRR20002473/SRR20002473_paired_1.fastq,8946054
AD_Skin/preproc/SRR20002474/SRR20002474_paired_1.fastq,3534243
AD_Skin/preproc/SRR20002475/SRR20002475_paired_1.fastq,4468098
AD_Skin/preproc/SRR20002476/SRR20002476_paired_1.fastq,676272
AD_Skin/preproc/SRR20002477/SRR20002477_paired_1.fastq,2915771
AD_Skin/preproc/SRR20002478/SRR20002478_paired_1.fastq,1295402
AD_Skin/preproc/SRR20002479/SRR20002479_paired_1.fastq,332065
AD_Skin/preproc/SRR20002480/SRR20002480_paired_1.fastq,42045
AD_Skin/preproc/SRR20002481/SRR20002481_paired_1.fastq,90377
AD_Skin/preproc/SRR20002482/SRR20002482_paired_1.fastq,1167710
AD_Skin/preproc/SRR20002483/SRR20002483_paired_1.fastq,2978320
AD_Skin/preproc/SRR20002484/SRR20002484_paired_1.fastq,539972
AD_Skin/preproc/SRR20002485/SRR20002485_paired_1.fastq,321595
AD_Skin/preproc/SRR20002486/SRR20002486_paired_1.fastq,869730
AD_Skin/preproc/SRR20002487/SRR20002487_paired_1.fastq,9747862
Olive/preproc/SRR11659624/SRR11659624_paired_1.fastq,32309990
Olive/preproc/SRR11659625/SRR11659625_paired_1.fastq,30105735
Olive/preproc/SRR11659626/SRR11659626_paired_1.fastq,34351296
Olive/preproc/SRR11659627/SRR11659627_paired_1.fastq,29444468
Olive/preproc/SRR11659628/SRR11659628_paired_1.fastq,29950697
Olive/preproc/SRR11659629/SRR11659629_paired_1.fastq,32669900
Olive/preproc/SRR11659630/SRR11659630_paired_1.fastq,41691364
Olive/preproc/SRR11659631/SRR11659631_paired_1.fastq,21938070
Olive/preproc/SRR11659632/SRR11659632_paired_1.fastq,25583937
Olive/preproc/SRR11659633/SRR11659633_paired_1.fastq,25844616
Olive/preproc/SRR11659634/SRR11659634_paired_1.fastq,
Olive/preproc/SRR11659635/SRR11659635_paired_1.fastq,
Olive/preproc/SRR11659636/SRR11659636_paired_1.fastq,28718364
Olive/preproc/SRR11659637/SRR11659637_paired_1.fastq,42282261
Olive/preproc/SRR11659638/SRR11659638_paired_1.fastq,27442293
Olive/preproc/SRR11659639/SRR11659639_paired_1.fastq,36739424
Olive/preproc/SRR11659640/SRR11659640_paired_1.fastq,28139919
Olive/preproc/SRR11659641/SRR11659641_paired_1.fastq,28879647
Olive/preproc/SRR11659642/SRR11659642_paired_1.fastq,27642954
Olive/preproc/SRR11659643/SRR11659643_paired_1.fastq,28759288
Olive/preproc/SRR11659644/SRR11659644_paired_1.fastq,33551130
Olive/preproc/SRR11659645/SRR11659645_paired_1.fastq,34466862
Olive/preproc/SRR11659646/SRR11659646_paired_1.fastq,35425401
Olive/preproc/SRR11659647/SRR11659647_paired_1.fastq,38513060
NAFLD/preproc/NS10/NS10_paired_1.fastq.gz,
NAFLD/preproc/NS11/NS11_paired_1.fastq.gz,15303402
NAFLD/preproc/NS13/NS13_paired_1.fastq.gz,18596773
NAFLD/preproc/NS21/NS21_paired_1.fastq.gz,20873077
NAFLD/preproc/NS25/NS25_paired_1.fastq.gz,27748574
