Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
NS67_paired_1 - illumina_universal_adapter	(1, 4.133785702688969e-05)	(2, 6.200678554033454e-05)	(3, 8.612053547268686e-05)	(4, 8.956535689159434e-05)	(5, 0.00012401357108066908)	(6, 0.00016879624952646622)	(7, 0.00020668928513444844)	(8, 0.0002273582136478933)	(9, 0.00027214089209369046)	(10, 0.0003169235705394876)	(11, 0.000334147677634025)	(12, 0.00037548553466091466)	(13, 0.0003858199989176371)	(14, 0.00043060267736343426)	(15, 0.000465050891552509)	(16, 0.0005098335699983062)	(17, 0.0005305024985117511)	(18, 0.0005477266056062884)	(19, 0.0005718403555386407)	(20, 0.0006131782125655304)	(21, 0.0006441816053356977)	(22, 0.0006545160695924201)	(23, 0.0006786298195247724)	(24, 0.0007027435694571247)	(25, 0.0007371917836461995)	(26, 0.0007888641049298116)	(27, 0.0008302019619567013)	(28, 0.0008680949975646834)	(29, 0.0008922087474970359)	(30, 0.000930101783105018)	(31, 0.00098177410438863)	(32, 0.0010231119614155198)	(33, 0.0010713394612802244)	(34, 0.0011574599967529113)	(35, 0.0012608046393201356)	(36, 0.001388263031819712)	(37, 0.0015053869600625662)	(38, 0.0017086314237781072)	(39, 0.001939434458844908)	(40, 0.0022115753509385984)	(41, 0.0025973953498562357)	(42, 0.0031072289198545416)	(43, 0.0036515107040419226)	(44, 0.004388702487688122)	(45, 0.005246463020996083)	(46, 0.006166230339844379)	(47, 0.00732369033659729)	(48, 0.008777404975376244)	(49, 0.010472257113478722)	(50, 0.012370353715296739)	(51, 0.014623266923262228)	(52, 0.017358455129874762)	(53, 0.020503577085337288)	(54, 0.023917395111474594)	(55, 0.02804084634990684)	(56, 0.032780920622323524)	(57, 0.0377931357868339)	(58, 0.04362177362762534)	(59, 0.05013248610936047)	(60, 0.05711513912548592)	(61, 0.06562384803018738)	(62, 0.07483185568292706)	(63, 0.08447735565586799)	(64, 0.0954560015179261)	(65, 0.10662066773660524)
NS67_paired_2 - illumina_universal_adapter	(1, 3.789303560798222e-05)	(2, 5.167232128361211e-05)	(3, 7.578607121596444e-05)	(4, 7.92308926348719e-05)	(5, 0.00011367910682394665)	(6, 0.0001619066066886513)	(7, 0.0001894651780399111)	(8, 0.00022391339222898582)	(9, 0.00026525124925587553)	(10, 0.0003065891062827652)	(11, 0.0003307028562151175)	(12, 0.00036859589182309973)	(13, 0.0003789303560798222)	(14, 0.0004340474987823417)	(15, 0.00046160607013360155)	(16, 0.0005063887485793987)	(17, 0.0005408369627684735)	(18, 0.0005683955341197332)	(19, 0.0005821748197953632)	(20, 0.0006269574982411603)	(21, 0.0006545160695924201)	(22, 0.0006717401766869575)	(23, 0.0007061883908760322)	(24, 0.000733746962227292)	(25, 0.0007681951764163667)	(26, 0.0008267571405377938)	(27, 0.0008784294618214059)	(28, 0.0009197673188482956)	(29, 0.0009438810687806479)	(30, 0.0009852189258075376)	(31, 0.0010368912470911497)	(32, 0.0010713394612802244)	(33, 0.001126456603982744)	(34, 0.0012091323180365235)	(35, 0.0013090321391848402)	(36, 0.0014433801745222317)	(37, 0.0015536144599272708)	(38, 0.0017603037450617193)	(39, 0.0019945516015474275)	(40, 0.002273582136478933)	(41, 0.002652512492558755)	(42, 0.0031623460625570614)	(43, 0.003716962311001165)	(44, 0.004464488558904086)	(45, 0.00530502498511751)	(46, 0.0062385715896414356)	(47, 0.007399476407813255)	(48, 0.008884194439362376)	(49, 0.010606605148816114)	(50, 0.012532260321985391)	(51, 0.014840290672653399)	(52, 0.01762370637913064)	(53, 0.020817055834457865)	(54, 0.024289435824716602)	(55, 0.028457669741594645)	(56, 0.03328730937090292)	(57, 0.03840631399939943)	(58, 0.0442452863044476)	(59, 0.050835229678817595)	(60, 0.05792467215892918)	(61, 0.0664609396349819)	(62, 0.07582396425157241)	(63, 0.08566581904539107)	(64, 0.09678225776420549)	(65, 0.10836030255315351)
NS6_paired_1 - illumina_universal_adapter	(1, 2.837728604460408e-05)	(2, 4.256592906690612e-05)	(3, 4.72954767410068e-05)	(4, 5.202502441510748e-05)	(5, 8.040231045971156e-05)	(6, 8.513185813381224e-05)	(7, 8.513185813381224e-05)	(8, 9.45909534820136e-05)	(9, 0.00010405004883021496)	(10, 0.000118238691852517)	(11, 0.00012769778720071837)	(12, 0.00013715688254891973)	(13, 0.0001418864302230204)	(14, 0.00014661597789712109)	(15, 0.00015607507324532244)	(16, 0.0001655341685935238)	(17, 0.00017026371626762448)	(18, 0.00017972281161582584)	(19, 0.00017972281161582584)	(20, 0.00018445235928992652)	(21, 0.0001891819069640272)	(22, 0.0001891819069640272)	(23, 0.0001891819069640272)	(24, 0.00020337054998632924)	(25, 0.00020810009766042992)	(26, 0.00023174783603093331)	(27, 0.0002648546697496381)	(28, 0.00028850240812014147)	(29, 0.00034052743253524897)	(30, 0.0004067410999726585)	(31, 0.0005107911488028735)	(32, 0.0005722752685661823)	(33, 0.0007330798894856054)	(34, 0.0008986140580791292)	(35, 0.0011350914417841633)	(36, 0.001404675659207902)	(37, 0.0017924985684841578)	(38, 0.0022891010742647293)	(39, 0.0028566467951568106)	(40, 0.0035518903032496106)	(41, 0.004545095314810754)	(42, 0.005609243541483407)	(43, 0.006961894176276201)	(44, 0.008451701693617916)	(45, 0.01029622528651718)	(46, 0.012282635309639467)	(47, 0.01473727055249772)	(48, 0.017215553533726474)	(49, 0.02036070273700343)	(50, 0.0236335497274811)	(51, 0.02720435822142711)	(52, 0.03139473746068031)	(53, 0.03603442372897308)	(54, 0.040986260143756496)	(55, 0.04701170388056076)	(56, 0.05300877033132042)	(57, 0.05934636421461533)	(58, 0.06687580411178362)	(59, 0.07495860108682167)	(60, 0.08313598901534175)	(61, 0.0925808957205208)	(62, 0.10218660704661929)	(63, 0.11227473223547604)	(64, 0.1231810691719522)	(65, 0.13385565827239745)
NS6_paired_2 - illumina_universal_adapter	(1, 4.256592906690612e-05)	(2, 5.675457208920816e-05)	(3, 6.621366743740952e-05)	(4, 7.567276278561088e-05)	(5, 8.513185813381224e-05)	(6, 9.45909534820136e-05)	(7, 0.000118238691852517)	(8, 0.00012769778720071837)	(9, 0.00012769778720071837)	(10, 0.00014661597789712109)	(11, 0.00015134552557122177)	(12, 0.00016080462091942312)	(13, 0.00017499326394172516)	(14, 0.00018445235928992652)	(15, 0.00019391145463812788)	(16, 0.00020810009766042992)	(17, 0.00020810009766042992)	(18, 0.0002128296453345306)	(19, 0.0002128296453345306)	(20, 0.00021755919300863128)	(21, 0.00021755919300863128)	(22, 0.00022228874068273196)	(23, 0.00022228874068273196)	(24, 0.000236477383705034)	(25, 0.00024120693137913467)	(26, 0.00026958421742373875)	(27, 0.00029323195579424217)	(28, 0.00031687969416474554)	(29, 0.00036890471857985304)	(30, 0.00042092974299496054)	(31, 0.0005155206964769741)	(32, 0.0005770048162402829)	(33, 0.0007472685325079075)	(34, 0.000917532248775532)	(35, 0.0011587391801546666)	(36, 0.001433052945252506)	(37, 0.0018303349498769632)	(38, 0.0023316670033316353)	(39, 0.002880294533527314)	(40, 0.0035991857799906176)	(41, 0.00458766124387766)	(42, 0.005651809470550313)	(43, 0.007009189653017208)	(44, 0.008517915361055325)	(45, 0.01036243895395459)	(46, 0.012400874001491983)	(47, 0.01488861607806894)	(48, 0.0173952763453423)	(49, 0.02059718012070846)	(50, 0.02393624077862354)	(51, 0.027573262940006966)	(52, 0.03179201946530477)	(53, 0.03650737849638315)	(54, 0.04155853541232268)	(55, 0.047607626887497444)	(56, 0.05372766157778373)	(57, 0.060192953248279356)	(58, 0.06774131133614404)	(59, 0.07594234700303462)	(60, 0.08421905543271081)	(61, 0.09373963490067548)	(62, 0.10344939627560418)	(63, 0.11365103060863935)	(64, 0.12475600854742774)	(65, 0.13582315010482332)
NS72_paired_1 - polya	(1, 0.0)	(2, 4.597642806923462e-06)	(3, 4.597642806923462e-06)	(4, 9.195285613846924e-06)	(5, 9.195285613846924e-06)	(6, 1.3792928420770384e-05)	(7, 1.3792928420770384e-05)	(8, 2.2988214034617308e-05)	(9, 2.2988214034617308e-05)	(10, 2.2988214034617308e-05)	(11, 2.7585856841540768e-05)	(12, 3.218349964846423e-05)	(13, 3.218349964846423e-05)	(14, 3.218349964846423e-05)	(15, 3.6781142455387695e-05)	(16, 4.137878526231115e-05)	(17, 4.137878526231115e-05)	(18, 4.137878526231115e-05)	(19, 4.137878526231115e-05)	(20, 4.137878526231115e-05)	(21, 4.5976428069234615e-05)	(22, 4.5976428069234615e-05)	(23, 4.5976428069234615e-05)	(24, 4.5976428069234615e-05)	(25, 4.5976428069234615e-05)	(26, 4.5976428069234615e-05)	(27, 4.5976428069234615e-05)	(28, 4.5976428069234615e-05)	(29, 4.5976428069234615e-05)	(30, 4.5976428069234615e-05)	(31, 5.9769356490005e-05)	(32, 6.436699929692846e-05)	(33, 6.436699929692846e-05)	(34, 7.356228491077539e-05)	(35, 7.356228491077539e-05)	(36, 7.815992771769884e-05)	(37, 8.27575705246223e-05)	(38, 8.27575705246223e-05)	(39, 8.735521333154577e-05)	(40, 0.00010114814175231616)	(41, 0.00010114814175231616)	(42, 0.00010574578455923962)	(43, 0.00011034342736616307)	(44, 0.00011034342736616307)	(45, 0.00011494107017308654)	(46, 0.00011494107017308654)	(47, 0.00012413635578693345)	(48, 0.00013792928420770385)	(49, 0.00014712456982155078)	(50, 0.00015172221262847423)	(51, 0.00015172221262847423)	(52, 0.00015172221262847423)	(53, 0.00016091749824232116)	(54, 0.00017011278385616808)	(55, 0.00017011278385616808)	(56, 0.000179308069470015)	(57, 0.00018390571227693846)	(58, 0.0001885033550838619)	(59, 0.000845966276473917)	(60, 0.0008827474189293046)	(61, 0.0009241262041916158)	(62, 0.001990779335397859)	(63, 0.16619559218466928)	(64, 0.2027468524997108)	(65, 0.2035284517768878)
NS77_paired_1 - polya	(1, 2.8141213736176683e-05)	(2, 3.376945648341202e-05)	(3, 3.376945648341202e-05)	(4, 3.376945648341202e-05)	(5, 3.376945648341202e-05)	(6, 3.376945648341202e-05)	(7, 3.939769923064736e-05)	(8, 5.065418472511803e-05)	(9, 5.628242747235337e-05)	(10, 5.628242747235337e-05)	(11, 8.442364120853005e-05)	(12, 8.442364120853005e-05)	(13, 8.442364120853005e-05)	(14, 9.568012670300073e-05)	(15, 0.00010130836945023606)	(16, 0.0001069366121974714)	(17, 0.0001069366121974714)	(18, 0.0001069366121974714)	(19, 0.0001069366121974714)	(20, 0.00011256485494470673)	(21, 0.00011256485494470673)	(22, 0.0001238213404391774)	(23, 0.00012944958318641275)	(24, 0.00012944958318641275)	(25, 0.00012944958318641275)	(26, 0.00013507782593364807)	(27, 0.00013507782593364807)	(28, 0.00013507782593364807)	(29, 0.00014070606868088343)	(30, 0.00014070606868088343)	(31, 0.00014070606868088343)	(32, 0.00014070606868088343)	(33, 0.0001519625541753541)	(34, 0.00015759079692258943)	(35, 0.00016321903966982475)	(36, 0.00016321903966982475)	(37, 0.0001688472824170601)	(38, 0.0001688472824170601)	(39, 0.00017447552516429543)	(40, 0.00018010376791153078)	(41, 0.00019136025340600146)	(42, 0.00019136025340600146)	(43, 0.00019136025340600146)	(44, 0.0001969884961532368)	(45, 0.00020824498164770746)	(46, 0.00020824498164770746)	(47, 0.00020824498164770746)	(48, 0.0002138732243949428)	(49, 0.0002138732243949428)	(50, 0.00022512970988941347)	(51, 0.00023638619538388414)	(52, 0.0002476426808783548)	(53, 0.0002476426808783548)	(54, 0.0002532709236255902)	(55, 0.0002645274091200608)	(56, 0.0002645274091200608)	(57, 0.00027015565186729615)	(58, 0.00027578389461453153)	(59, 0.00027578389461453153)	(60, 0.0002870403801090022)	(61, 0.0003208098365924142)	(62, 0.0003376945648341202)	(63, 0.00036020753582306157)	(64, 0.001356406502083716)	(65, 0.21581496814273898)
NS78_paired_1 - illumina_universal_adapter	(1, 0.0017085909600304994)	(2, 0.0017360382043683387)	(3, 0.0017909326930440174)	(4, 0.0017977945041284772)	(5, 0.0018732744260575355)	(6, 0.0019418925369021338)	(7, 0.0020036488366622722)	(8, 0.0020791287585913308)	(9, 0.002861375222219752)	(10, 0.0029299933330643505)	(11, 0.0029780260106555692)	(12, 0.0030054732549934086)	(13, 0.0030672295547535472)	(14, 0.0030946767990913866)	(15, 0.003122124043429226)	(16, 0.0031495712877670653)	(17, 0.003183880343189364)	(18, 0.0032319130207805833)	(19, 0.0032524984540339627)	(20, 0.003279945698371802)	(21, 0.0033073929427096414)	(22, 0.003321116564878561)	(23, 0.0033828728646386995)	(24, 0.003410320108976539)	(25, 0.0034309055422299182)	(26, 0.003444629164398838)	(27, 0.003499523653074517)	(28, 0.0035406945195812756)	(29, 0.003609312630425874)	(30, 0.003698516174523852)	(31, 0.0037877197186218297)	(32, 0.003952403184648866)	(33, 0.0042200138169428)	(34, 0.004563104371165792)	(35, 0.004981674847317842)	(36, 0.005338489023709753)	(37, 0.00590115753263546)	(38, 0.006504996908067925)	(39, 0.007328414238203106)	(40, 0.008295929601111942)	(41, 0.009531055596314713)	(42, 0.010663254425250587)	(43, 0.012056202075395933)	(44, 0.013565800513977098)	(45, 0.015281253285092057)	(46, 0.017127080466811752)	(47, 0.019624779701555132)	(48, 0.022149926180636353)	(49, 0.024983854158518264)	(50, 0.027913847491582617)	(51, 0.03076836090271791)	(52, 0.03453549518808636)	(53, 0.038398694828637246)	(54, 0.04280397754486046)	(55, 0.047408252782533016)	(56, 0.052410513063104236)	(57, 0.05766666035380047)	(58, 0.06356781788643592)	(59, 0.06986696046197007)	(60, 0.07637881918112245)	(61, 0.08362489168631203)	(62, 0.09104250946861311)	(63, 0.0988375268605595)	(64, 0.10668057693009708)	(65, 0.11328163919334745)
NS78_paired_1 - polya	(1, 5.489448867567869e-05)	(2, 5.489448867567869e-05)	(3, 6.861811084459836e-05)	(4, 8.234173301351804e-05)	(5, 8.234173301351804e-05)	(6, 8.234173301351804e-05)	(7, 8.234173301351804e-05)	(8, 8.920354409797787e-05)	(9, 9.606535518243771e-05)	(10, 9.606535518243771e-05)	(11, 0.00010292716626689755)	(12, 0.00010292716626689755)	(13, 0.00010292716626689755)	(14, 0.00010978897735135738)	(15, 0.00011665078843581722)	(16, 0.00011665078843581722)	(17, 0.00011665078843581722)	(18, 0.00011665078843581722)	(19, 0.00011665078843581722)	(20, 0.00011665078843581722)	(21, 0.00013723622168919673)	(22, 0.00013723622168919673)	(23, 0.00013723622168919673)	(24, 0.00013723622168919673)	(25, 0.00013723622168919673)	(26, 0.00013723622168919673)	(27, 0.00014409803277365657)	(28, 0.0001509598438581164)	(29, 0.00015782165494257624)	(30, 0.00015782165494257624)	(31, 0.00016468346602703608)	(32, 0.00016468346602703608)	(33, 0.00016468346602703608)	(34, 0.00016468346602703608)	(35, 0.00016468346602703608)	(36, 0.0001715452771114959)	(37, 0.00018526889928041558)	(38, 0.00018526889928041558)	(39, 0.00019213071036487542)	(40, 0.00019899252144933526)	(41, 0.0002058543325337951)	(42, 0.00021271614361825493)	(43, 0.00021271614361825493)	(44, 0.00021271614361825493)	(45, 0.00021271614361825493)	(46, 0.00021957795470271477)	(47, 0.00021957795470271477)	(48, 0.00021957795470271477)	(49, 0.00021957795470271477)	(50, 0.00024016338795609428)	(51, 0.0002470251990405541)	(52, 0.0002470251990405541)	(53, 0.0002607488212094738)	(54, 0.0002607488212094738)	(55, 0.0002607488212094738)	(56, 0.0002607488212094738)	(57, 0.0002676106322939336)	(58, 0.00027447244337839346)	(59, 0.00027447244337839346)	(60, 0.0003019196877162328)	(61, 0.0003568141763919115)	(62, 0.00040484685398313035)	(63, 0.0005626685089257066)	(64, 0.01003196780548028)	(65, 2.114933688830042)
NS78_paired_2 - illumina_universal_adapter	(1, 0.0016948673378615797)	(2, 0.0017291763932838788)	(3, 0.0017703472597906378)	(4, 0.0017909326930440174)	(5, 0.0018732744260575355)	(6, 0.0019487543479865938)	(7, 0.001989925214493353)	(8, 0.002058543325337951)	(9, 0.0024633901793210816)	(10, 0.0025320082901656798)	(11, 0.0026006264010102783)	(12, 0.0026829681340237964)	(13, 0.0027447244337839346)	(14, 0.0027653098670373144)	(15, 0.0027996189224596133)	(16, 0.002820204355712993)	(17, 0.0028476516000508325)	(18, 0.0029094078998109707)	(19, 0.0029231315219798906)	(20, 0.00294371695523327)	(21, 0.0029711641995711093)	(22, 0.002984887821740029)	(23, 0.0030466441215001674)	(24, 0.0030809531769224667)	(25, 0.0030946767990913866)	(26, 0.003108400421260306)	(27, 0.0031495712877670653)	(28, 0.003204465776442744)	(29, 0.003273083887287342)	(30, 0.00336228743138532)	(31, 0.0034583527865677576)	(32, 0.003616174441510334)	(33, 0.0038975086959731876)	(34, 0.004240599250196179)	(35, 0.004659169726348229)	(36, 0.005022845713824601)	(37, 0.005619823278172606)	(38, 0.006244248086858452)	(39, 0.007053941794824712)	(40, 0.00802831896881801)	(41, 0.009263444964020779)	(42, 0.010402505604041113)	(43, 0.011822900498524299)	(44, 0.013359946181443302)	(45, 0.01510970800798056)	(46, 0.016976120622953637)	(47, 0.019460096235528097)	(48, 0.021971519092440397)	(49, 0.02476427620381555)	(50, 0.027639375048204223)	(51, 0.030459579403917216)	(52, 0.03419240463386337)	(53, 0.03808991332983656)	(54, 0.04250891966822869)	(55, 0.04711319490590124)	(56, 0.05199880439803664)	(57, 0.05715202452246598)	(58, 0.0628541895336521)	(59, 0.06911216124267948)	(60, 0.07556912547315618)	(61, 0.08254072553496737)	(62, 0.08997892875052184)	(63, 0.09756122999884996)	(64, 0.10512980762500916)	(65, 0.11249253091863456)
NS79_paired_1 - polya	(1, 5.883438608642077e-06)	(2, 1.1766877217284154e-05)	(3, 1.1766877217284154e-05)	(4, 1.1766877217284154e-05)	(5, 1.1766877217284154e-05)	(6, 1.1766877217284154e-05)	(7, 1.1766877217284154e-05)	(8, 1.7650315825926232e-05)	(9, 2.9417193043210384e-05)	(10, 2.9417193043210384e-05)	(11, 2.9417193043210384e-05)	(12, 3.5300631651852463e-05)	(13, 3.5300631651852463e-05)	(14, 4.7067508869136616e-05)	(15, 4.7067508869136616e-05)	(16, 5.2950947477778695e-05)	(17, 5.883438608642077e-05)	(18, 5.883438608642077e-05)	(19, 5.883438608642077e-05)	(20, 5.883438608642077e-05)	(21, 6.471782469506285e-05)	(22, 6.471782469506285e-05)	(23, 7.060126330370493e-05)	(24, 8.236814052098907e-05)	(25, 8.825157912963115e-05)	(26, 9.413501773827323e-05)	(27, 0.00010001845634691531)	(28, 0.00010001845634691531)	(29, 0.00010001845634691531)	(30, 0.00010001845634691531)	(31, 0.00010590189495555739)	(32, 0.00011178533356419947)	(33, 0.00011766877217284154)	(34, 0.00012355221078148363)	(35, 0.00014120252660740985)	(36, 0.00014708596521605192)	(37, 0.00015885284243333608)	(38, 0.00015885284243333608)	(39, 0.00015885284243333608)	(40, 0.00016473628104197814)	(41, 0.00017061971965062024)	(42, 0.0001765031582592623)	(43, 0.0001765031582592623)	(44, 0.0001765031582592623)	(45, 0.0001823865968679044)	(46, 0.0001823865968679044)	(47, 0.0001823865968679044)	(48, 0.00018827003547654646)	(49, 0.00019415347408518856)	(50, 0.0002059203513024727)	(51, 0.00021180378991111478)	(52, 0.00021180378991111478)	(53, 0.00021768722851975685)	(54, 0.000229454105737041)	(55, 0.00023533754434568307)	(56, 0.00023533754434568307)	(57, 0.0002588712987802514)	(58, 0.00026475473738889346)	(59, 0.0002706381759975355)	(60, 0.0002706381759975355)	(61, 0.00040007382538766124)	(62, 0.0004177241412135875)	(63, 0.0004353744570395137)	(64, 0.0011119698970333525)	(65, 0.15019242080141496)
NS7_paired_1 - illumina_universal_adapter	(1, 0.0002400252089872322)	(2, 0.00025814031909947614)	(3, 0.0002762554292117201)	(4, 0.000307956871908147)	(5, 0.00033512953707651286)	(6, 0.0003849460898851837)	(7, 0.00041211875505354963)	(8, 0.0004483489752780375)	(9, 0.0004936367505586473)	(10, 0.0005343957483111962)	(11, 0.00059779863370405)	(12, 0.0006385576314565989)	(13, 0.0006747878516810867)	(14, 0.0007110180719055746)	(15, 0.0007472482921300625)	(16, 0.0007789497348264894)	(17, 0.0008151799550509773)	(18, 0.0008468813977474042)	(19, 0.0008695252853877091)	(20, 0.000905755505612197)	(21, 0.0009419857258366848)	(22, 0.0009782159460611727)	(23, 0.0010325612763979045)	(24, 0.0010687914966223924)	(25, 0.0011140792719030023)	(26, 0.0011774821572958561)	(27, 0.0012725864853851368)	(28, 0.0014084498112269662)	(29, 0.0015760145797652227)	(30, 0.0017843383460560281)	(31, 0.0021239966606606017)	(32, 0.0025723456359386396)	(33, 0.002979935613464128)	(34, 0.003881162341548264)	(35, 0.004850320732553315)	(36, 0.006136493550522634)	(37, 0.007938947006690907)	(38, 0.010235037213417826)	(39, 0.012762095074075856)	(40, 0.016258311325738937)	(41, 0.02023457799537648)	(42, 0.02469089508298849)	(43, 0.030234118777335135)	(44, 0.037045400179538855)	(45, 0.044286915446908375)	(46, 0.05348033382887217)	(47, 0.06397804013891753)	(48, 0.0748697500939042)	(49, 0.08815718336123513)	(50, 0.10264927145103028)	(51, 0.11858151079474882)	(52, 0.1370181641114851)	(53, 0.1572029255540529)	(54, 0.17719747834044217)	(55, 0.20200159286163216)	(56, 0.22773863555360274)	(57, 0.25400554521635643)	(58, 0.28375508479818906)	(59, 0.3148813727485522)	(60, 0.34628844490565514)	(61, 0.3822288233683471)	(62, 0.42034754382203643)	(63, 0.4578684656420217)	(64, 0.5012133953630934)	(65, 0.5420629686662035)
NS7_paired_2 - illumina_universal_adapter	(1, 0.0002445539865152932)	(2, 0.00025361154157141515)	(3, 0.0002671978741555981)	(4, 0.000312485649436208)	(5, 0.00033512953707651286)	(6, 0.00037588853482906174)	(7, 0.00040306119999742766)	(8, 0.00043929142022191555)	(9, 0.0004664640853902814)	(10, 0.0005026943056147693)	(11, 0.0005570396359515012)	(12, 0.000606856188760172)	(13, 0.0006385576314565989)	(14, 0.0006793166292091477)	(15, 0.0007155468494336356)	(16, 0.0007381907370739405)	(17, 0.0007744209572984284)	(18, 0.0008151799550509773)	(19, 0.0008468813977474042)	(20, 0.0008876403954999531)	(21, 0.0009283993932525019)	(22, 0.0009555720584208678)	(23, 0.0010008598337014776)	(24, 0.0010506763865101485)	(25, 0.0011050217168468803)	(26, 0.0011684246022397341)	(27, 0.0012635289303290149)	(28, 0.0014084498112269662)	(29, 0.0015805433572932837)	(30, 0.001802453456168272)	(31, 0.0021421117707728457)	(32, 0.0025995183011070055)	(33, 0.003016165833688616)	(34, 0.003930978894356935)	(35, 0.004913723617946168)	(36, 0.00620895399097161)	(37, 0.008029522557252125)	(38, 0.010366371761731594)	(39, 0.012934188620142173)	(40, 0.016453048759445556)	(41, 0.02045648809425147)	(42, 0.024989794399840514)	(43, 0.03058283464699583)	(44, 0.037421288714367916)	(45, 0.044816782417691506)	(46, 0.05408719001763234)	(47, 0.06468000065576698)	(48, 0.07575286171187609)	(49, 0.08923956119044171)	(50, 0.1038539262734945)	(51, 0.11990844261047069)	(52, 0.13851266069574522)	(53, 0.15903255167538954)	(54, 0.17936676277638336)	(55, 0.2044109025065606)	(56, 0.23050118984571993)	(57, 0.2572436211489201)	(58, 0.2873464053779414)	(59, 0.3187761214226847)	(60, 0.35055908211461667)	(61, 0.38714707576382135)	(62, 0.4257775480781816)	(63, 0.46403666063524074)	(64, 0.5079023997720394)	(65, 0.5504095056504199)
NS81_paired_1 - polya	(1, 6.117968504086344e-06)	(2, 3.058984252043172e-05)	(3, 3.058984252043172e-05)	(4, 3.058984252043172e-05)	(5, 3.058984252043172e-05)	(6, 3.6707811024518064e-05)	(7, 4.282577952860441e-05)	(8, 4.894374803269075e-05)	(9, 4.894374803269075e-05)	(10, 4.894374803269075e-05)	(11, 4.894374803269075e-05)	(12, 4.894374803269075e-05)	(13, 6.117968504086344e-05)	(14, 6.117968504086344e-05)	(15, 6.117968504086344e-05)	(16, 6.117968504086344e-05)	(17, 6.117968504086344e-05)	(18, 6.117968504086344e-05)	(19, 6.117968504086344e-05)	(20, 6.117968504086344e-05)	(21, 6.729765354494978e-05)	(22, 7.341562204903613e-05)	(23, 7.953359055312248e-05)	(24, 9.176952756129517e-05)	(25, 0.00010400546456946785)	(26, 0.00010400546456946785)	(27, 0.00010400546456946785)	(28, 0.00010400546456946785)	(29, 0.00010400546456946785)	(30, 0.0001101234330735542)	(31, 0.0001101234330735542)	(32, 0.0001101234330735542)	(33, 0.0001101234330735542)	(34, 0.0001101234330735542)	(35, 0.0001101234330735542)	(36, 0.00011624140157764054)	(37, 0.00012235937008172687)	(38, 0.00012847733858581322)	(39, 0.00013459530708989957)	(40, 0.00013459530708989957)	(41, 0.00013459530708989957)	(42, 0.00013459530708989957)	(43, 0.0001529492126021586)	(44, 0.0001529492126021586)	(45, 0.0001651851496103313)	(46, 0.0001651851496103313)	(47, 0.00017130311811441764)	(48, 0.000177421086618504)	(49, 0.00018353905512259034)	(50, 0.00018353905512259034)	(51, 0.00018353905512259034)	(52, 0.0002080109291389357)	(53, 0.0002080109291389357)	(54, 0.00021412889764302204)	(55, 0.0002202468661471084)	(56, 0.0002202468661471084)	(57, 0.0002202468661471084)	(58, 0.0002202468661471084)	(59, 0.00022636483465119473)	(60, 0.00023860077165936743)	(61, 0.000391549984261526)	(62, 0.00042213982678195776)	(63, 0.00048331951182282117)	(64, 0.0029733326929859633)	(65, 0.35232768818182847)
NS86_paired_1 - illumina_universal_adapter	(1, 0.033973036514822565)	(2, 0.03453897362318428)	(3, 0.03513853075778531)	(4, 0.03569886452844047)	(5, 0.03692039214846873)	(6, 0.0378393395323432)	(7, 0.038702253539152146)	(8, 0.03931301734916627)	(9, 0.040932381946359696)	(10, 0.04164400583509176)	(11, 0.04208106617620278)	(12, 0.04246769647795484)	(13, 0.04285993011741346)	(14, 0.04323535374375242)	(15, 0.04356595066843896)	(16, 0.0438517208914731)	(17, 0.044187921153866196)	(18, 0.044557741442498605)	(19, 0.04487152835406549)	(20, 0.04529177868205687)	(21, 0.04567280564610238)	(22, 0.04617150270198547)	(23, 0.0465973563676834)	(24, 0.04712407011209925)	(25, 0.047628370505688904)	(26, 0.048020604145147514)	(27, 0.04842964779772579)	(28, 0.04889472482736957)	(29, 0.049281355129121636)	(30, 0.04979125886041783)	(31, 0.050323575942540236)	(32, 0.05095114976567402)	(33, 0.051455450159263665)	(34, 0.052094230657810554)	(35, 0.05266016776617227)	(36, 0.053298948264719155)	(37, 0.05402738216657087)	(38, 0.054806246107781544)	(39, 0.05584846692120015)	(40, 0.056829051019846685)	(41, 0.05804497530216839)	(42, 0.059160039505772165)	(43, 0.06042079048974629)	(44, 0.06196731169675453)	(45, 0.06384442982844933)	(46, 0.06591206144216688)	(47, 0.06823744659038582)	(48, 0.07055162506319164)	(49, 0.07337010392958711)	(50, 0.07662564313709361)	(51, 0.08044151611525528)	(52, 0.08478970617553935)	(53, 0.08944607980968376)	(54, 0.09461235717512437)	(55, 0.10033336497351358)	(56, 0.10663151655567762)	(57, 0.1134115551806051)	(58, 0.12118898791729878)	(59, 0.12958839113941967)	(60, 0.13865459154862023)	(61, 0.14895352625326214)	(62, 0.16027226842049644)	(63, 0.17242030456830038)	(64, 0.18556013149016395)	(65, 0.19850384159229822)
