Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
NS28_paired_1	(24.0, 1.0)	(25.0, 73.0)	(26.0, 684.0)	(27.0, 4006.0)	(28.0, 16446.0)	(29.0, 48557.0)	(30.0, 117620.0)	(31.0, 241691.0)	(32.0, 443280.0)	(33.0, 756379.0)	(34.0, 1254744.0)	(35.0, 2176361.0)	(36.0, 4676166.0)	(37.0, 14606407.0)				
NS28_paired_2	(23.0, 5.0)	(24.0, 111.0)	(25.0, 1163.0)	(26.0, 7502.0)	(27.0, 29773.0)	(28.0, 84882.0)	(29.0, 190409.0)	(30.0, 354233.0)	(31.0, 577842.0)	(32.0, 854666.0)	(33.0, 1190964.0)	(34.0, 1638054.0)	(35.0, 2384659.0)	(36.0, 4506785.0)	(37.0, 12521367.0)			
NS29_paired_1	(24.0, 6.0)	(25.0, 54.0)	(26.0, 600.0)	(27.0, 3634.0)	(28.0, 14700.0)	(29.0, 45023.0)	(30.0, 112249.0)	(31.0, 235972.0)	(32.0, 448031.0)	(33.0, 792803.0)	(34.0, 1361940.0)	(35.0, 2408092.0)	(36.0, 4845624.0)	(37.0, 8388784.0)				
NS29_paired_2	(23.0, 3.0)	(24.0, 116.0)	(25.0, 1363.0)	(26.0, 8598.0)	(27.0, 33869.0)	(28.0, 98155.0)	(29.0, 219889.0)	(30.0, 406006.0)	(31.0, 644463.0)	(32.0, 917947.0)	(33.0, 1226229.0)	(34.0, 1602789.0)	(35.0, 2198563.0)	(36.0, 3721841.0)	(37.0, 7577681.0)			
NS30_paired_1	(24.0, 2.0)	(25.0, 91.0)	(26.0, 987.0)	(27.0, 5954.0)	(28.0, 23809.0)	(29.0, 70411.0)	(30.0, 168775.0)	(31.0, 337442.0)	(32.0, 600609.0)	(33.0, 987176.0)	(34.0, 1566096.0)	(35.0, 2546378.0)	(36.0, 4941080.0)	(37.0, 9660437.0)				
NS30_paired_2	(23.0, 2.0)	(24.0, 91.0)	(25.0, 1101.0)	(26.0, 6814.0)	(27.0, 26888.0)	(28.0, 79509.0)	(29.0, 184949.0)	(30.0, 357726.0)	(31.0, 596230.0)	(32.0, 891985.0)	(33.0, 1231797.0)	(34.0, 1632193.0)	(35.0, 2222638.0)	(36.0, 3856517.0)	(37.0, 9820807.0)			
NS32_paired_1	(23.0, 1.0)	(24.0, 4.0)	(25.0, 58.0)	(26.0, 523.0)	(27.0, 3478.0)	(28.0, 14098.0)	(29.0, 42582.0)	(30.0, 104970.0)	(31.0, 220708.0)	(32.0, 413488.0)	(33.0, 725100.0)	(34.0, 1238118.0)	(35.0, 2199361.0)	(36.0, 4631957.0)	(37.0, 9568576.0)			
NS32_paired_2	(23.0, 3.0)	(24.0, 104.0)	(25.0, 1436.0)	(26.0, 8719.0)	(27.0, 34213.0)	(28.0, 99140.0)	(29.0, 220792.0)	(30.0, 405763.0)	(31.0, 643062.0)	(32.0, 918793.0)	(33.0, 1228478.0)	(34.0, 1611606.0)	(35.0, 2224063.0)	(36.0, 3829222.0)	(37.0, 7937628.0)			
NS34_paired_1	(25.0, 7.0)	(26.0, 156.0)	(27.0, 1617.0)	(28.0, 8697.0)	(29.0, 30412.0)	(30.0, 72887.0)	(31.0, 138500.0)	(32.0, 226587.0)	(33.0, 340983.0)	(34.0, 502933.0)	(35.0, 762910.0)	(36.0, 1262474.0)	(37.0, 2179528.0)	(38.0, 3247383.0)	(39.0, 3320328.0)	(40.0, 637660.0)		
NS34_paired_2	(24.0, 46.0)	(25.0, 733.0)	(26.0, 4234.0)	(27.0, 17133.0)	(28.0, 46684.0)	(29.0, 105579.0)	(30.0, 203338.0)	(31.0, 333073.0)	(32.0, 484023.0)	(33.0, 648008.0)	(34.0, 841401.0)	(35.0, 1097445.0)	(36.0, 1514153.0)	(37.0, 2192045.0)	(38.0, 2825736.0)	(39.0, 2286592.0)	(40.0, 132839.0)	
NS36_paired_1	(25.0, 7.0)	(26.0, 296.0)	(27.0, 2635.0)	(28.0, 14246.0)	(29.0, 48164.0)	(30.0, 114687.0)	(31.0, 218265.0)	(32.0, 356236.0)	(33.0, 535280.0)	(34.0, 785717.0)	(35.0, 1218339.0)	(36.0, 2131463.0)	(37.0, 3417624.0)	(38.0, 3730613.0)	(39.0, 3101939.0)	(40.0, 703336.0)		
NS36_paired_2	(23.0, 2.0)	(24.0, 37.0)	(25.0, 605.0)	(26.0, 4114.0)	(27.0, 17277.0)	(28.0, 50784.0)	(29.0, 121416.0)	(30.0, 244255.0)	(31.0, 421325.0)	(32.0, 645264.0)	(33.0, 908203.0)	(34.0, 1225931.0)	(35.0, 1668230.0)	(36.0, 2350296.0)	(37.0, 3060353.0)	(38.0, 3113692.0)	(39.0, 2368423.0)	(40.0, 178640.0)
NS38_paired_1	(24.0, 1.0)	(25.0, 9.0)	(26.0, 223.0)	(27.0, 1925.0)	(28.0, 10089.0)	(29.0, 33563.0)	(30.0, 80438.0)	(31.0, 152171.0)	(32.0, 248909.0)	(33.0, 373648.0)	(34.0, 550513.0)	(35.0, 856502.0)	(36.0, 1501399.0)	(37.0, 2402293.0)	(38.0, 2616867.0)	(39.0, 2298429.0)	(40.0, 504744.0)	
NS38_paired_2	(23.0, 1.0)	(24.0, 28.0)	(25.0, 510.0)	(26.0, 3400.0)	(27.0, 13914.0)	(28.0, 40199.0)	(29.0, 95220.0)	(30.0, 189468.0)	(31.0, 320894.0)	(32.0, 477655.0)	(33.0, 659054.0)	(34.0, 874173.0)	(35.0, 1165916.0)	(36.0, 1632559.0)	(37.0, 2133177.0)	(38.0, 2186207.0)	(39.0, 1716127.0)	(40.0, 123221.0)
NS39_paired_1	(24.0, 1.0)	(25.0, 72.0)	(26.0, 650.0)	(27.0, 3685.0)	(28.0, 15228.0)	(29.0, 46111.0)	(30.0, 112135.0)	(31.0, 235368.0)	(32.0, 441988.0)	(33.0, 782726.0)	(34.0, 1353362.0)	(35.0, 2412115.0)	(36.0, 4910495.0)	(37.0, 8177856.0)				
NS39_paired_2	(23.0, 2.0)	(24.0, 89.0)	(25.0, 1225.0)	(26.0, 7698.0)	(27.0, 31601.0)	(28.0, 92128.0)	(29.0, 207234.0)	(30.0, 383968.0)	(31.0, 612853.0)	(32.0, 875375.0)	(33.0, 1172446.0)	(34.0, 1538204.0)	(35.0, 2123184.0)	(36.0, 3613184.0)	(37.0, 7832601.0)			
NS40_paired_1	(25.0, 60.0)	(26.0, 645.0)	(27.0, 3756.0)	(28.0, 15580.0)	(29.0, 47913.0)	(30.0, 118014.0)	(31.0, 248909.0)	(32.0, 466930.0)	(33.0, 821186.0)	(34.0, 1412005.0)	(35.0, 2546647.0)	(36.0, 5530523.0)	(37.0, 11715588.0)					
NS40_paired_2	(23.0, 2.0)	(24.0, 98.0)	(25.0, 1403.0)	(26.0, 8868.0)	(27.0, 36181.0)	(28.0, 104582.0)	(29.0, 238537.0)	(30.0, 445687.0)	(31.0, 718473.0)	(32.0, 1037319.0)	(33.0, 1405660.0)	(34.0, 1868598.0)	(35.0, 2611319.0)	(36.0, 4565560.0)	(37.0, 9885469.0)			
NS41_paired_1	(24.0, 3.0)	(25.0, 62.0)	(26.0, 691.0)	(27.0, 4048.0)	(28.0, 16203.0)	(29.0, 49291.0)	(30.0, 120418.0)	(31.0, 251303.0)	(32.0, 463249.0)	(33.0, 802799.0)	(34.0, 1364607.0)	(35.0, 2449379.0)	(36.0, 5503577.0)	(37.0, 14278317.0)				
NS41_paired_2	(24.0, 101.0)	(25.0, 1146.0)	(26.0, 7595.0)	(27.0, 30195.0)	(28.0, 88947.0)	(29.0, 203668.0)	(30.0, 382974.0)	(31.0, 626222.0)	(32.0, 919926.0)	(33.0, 1272571.0)	(34.0, 1738999.0)	(35.0, 2535133.0)	(36.0, 4754320.0)	(37.0, 12742150.0)				
NS46_paired_1	(25.0, 15.0)	(26.0, 290.0)	(27.0, 2737.0)	(28.0, 14424.0)	(29.0, 48444.0)	(30.0, 115095.0)	(31.0, 217618.0)	(32.0, 350875.0)	(33.0, 522773.0)	(34.0, 759245.0)	(35.0, 1153012.0)	(36.0, 1948045.0)	(37.0, 3196537.0)	(38.0, 4003053.0)	(39.0, 3981227.0)	(40.0, 888346.0)		
NS46_paired_2	(23.0, 1.0)	(24.0, 47.0)	(25.0, 639.0)	(26.0, 4603.0)	(27.0, 18220.0)	(28.0, 52214.0)	(29.0, 121477.0)	(30.0, 239636.0)	(31.0, 404836.0)	(32.0, 606170.0)	(33.0, 837463.0)	(34.0, 1119396.0)	(35.0, 1514292.0)	(36.0, 2160852.0)	(37.0, 3020824.0)	(38.0, 3564192.0)	(39.0, 3231933.0)	(40.0, 304941.0)
NS4_paired_1	(24.0, 4.0)	(25.0, 56.0)	(26.0, 461.0)	(27.0, 2601.0)	(28.0, 10519.0)	(29.0, 32182.0)	(30.0, 78215.0)	(31.0, 161847.0)	(32.0, 299532.0)	(33.0, 513398.0)	(34.0, 871263.0)	(35.0, 1550316.0)	(36.0, 3415179.0)	(37.0, 8079568.0)				
NS4_paired_2	(23.0, 1.0)	(24.0, 34.0)	(25.0, 578.0)	(26.0, 3869.0)	(27.0, 16048.0)	(28.0, 48138.0)	(29.0, 110572.0)	(30.0, 211445.0)	(31.0, 349041.0)	(32.0, 520437.0)	(33.0, 727284.0)	(34.0, 1004531.0)	(35.0, 1479041.0)	(36.0, 2785532.0)	(37.0, 7758590.0)			
NS51_paired_1	(24.0, 2.0)	(25.0, 67.0)	(26.0, 694.0)	(27.0, 4145.0)	(28.0, 16988.0)	(29.0, 51664.0)	(30.0, 124168.0)	(31.0, 254842.0)	(32.0, 468769.0)	(33.0, 802192.0)	(34.0, 1346595.0)	(35.0, 2377727.0)	(36.0, 5127749.0)	(37.0, 11091900.0)				
NS51_paired_2	(23.0, 1.0)	(24.0, 78.0)	(25.0, 883.0)	(26.0, 6270.0)	(27.0, 25584.0)	(28.0, 76081.0)	(29.0, 174436.0)	(30.0, 332884.0)	(31.0, 545550.0)	(32.0, 807448.0)	(33.0, 1115881.0)	(34.0, 1528406.0)	(35.0, 2214873.0)	(36.0, 4091908.0)	(37.0, 10747219.0)			
NS55_paired_1	(25.0, 7.0)	(26.0, 200.0)	(27.0, 2017.0)	(28.0, 10548.0)	(29.0, 36087.0)	(30.0, 86137.0)	(31.0, 160816.0)	(32.0, 255624.0)	(33.0, 375171.0)	(34.0, 538372.0)	(35.0, 795334.0)	(36.0, 1269382.0)	(37.0, 2134448.0)	(38.0, 3315563.0)	(39.0, 4349644.0)	(40.0, 1115379.0)		
NS55_paired_2	(23.0, 1.0)	(24.0, 56.0)	(25.0, 604.0)	(26.0, 3897.0)	(27.0, 14888.0)	(28.0, 40865.0)	(29.0, 89605.0)	(30.0, 172193.0)	(31.0, 285284.0)	(32.0, 423048.0)	(33.0, 581575.0)	(34.0, 779858.0)	(35.0, 1061515.0)	(36.0, 1528950.0)	(37.0, 2311983.0)	(38.0, 3348642.0)	(39.0, 3536140.0)	(40.0, 265625.0)
NS58_paired_1	(24.0, 8.0)	(25.0, 84.0)	(26.0, 934.0)	(27.0, 5165.0)	(28.0, 20651.0)	(29.0, 60987.0)	(30.0, 143895.0)	(31.0, 287600.0)	(32.0, 513120.0)	(33.0, 855522.0)	(34.0, 1405872.0)	(35.0, 2459739.0)	(36.0, 5537816.0)	(37.0, 16390257.0)				
NS58_paired_2	(23.0, 3.0)	(24.0, 70.0)	(25.0, 811.0)	(26.0, 5126.0)	(27.0, 20647.0)	(28.0, 62128.0)	(29.0, 144238.0)	(30.0, 281420.0)	(31.0, 474779.0)	(32.0, 727857.0)	(33.0, 1054076.0)	(34.0, 1509540.0)	(35.0, 2340008.0)	(36.0, 4835530.0)	(37.0, 16225417.0)			
NS62_paired_1	(24.0, 1.0)	(25.0, 12.0)	(26.0, 193.0)	(27.0, 1803.0)	(28.0, 9662.0)	(29.0, 33455.0)	(30.0, 80662.0)	(31.0, 151439.0)	(32.0, 245276.0)	(33.0, 363220.0)	(34.0, 524003.0)	(35.0, 778045.0)	(36.0, 1248255.0)	(37.0, 2101430.0)	(38.0, 3242948.0)	(39.0, 4128822.0)	(40.0, 997336.0)	
NS62_paired_2	(24.0, 40.0)	(25.0, 524.0)	(26.0, 3633.0)	(27.0, 14448.0)	(28.0, 39940.0)	(29.0, 91787.0)	(30.0, 178219.0)	(31.0, 294553.0)	(32.0, 434016.0)	(33.0, 591256.0)	(34.0, 785102.0)	(35.0, 1057315.0)	(36.0, 1504505.0)	(37.0, 2246542.0)	(38.0, 3172853.0)	(39.0, 3247074.0)	(40.0, 244755.0)	
NS67_paired_1	(24.0, 4.0)	(25.0, 92.0)	(26.0, 835.0)	(27.0, 5147.0)	(28.0, 20866.0)	(29.0, 63412.0)	(30.0, 153095.0)	(31.0, 314536.0)	(32.0, 576026.0)	(33.0, 984221.0)	(34.0, 1650679.0)	(35.0, 2930177.0)	(36.0, 6530383.0)	(37.0, 15799608.0)				
NS67_paired_2	(23.0, 1.0)	(24.0, 80.0)	(25.0, 1003.0)	(26.0, 6490.0)	(27.0, 27137.0)	(28.0, 82211.0)	(29.0, 192365.0)	(30.0, 372888.0)	(31.0, 625044.0)	(32.0, 944374.0)	(33.0, 1343492.0)	(34.0, 1891614.0)	(35.0, 2851505.0)	(36.0, 5568417.0)	(37.0, 15122460.0)			
NS6_paired_1	(24.0, 5.0)	(25.0, 62.0)	(26.0, 664.0)	(27.0, 3965.0)	(28.0, 16125.0)	(29.0, 47922.0)	(30.0, 114869.0)	(31.0, 233302.0)	(32.0, 421959.0)	(33.0, 715194.0)	(34.0, 1187060.0)	(35.0, 2078627.0)	(36.0, 4551709.0)	(37.0, 11772208.0)				
NS6_paired_2	(23.0, 2.0)	(24.0, 66.0)	(25.0, 685.0)	(26.0, 4348.0)	(27.0, 18274.0)	(28.0, 54270.0)	(29.0, 127276.0)	(30.0, 247232.0)	(31.0, 414807.0)	(32.0, 628360.0)	(33.0, 899448.0)	(34.0, 1274114.0)	(35.0, 1936621.0)	(36.0, 3828344.0)	(37.0, 11709824.0)			
NS70_paired_1	(24.0, 6.0)	(25.0, 36.0)	(26.0, 403.0)	(27.0, 2247.0)	(28.0, 9568.0)	(29.0, 28314.0)	(30.0, 69751.0)	(31.0, 147686.0)	(32.0, 280054.0)	(33.0, 505092.0)	(34.0, 914577.0)	(35.0, 1806886.0)	(36.0, 4446955.0)	(37.0, 12708964.0)				
NS70_paired_2	(23.0, 3.0)	(24.0, 93.0)	(25.0, 1029.0)	(26.0, 6555.0)	(27.0, 26055.0)	(28.0, 75813.0)	(29.0, 171952.0)	(30.0, 323530.0)	(31.0, 531810.0)	(32.0, 794082.0)	(33.0, 1122810.0)	(34.0, 1594823.0)	(35.0, 2426148.0)	(36.0, 4586117.0)	(37.0, 9259719.0)			
NS71_paired_1	(24.0, 1.0)	(25.0, 41.0)	(26.0, 363.0)	(27.0, 2126.0)	(28.0, 8516.0)	(29.0, 26282.0)	(30.0, 65440.0)	(31.0, 140944.0)	(32.0, 270367.0)	(33.0, 495353.0)	(34.0, 911538.0)	(35.0, 1822569.0)	(36.0, 4501611.0)	(37.0, 12168343.0)				
NS71_paired_2	(23.0, 6.0)	(24.0, 108.0)	(25.0, 1219.0)	(26.0, 7417.0)	(27.0, 29847.0)	(28.0, 86053.0)	(29.0, 193646.0)	(30.0, 361052.0)	(31.0, 587862.0)	(32.0, 864855.0)	(33.0, 1206476.0)	(34.0, 1675647.0)	(35.0, 2483949.0)	(36.0, 4503294.0)	(37.0, 8412063.0)			
NS72_paired_1	(24.0, 2.0)	(25.0, 43.0)	(26.0, 339.0)	(27.0, 2128.0)	(28.0, 8712.0)	(29.0, 26484.0)	(30.0, 65917.0)	(31.0, 140426.0)	(32.0, 270826.0)	(33.0, 494298.0)	(34.0, 898970.0)	(35.0, 1801941.0)	(36.0, 4509160.0)	(37.0, 13531030.0)				
NS72_paired_2	(23.0, 4.0)	(24.0, 116.0)	(25.0, 1309.0)	(26.0, 8090.0)	(27.0, 32271.0)	(28.0, 91402.0)	(29.0, 205517.0)	(30.0, 382775.0)	(31.0, 620445.0)	(32.0, 913698.0)	(33.0, 1272651.0)	(34.0, 1762151.0)	(35.0, 2612380.0)	(36.0, 4744121.0)	(37.0, 9103346.0)			
NS77_paired_1	(24.0, 2.0)	(25.0, 34.0)	(26.0, 221.0)	(27.0, 1248.0)	(28.0, 5269.0)	(29.0, 17330.0)	(30.0, 46923.0)	(31.0, 111851.0)	(32.0, 240928.0)	(33.0, 495916.0)	(34.0, 1038986.0)	(35.0, 2434406.0)	(36.0, 8007866.0)	(37.0, 5366555.0)				
NS77_paired_2	(23.0, 1.0)	(24.0, 39.0)	(25.0, 476.0)	(26.0, 3609.0)	(27.0, 15278.0)	(28.0, 48767.0)	(29.0, 118444.0)	(30.0, 236171.0)	(31.0, 408319.0)	(32.0, 633432.0)	(33.0, 939004.0)	(34.0, 1384951.0)	(35.0, 2170044.0)	(36.0, 4089264.0)	(37.0, 7719736.0)			
NS78_paired_1	(24.0, 9.0)	(25.0, 159.0)	(26.0, 1385.0)	(27.0, 6218.0)	(28.0, 20269.0)	(29.0, 52584.0)	(30.0, 116296.0)	(31.0, 224726.0)	(32.0, 404205.0)	(33.0, 709241.0)	(34.0, 1273634.0)	(35.0, 2452776.0)	(36.0, 5471181.0)	(37.0, 3840729.0)				
NS78_paired_2	(23.0, 1.0)	(24.0, 77.0)	(25.0, 939.0)	(26.0, 6380.0)	(27.0, 25638.0)	(28.0, 78176.0)	(29.0, 185002.0)	(30.0, 364942.0)	(31.0, 624928.0)	(32.0, 943950.0)	(33.0, 1281832.0)	(34.0, 1607160.0)	(35.0, 2051894.0)	(36.0, 3104724.0)	(37.0, 4297769.0)			
NS79_paired_1	(24.0, 1.0)	(25.0, 24.0)	(26.0, 298.0)	(27.0, 1636.0)	(28.0, 6594.0)	(29.0, 20927.0)	(30.0, 51980.0)	(31.0, 112148.0)	(32.0, 217335.0)	(33.0, 398609.0)	(34.0, 737516.0)	(35.0, 1487545.0)	(36.0, 3698758.0)	(37.0, 10263492.0)				
NS79_paired_2	(23.0, 5.0)	(24.0, 97.0)	(25.0, 1047.0)	(26.0, 6258.0)	(27.0, 25387.0)	(28.0, 72039.0)	(29.0, 162151.0)	(30.0, 302601.0)	(31.0, 489325.0)	(32.0, 718753.0)	(33.0, 1002103.0)	(34.0, 1388146.0)	(35.0, 2055003.0)	(36.0, 3717905.0)	(37.0, 7056043.0)			
NS7_paired_1	(24.0, 2.0)	(25.0, 64.0)	(26.0, 590.0)	(27.0, 3638.0)	(28.0, 15270.0)	(29.0, 45513.0)	(30.0, 110372.0)	(31.0, 224975.0)	(32.0, 409178.0)	(33.0, 700285.0)	(34.0, 1175289.0)	(35.0, 2089647.0)	(36.0, 4672020.0)	(37.0, 12634171.0)				
NS7_paired_2	(23.0, 2.0)	(24.0, 56.0)	(25.0, 673.0)	(26.0, 4463.0)	(27.0, 18023.0)	(28.0, 54601.0)	(29.0, 128186.0)	(30.0, 248872.0)	(31.0, 418076.0)	(32.0, 636950.0)	(33.0, 916694.0)	(34.0, 1316513.0)	(35.0, 2032069.0)	(36.0, 4098690.0)	(37.0, 12207146.0)			
NS81_paired_1	(24.0, 6.0)	(25.0, 53.0)	(26.0, 519.0)	(27.0, 2871.0)	(28.0, 11299.0)	(29.0, 35259.0)	(30.0, 93559.0)	(31.0, 222985.0)	(32.0, 497847.0)	(33.0, 1031813.0)	(34.0, 1919407.0)	(35.0, 3190456.0)	(36.0, 5438096.0)	(37.0, 3901125.0)				
NS81_paired_2	(23.0, 2.0)	(24.0, 44.0)	(25.0, 718.0)	(26.0, 4478.0)	(27.0, 19050.0)	(28.0, 58757.0)	(29.0, 144515.0)	(30.0, 295706.0)	(31.0, 530086.0)	(32.0, 868183.0)	(33.0, 1324379.0)	(34.0, 1907388.0)	(35.0, 2622858.0)	(36.0, 3794650.0)	(37.0, 4774481.0)			
NS83_paired_1	(24.0, 2.0)	(25.0, 32.0)	(26.0, 335.0)	(27.0, 1905.0)	(28.0, 7420.0)	(29.0, 22892.0)	(30.0, 57020.0)	(31.0, 120889.0)	(32.0, 232137.0)	(33.0, 424293.0)	(34.0, 777383.0)	(35.0, 1566631.0)	(36.0, 3933501.0)	(37.0, 11671960.0)				
NS83_paired_2	(23.0, 2.0)	(24.0, 94.0)	(25.0, 1079.0)	(26.0, 6743.0)	(27.0, 26709.0)	(28.0, 77268.0)	(29.0, 173411.0)	(30.0, 324160.0)	(31.0, 528544.0)	(32.0, 777849.0)	(33.0, 1087908.0)	(34.0, 1517144.0)	(35.0, 2260460.0)	(36.0, 4139657.0)	(37.0, 7895372.0)			
NS86_paired_1	(24.0, 5.0)	(25.0, 68.0)	(26.0, 616.0)	(27.0, 2754.0)	(28.0, 10361.0)	(29.0, 29618.0)	(30.0, 71583.0)	(31.0, 150067.0)	(32.0, 285941.0)	(33.0, 512398.0)	(34.0, 912031.0)	(35.0, 1719072.0)	(36.0, 4051537.0)	(37.0, 10100455.0)				
NS86_paired_2	(23.0, 8.0)	(24.0, 158.0)	(25.0, 1571.0)	(26.0, 9239.0)	(27.0, 34506.0)	(28.0, 94371.0)	(29.0, 203923.0)	(30.0, 364361.0)	(31.0, 566864.0)	(32.0, 781170.0)	(33.0, 993731.0)	(34.0, 1244552.0)	(35.0, 1731921.0)	(36.0, 3290253.0)	(37.0, 8529878.0)			
NS9_paired_1	(24.0, 3.0)	(25.0, 56.0)	(26.0, 627.0)	(27.0, 3584.0)	(28.0, 13963.0)	(29.0, 42561.0)	(30.0, 102433.0)	(31.0, 208624.0)	(32.0, 382475.0)	(33.0, 651477.0)	(34.0, 1086169.0)	(35.0, 1917208.0)	(36.0, 4138136.0)	(37.0, 10083577.0)				
NS9_paired_2	(23.0, 5.0)	(24.0, 72.0)	(25.0, 837.0)	(26.0, 5605.0)	(27.0, 21785.0)	(28.0, 63919.0)	(29.0, 144764.0)	(30.0, 276658.0)	(31.0, 451751.0)	(32.0, 672698.0)	(33.0, 939630.0)	(34.0, 1301248.0)	(35.0, 1905551.0)	(36.0, 3568322.0)	(37.0, 9278048.0)			
