Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NS27_paired_1	(1.0, 86.9847826094491)	(2.0, 10.409571847872893)	(3.0, 1.8057571463846733)	(4.0, 0.4589141226282384)	(5.0, 0.17604952026356704)	(6.0, 0.07409221604684021)	(7.0, 0.025453787543042866)	(8.0, 0.007149434361624922)	(9.0, 0.0030736519677965787)	('>10', 0.0073083293329513545)	('>50', 0.0)	('>100', 0.019210931717852327)	('>500', 0.003451068206401926)	('>1k', 0.02518533422503224)	('>5k', 0.0)	('>10k+', 0.0)
NS27_paired_2	(1.0, 87.29618814966908)	(2.0, 10.062638274341722)	(3.0, 1.854996653779411)	(4.0, 0.46495920696118964)	(5.0, 0.16795298846034715)	(6.0, 0.06394174341445855)	(7.0, 0.022399041576262286)	(8.0, 0.00919201343655667)	(9.0, 0.0040981521048854795)	('>10', 0.0010277478528298415)	('>50', 0.0)	('>100', 0.02596444174514513)	('>500', 0.0)	('>1k', 0.026641586658126663)	('>5k', 0.0)	('>10k+', 0.0)
NS28_paired_1	(1.0, 72.4726341596244)	(2.0, 14.632438487117753)	(3.0, 4.39890613621107)	(4.0, 1.6646125715063025)	(5.0, 0.8046233455952219)	(6.0, 0.4105074012536326)	(7.0, 0.299166466199705)	(8.0, 0.19623948821209497)	(9.0, 0.14130669605428997)	('>10', 2.0405595445058293)	('>50', 0.2889716352688478)	('>100', 0.07404877613615303)	('>500', 0.0048224935252409)	('>1k', 0.008253270770230532)	('>5k', 0.0)	('>10k+', 2.562909528019229)
NS28_paired_2	(1.0, 74.35206177234585)	(2.0, 14.623066454614092)	(3.0, 4.32929602545585)	(4.0, 1.5763674998685115)	(5.0, 0.7624047710797184)	(6.0, 0.4054576961480331)	(7.0, 0.2872077376662546)	(8.0, 0.21158788588131425)	(9.0, 0.13364523212065516)	('>10', 2.017387428181286)	('>50', 0.2746004592448431)	('>100', 0.10042430240060904)	('>500', 0.005180650857366858)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.9213120841356136)
NS29_paired_1	(1.0, 84.58356958460388)	(2.0, 12.101440577879025)	(3.0, 2.2009790705973726)	(4.0, 0.562027706003908)	(5.0, 0.18851721089507595)	(6.0, 0.07277870608882846)	(7.0, 0.03851383960819397)	(8.0, 0.015243504373320359)	(9.0, 0.0091705495674921)	('>10', 0.011314885062976383)	('>50', 0.001264164559875498)	('>100', 0.002957078910185922)	('>500', 0.0030146748153476823)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.2092084470345073)
NS29_paired_2	(1.0, 85.59886432428432)	(2.0, 11.385283105714084)	(3.0, 1.9643140213388124)	(4.0, 0.5529728439763972)	(5.0, 0.16835312099990277)	(6.0, 0.05963747550158172)	(7.0, 0.02128374394430789)	(8.0, 0.010162233614079528)	(9.0, 0.007132579330431662)	('>10', 0.009266123381060797)	('>50', 0.0035797882613081604)	('>100', 0.0027547515046784936)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.21639588814907368)
NS30_paired_1	(1.0, 70.30970272379709)	(2.0, 13.506340586562782)	(3.0, 3.338265473329468)	(4.0, 1.3605589428118934)	(5.0, 0.9047736279724664)	(6.0, 0.815296061556434)	(7.0, 0.753134447685642)	(8.0, 0.6945056977581514)	(9.0, 0.5913586997272612)	('>10', 2.215715447323298)	('>50', 0.005538290037884165)	('>100', 0.007422877464100064)	('>500', 0.0)	('>1k', 0.03873419591638004)	('>5k', 0.023647482659608175)	('>10k+', 5.435005445397518)
NS30_paired_2	(1.0, 74.45549621935079)	(2.0, 13.544720494475888)	(3.0, 3.29948406201989)	(4.0, 1.3066829352606537)	(5.0, 0.8689017308420909)	(6.0, 0.8410566368718801)	(7.0, 0.8400736508853139)	(8.0, 0.7177788700603974)	(9.0, 0.6190091802207447)	('>10', 2.243236736043727)	('>50', 0.006854745221881157)	('>100', 0.017801311229284095)	('>500', 0.0028155728994308103)	('>1k', 0.03496534252526233)	('>5k', 0.0)	('>10k+', 1.2011225120927458)
NS32_paired_1	(1.0, 85.68424840677899)	(2.0, 10.538475626251994)	(3.0, 2.1627838688516245)	(4.0, 0.5701673740351179)	(5.0, 0.21098065119185858)	(6.0, 0.09770736743352193)	(7.0, 0.058575340534724865)	(8.0, 0.03543929960506283)	(9.0, 0.02639488036303959)	('>10', 0.08676651869546162)	('>50', 0.0)	('>100', 0.004145592448585817)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5243150738099912)
NS32_paired_2	(1.0, 86.24793179511241)	(2.0, 10.193156805283564)	(3.0, 1.9846092374328754)	(4.0, 0.5540579835352669)	(5.0, 0.20492435703682665)	(6.0, 0.08963667837507966)	(7.0, 0.05149881844387977)	(8.0, 0.03138478298527219)	(9.0, 0.026391260768837445)	('>10', 0.0641832350765405)	('>50', 0.0011902440424869669)	('>100', 0.013949643013237685)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5370851588936822)
NS34_paired_1	(1.0, 82.25596496326779)	(2.0, 13.504328305806576)	(3.0, 2.8655590563323283)	(4.0, 0.6681615980543033)	(5.0, 0.2496424810269396)	(6.0, 0.13346142467928554)	(7.0, 0.10636937930506893)	(8.0, 0.07084822078356666)	(9.0, 0.04535517561629821)	('>10', 0.09506779581687555)	('>50', 0.001240057830197737)	('>100', 0.004001541480770546)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS34_paired_2	(1.0, 82.45768234401274)	(2.0, 13.450500456047537)	(3.0, 2.752860208409859)	(4.0, 0.6469515151729315)	(5.0, 0.23138247647992105)	(6.0, 0.13244652658099948)	(7.0, 0.0940988675752358)	(8.0, 0.07187729154079138)	(9.0, 0.050510839150360025)	('>10', 0.10945838841217176)	('>50', 0.0)	('>100', 0.002231086617437786)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS36_paired_1	(1.0, 85.95657582968104)	(2.0, 9.72709796308159)	(3.0, 2.044662138012646)	(4.0, 0.9145430159161462)	(5.0, 0.5421088840558513)	(6.0, 0.3570984154432936)	(7.0, 0.19741000283219007)	(8.0, 0.10104700019580241)	(9.0, 0.04402264495588282)	('>10', 0.09709655474777804)	('>50', 0.0012424861027631052)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.017095064974998048)	('>5k', 0.0)	('>10k+', 0.0)
NS36_paired_2	(1.0, 86.0310836902065)	(2.0, 9.625161622820105)	(3.0, 2.072869864790974)	(4.0, 0.9347366023938884)	(5.0, 0.5562845306760645)	(6.0, 0.3327603378761287)	(7.0, 0.19538040318905522)	(8.0, 0.11125690421304767)	(9.0, 0.04095244219073934)	('>10', 0.08458669362855042)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.014926908014961446)	('>5k', 0.0)	('>10k+', 0.0)
NS38_paired_1	(1.0, 93.12128799275273)	(2.0, 6.2395797470421845)	(3.0, 0.5424568348941803)	(4.0, 0.06582066570045099)	(5.0, 0.013220734093525224)	(6.0, 0.004085383349546319)	(7.0, 0.0010257245003385518)	(8.0, 0.0020602310666287082)	(9.0, 0.0010345189349310782)	('>10', 0.00110665365490431)	('>50', 0.002546019111804143)	('>100', 0.005775494898763471)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS38_paired_2	(1.0, 93.20169947291407)	(2.0, 6.128177119238298)	(3.0, 0.5545602032281289)	(4.0, 0.06885911696546562)	(5.0, 0.024407741940245607)	(6.0, 0.005106784006171589)	(7.0, 0.004102946932712195)	(8.0, 0.002060258084285447)	(9.0, 0.0010345337267438682)	('>10', 0.0033384886305921646)	('>50', 0.002634348149587724)	('>100', 0.004018986183730717)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS39_paired_1	(1.0, 78.8014020376819)	(2.0, 7.061144109971231)	(3.0, 1.4018363670666931)	(4.0, 1.0600080500233175)	(5.0, 1.2613542021212425)	(6.0, 1.450648271688268)	(7.0, 1.6865367471249546)	(8.0, 1.6128904995871078)	(9.0, 1.5042036085719148)	('>10', 4.090132409790624)	('>50', 0.002356802758003719)	('>100', 0.004210670832961501)	('>500', 0.0038391051411408475)	('>1k', 0.05943711764063609)	('>5k', 0.0)	('>10k+', 0.0)
NS39_paired_2	(1.0, 79.27183030025998)	(2.0, 6.792601314813433)	(3.0, 1.3998912050660866)	(4.0, 1.0530211979150812)	(5.0, 1.2261491178081505)	(6.0, 1.5072918251879905)	(7.0, 1.6288807924127724)	(8.0, 1.6048483874349202)	(9.0, 1.422806770637766)	('>10', 4.014412799440415)	('>50', 0.0024354843773366345)	('>100', 0.013193081498264436)	('>500', 0.003349796572161872)	('>1k', 0.05928792657563433)	('>5k', 0.0)	('>10k+', 0.0)
NS40_paired_1	(1.0, 79.00585003147444)	(2.0, 12.393309222658058)	(3.0, 3.8872050402418075)	(4.0, 1.8966170773117557)	(5.0, 1.037967274159419)	(6.0, 0.6699458646314567)	(7.0, 0.39030568618419137)	(8.0, 0.22293872014589022)	(9.0, 0.10764980409674545)	('>10', 0.26371295163280223)	('>50', 0.01020209549099649)	('>100', 0.0085795360688673)	('>500', 0.0)	('>1k', 0.013455406953662857)	('>5k', 0.0)	('>10k+', 0.09226128894984831)
NS40_paired_2	(1.0, 79.81311471532806)	(2.0, 12.035222435720023)	(3.0, 3.6746950558478813)	(4.0, 1.7097647015008388)	(5.0, 1.0117893554598916)	(6.0, 0.6144519080105784)	(7.0, 0.3963716079950794)	(8.0, 0.2300316012126985)	(9.0, 0.1106961773879846)	('>10', 0.2782981097460596)	('>50', 0.009058919266186714)	('>100', 0.005658792973582784)	('>500', 0.0)	('>1k', 0.011619434896532818)	('>5k', 0.0)	('>10k+', 0.09922718465467466)
NS41_paired_1	(1.0, 69.02212565469203)	(2.0, 15.987079906456156)	(3.0, 6.40911149602998)	(4.0, 3.0131709942600526)	(5.0, 1.6755099714701391)	(6.0, 0.9865363034408379)	(7.0, 0.6492308418065261)	(8.0, 0.4441297966010801)	(9.0, 0.3324879310466951)	('>10', 1.3243796233502758)	('>50', 0.08134386145970678)	('>100', 0.02676627247550459)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04812734691097474)
NS41_paired_2	(1.0, 70.12365641015936)	(2.0, 16.02920333907158)	(3.0, 5.9577481186424945)	(4.0, 2.874859399430158)	(5.0, 1.5136969036783319)	(6.0, 0.8807894671893215)	(7.0, 0.5462804177137942)	(8.0, 0.3854787675084185)	(9.0, 0.2828370105068311)	('>10', 1.2480422711969088)	('>50', 0.08275858191378244)	('>100', 0.023371816418519365)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05127749657044518)
NS46_paired_1	(1.0, 87.4479995258256)	(2.0, 10.332803411913286)	(3.0, 1.5701682447848566)	(4.0, 0.3397483554413484)	(5.0, 0.08594239629011519)	(6.0, 0.032448778343589)	(7.0, 0.020339345627198295)	(8.0, 0.00713941122506373)	(9.0, 0.004091480587028714)	('>10', 0.11608038070510378)	('>50', 0.040240320145962565)	('>100', 0.0029983491109109145)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS46_paired_2	(1.0, 87.53777952644501)	(2.0, 10.273236077130894)	(3.0, 1.5943830482826211)	(4.0, 0.3155704297907588)	(5.0, 0.08898071328907012)	(6.0, 0.03650696477296353)	(7.0, 0.021357543739854188)	(8.0, 0.008159800653207495)	(9.0, 0.00511464961175226)	('>10', 0.09698933135188754)	('>50', 0.021921914931987054)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS4_paired_1	(1.0, 84.79214102017582)	(2.0, 11.57356536992919)	(3.0, 1.9760189523070368)	(4.0, 0.6172389978696505)	(5.0, 0.28590726513594883)	(6.0, 0.160154849940223)	(7.0, 0.09865006454482135)	(8.0, 0.06428463760124917)	(9.0, 0.04914137209453723)	('>10', 0.14205845717827104)	('>50', 0.004731895975841137)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.23610711724742087)
NS4_paired_2	(1.0, 85.33983511652164)	(2.0, 11.14586795316161)	(3.0, 1.9297498454339295)	(4.0, 0.5718964311452692)	(5.0, 0.2677075530406606)	(6.0, 0.16318667972018297)	(7.0, 0.0925428098702408)	(8.0, 0.05407767337266949)	(9.0, 0.04811485771189214)	('>10', 0.13810609537605714)	('>50', 0.00365392766355758)	('>100', 0.0014035888369604485)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.24385746814532602)
NS51_paired_1	(1.0, 84.46672897545403)	(2.0, 12.543366860955828)	(3.0, 2.0933877056749246)	(4.0, 0.5162539464963536)	(5.0, 0.1603779943736521)	(6.0, 0.06773658776983156)	(7.0, 0.051679555805443006)	(8.0, 0.023360156083561904)	(9.0, 0.015269952851321291)	('>10', 0.046273314453826916)	('>50', 0.0)	('>100', 0.001248249831214801)	('>500', 0.0)	('>1k', 0.014316700249999008)	('>5k', 0.0)	('>10k+', 0.0)
NS51_paired_2	(1.0, 85.14116844559014)	(2.0, 12.071821803942115)	(3.0, 2.005076094153046)	(4.0, 0.4639337943476764)	(5.0, 0.15432917289584558)	(6.0, 0.055605791429754164)	(7.0, 0.021280243618900192)	(8.0, 0.013203827497260413)	(9.0, 0.01323421712043549)	('>10', 0.045292937895922716)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.015053671508877504)	('>5k', 0.0)	('>10k+', 0.0)
NS55_paired_1	(1.0, 77.80548888679937)	(2.0, 15.076959672486339)	(3.0, 4.905313050500207)	(4.0, 1.4725610159539801)	(5.0, 0.4213214996491518)	(6.0, 0.1372001520403276)	(7.0, 0.06730751287195065)	(8.0, 0.028653301646739186)	(9.0, 0.02567154059193966)	('>10', 0.058233716214052024)	('>50', 0.0012896512459569453)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS55_paired_2	(1.0, 78.48839225024551)	(2.0, 14.892236089605207)	(3.0, 4.475042764667242)	(4.0, 1.4373052688511694)	(5.0, 0.4203292553588714)	(6.0, 0.11992901635678799)	(7.0, 0.06017183666836084)	(8.0, 0.025584592632086935)	(9.0, 0.022592103515806636)	('>10', 0.05841682209896098)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS58_paired_1	(1.0, 64.66161825992242)	(2.0, 20.47109267261242)	(3.0, 7.642968394170382)	(4.0, 3.3485956535355355)	(5.0, 1.570733511206444)	(6.0, 0.7777197314462201)	(7.0, 0.43800534348970455)	(8.0, 0.29927109801710317)	(9.0, 0.15800854567796274)	('>10', 0.5754018766257226)	('>50', 0.009999480115757856)	('>100', 0.007149138047583755)	('>500', 0.0031117137041909693)	('>1k', 0.0038750271428162355)	('>5k', 0.032449554285734726)	('>10k+', 0.0)
NS58_paired_2	(1.0, 67.85286085676624)	(2.0, 19.324347479251514)	(3.0, 6.8302332161145545)	(4.0, 2.8219679480707476)	(5.0, 1.3024042488247816)	(6.0, 0.6720261912165711)	(7.0, 0.37447094726462793)	(8.0, 0.21942561915274517)	(9.0, 0.1306773180296636)	('>10', 0.41686246067374155)	('>50', 0.004470758463113634)	('>100', 0.002497520969335746)	('>500', 0.008977613650907627)	('>1k', 0.00476776494485315)	('>5k', 0.034010056606619134)	('>10k+', 0.0)
NS62_paired_1	(1.0, 88.11122666121945)	(2.0, 10.12183214314634)	(3.0, 1.3398813795359767)	(4.0, 0.24853347248056987)	(5.0, 0.07198926287536385)	(6.0, 0.028492143272248673)	(7.0, 0.01736088389872518)	(8.0, 0.008199112295444408)	(9.0, 0.0143998156632521)	('>10', 0.03243859187703774)	('>50', 0.0)	('>100', 0.00564653373560198)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS62_paired_2	(1.0, 88.32094761328132)	(2.0, 9.935359378894857)	(3.0, 1.3268075843868936)	(4.0, 0.24348439060368357)	(5.0, 0.05779477763634507)	(6.0, 0.04172106350958076)	(7.0, 0.01736106328724918)	(8.0, 0.010248997728072792)	(9.0, 0.010285691819229658)	('>10', 0.0305274178314071)	('>50', 0.0)	('>100', 0.0054620210213340275)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS67_paired_1	(1.0, 65.51465540353895)	(2.0, 14.0619309519234)	(3.0, 5.495216843881259)	(4.0, 3.289597441263264)	(5.0, 2.4518803731721937)	(6.0, 1.9542288662353833)	(7.0, 1.5183239697018291)	(8.0, 1.2262403794168835)	(9.0, 0.9665068432677162)	('>10', 3.3227942494514404)	('>50', 0.10020283056473901)	('>100', 0.03621292194358851)	('>500', 0.01603831279078572)	('>1k', 0.0461706128485757)	('>5k', 0.0)	('>10k+', 0.0)
NS67_paired_2	(1.0, 66.65760000561815)	(2.0, 13.597764679714997)	(3.0, 5.443505932880244)	(4.0, 3.328492158380119)	(5.0, 2.3831784991289178)	(6.0, 1.8923286973860338)	(7.0, 1.4743500845905457)	(8.0, 1.1498153354759468)	(9.0, 0.92123492893681)	('>10', 2.997456964224742)	('>50', 0.06613244017386093)	('>100', 0.0353797570485847)	('>500', 0.020637379777988168)	('>1k', 0.03212313666303428)	('>5k', 0.0)	('>10k+', 0.0)
NS6_paired_1	(1.0, 83.64646030052822)	(2.0, 11.341532531367024)	(3.0, 2.563182798904345)	(4.0, 1.0158454787485616)	(5.0, 0.5539441947838051)	(6.0, 0.2594552504862554)	(7.0, 0.17405359057730596)	(8.0, 0.08114633535369623)	(9.0, 0.05896991307208447)	('>10', 0.13382249797521667)	('>50', 0.0)	('>100', 0.0)	('>500', 0.00421696053196506)	('>1k', 0.005318586280920031)	('>5k', 0.0)	('>10k+', 0.1620515613905901)
NS6_paired_2	(1.0, 83.97797057086478)	(2.0, 11.14642529340631)	(3.0, 2.420817512533824)	(4.0, 1.0178455783356837)	(5.0, 0.5499102420744609)	(6.0, 0.3169966815245755)	(7.0, 0.1447058845750604)	(8.0, 0.0770882203256075)	(9.0, 0.04575203319624504)	('>10', 0.12794601763363672)	('>50', 0.0)	('>100', 0.0012775589091945242)	('>500', 0.003944641091500958)	('>1k', 0.004822054631814506)	('>5k', 0.0)	('>10k+', 0.16449771089725684)
NS70_paired_1	(1.0, 75.30705175411168)	(2.0, 15.980405547557611)	(3.0, 5.215788138568886)	(4.0, 1.8641520755847203)	(5.0, 0.6937966825373225)	(6.0, 0.3790635948491705)	(7.0, 0.17630565940404455)	(8.0, 0.10461394821088608)	(9.0, 0.08246542808634806)	('>10', 0.1723825600103414)	('>50', 0.0035787333570613815)	('>100', 0.0015590813677712663)	('>500', 0.0)	('>1k', 0.01883679635418584)	('>5k', 0.0)	('>10k+', 0.0)
NS70_paired_2	(1.0, 79.58100974057074)	(2.0, 13.725281318691081)	(3.0, 4.12193070470783)	(4.0, 1.4601176397218838)	(5.0, 0.5144325884162972)	(6.0, 0.22952034192943327)	(7.0, 0.11148699406409027)	(8.0, 0.07822716822241804)	(9.0, 0.039716047531264426)	('>10', 0.12061663365882655)	('>50', 0.003427904126398024)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.014232918359809185)	('>5k', 0.0)	('>10k+', 0.0)
NS71_paired_1	(1.0, 85.38641344214058)	(2.0, 11.332534884831515)	(3.0, 2.0685308009926273)	(4.0, 0.5815351366874882)	(5.0, 0.20776796666774974)	(6.0, 0.11728209949647467)	(7.0, 0.06587924274976152)	(8.0, 0.04368821720790867)	(9.0, 0.029536131733535653)	('>10', 0.08922532024311054)	('>50', 0.0011557739537522544)	('>100', 0.00151690595407845)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07493407734144916)
NS71_paired_2	(1.0, 88.36467043346974)	(2.0, 9.325084759946364)	(3.0, 1.4979255439989476)	(4.0, 0.37942576833598535)	(5.0, 0.1533529922240993)	(6.0, 0.08495525990608264)	(7.0, 0.044609269319202206)	(8.0, 0.020326518584732278)	(9.0, 0.02445141214458662)	('>10', 0.047522745106763895)	('>50', 0.001126708077135413)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05654858888633942)
NS72_paired_1	(1.0, 75.69607837104905)	(2.0, 16.314574754798716)	(3.0, 3.9683624511299995)	(4.0, 1.4094967889308962)	(5.0, 0.8241006098267276)	(6.0, 0.5647847214533599)	(7.0, 0.3669436231526975)	(8.0, 0.2614023340429279)	(9.0, 0.1482650793632459)	('>10', 0.23406171319192257)	('>50', 0.0023080871364594925)	('>100', 0.009541036869566852)	('>500', 0.0)	('>1k', 0.00662876958157608)	('>5k', 0.0)	('>10k+', 0.19345165947285647)
NS72_paired_2	(1.0, 80.02324066981124)	(2.0, 13.769020600075905)	(3.0, 3.035208627018186)	(4.0, 1.1664459254616908)	(5.0, 0.7230291007096742)	(6.0, 0.4582319396365264)	(7.0, 0.3024809947002312)	(8.0, 0.15817874714243982)	(9.0, 0.07825464324455571)	('>10', 0.1299628943330183)	('>50', 0.0023025803220805574)	('>100', 0.008645707676218145)	('>500', 0.0026819078794143463)	('>1k', 0.004714904233282552)	('>5k', 0.0)	('>10k+', 0.13760075775553557)
NS77_paired_1	(1.0, 88.80365267406671)	(2.0, 8.460200492934874)	(3.0, 1.3744931011460244)	(4.0, 0.3808650731017637)	(5.0, 0.14246893783028455)	(6.0, 0.07903441570375798)	(7.0, 0.03962832046969634)	(8.0, 0.06317583762735078)	(9.0, 0.03985116582647796)	('>10', 0.532758164737011)	('>50', 0.06822963876730942)	('>100', 0.015642177788762063)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS77_paired_2	(1.0, 85.06412062009173)	(2.0, 11.000837230773712)	(3.0, 2.069988302020837)	(4.0, 0.5469067167894104)	(5.0, 0.2252374813113857)	(6.0, 0.12154532531803611)	(7.0, 0.06906944807295605)	(8.0, 0.055003425188683217)	(9.0, 0.039836238854715725)	('>10', 0.6424283987632481)	('>50', 0.132502836595949)	('>100', 0.032523976219411076)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS78_paired_1	(1.0, 91.08127129035563)	(2.0, 7.101832432545615)	(3.0, 1.1439841919637295)	(4.0, 0.3308584283767841)	(5.0, 0.12955888654320274)	(6.0, 0.03961037955027913)	(7.0, 0.01528695884991636)	(8.0, 0.009203564677644088)	(9.0, 0.009235024917345219)	('>10', 0.01075306066640173)	('>50', 0.0)	('>100', 0.006118870259777435)	('>500', 0.0)	('>1k', 0.007920225567442903)	('>5k', 0.0)	('>10k+', 0.11436668572624477)
