#Classification	S-9-POLCOM-B_bracken_O.kreport
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	13
k__Bacteria|p__Chloroflexi|c__Tepidiformia	10
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	10
k__Bacteria|p__Chloroflexi|c__Caldilineae	7
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	7
k__Bacteria|p__Armatimonadetes	100
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	72
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	72
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	28
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	28
k__Bacteria|p__Tenericutes	18
k__Bacteria|p__Tenericutes|c__Mollicutes	18
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	10
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	5
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	3
k__Bacteria|p__Acidobacteria	74756
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	74715
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	74463
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	251
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	41
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	41
k__Bacteria|p__Bacteroidetes	38907
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	32283
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	32283
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2817
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2817
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1413
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	1413
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1291
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1291
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	926
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	908
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	17
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	159
k__Bacteria|p__Bacteroidetes|c__Saprospiria	15
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	15
k__Bacteria|p__Rhodothermaeota	48
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	48
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	48
k__Bacteria|p__Chlorobi	43
k__Bacteria|p__Chlorobi|c__Chlorobia	43
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	43
k__Bacteria|p__Ignavibacteriae	9
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	9
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	9
k__Bacteria|p__Gemmatimonadetes	250
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	250
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	250
k__Bacteria|p__Planctomycetes	6954
k__Bacteria|p__Planctomycetes|c__Planctomycetia	6683
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	3513
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	1513
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	1379
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	276
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	270
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Tepidisphaerales	170
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	97
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Sedimentisphaerales	2
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia|o__Candidatus_Brocadiales	1
k__Bacteria|p__Verrucomicrobia	2202
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1213
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1213
k__Bacteria|p__Verrucomicrobia|c__Opitutae	987
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	757
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	229
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	2
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales	2
k__Bacteria|p__Kiritimatiellaeota	256
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	255
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	255
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	1
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia|o__Tichowtungiales	1
k__Bacteria|p__Chlamydiae	223
k__Bacteria|p__Chlamydiae|c__Chlamydiia	223
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	38
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	184
k__Bacteria|p__Spirochaetes	308
k__Bacteria|p__Spirochaetes|c__Spirochaetia	308
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	135
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	173
k__Bacteria|p__Nitrospirae	176
k__Bacteria|p__Nitrospirae|c__Nitrospira	153
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	153
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia	22
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales	22
k__Bacteria|p__Chrysiogenetes	144
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	144
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	144
k__Bacteria|p__Synergistetes	61
k__Bacteria|p__Synergistetes|c__Synergistia	61
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	61
k__Bacteria|p__Thermotogae	53
k__Bacteria|p__Thermotogae|c__Thermotogae	53
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	53
k__Bacteria|p__Candidatus_Saccharibacteria	24
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	24
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	24
k__Bacteria|p__Deferribacteres	12
k__Bacteria|p__Deferribacteres|c__Deferribacteres	12
