feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Enterococcus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002412	1025	2251	2309	403	0	0	9175	0	0	20406	0	414	0	24762	1020	12343	260	0	0	1519	399	272	1739	316	1275	0	0	758	1257	0	146	0	0	0	0	293	0	2490	10135	0	0	3499	74029	4248	316	391	133846	0	29166	45369	474	0	0
SRR20002416	211	3415	0	0	893	0	2566	0	0	0	0	0	0	0	0	1374	0	0	0	0	0	0	418	0	299	0	0	0	0	0	0	0	0	0	0	212	0	0	1881	0	0	0	16810	0	0	0	0	560	0	12392	0	0	0
SRR20002417	0	556	0	0	0	0	1662	0	0	0	0	501	0	0	0	782	0	0	0	0	0	0	192	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	1375	0	0	0	9386	0	0	0	0	0	0	10666	0	0	0
SRR20002419	1441	3977	0	732	885	0	13642	0	522	0	0	7812	201	327	904	47089	753	0	0	2605	0	304	2485	0	1671	0	147	0	837	463	642	0	0	378	404	522	0	0	13780	0	0	0	108698	0	1137	809	730	0	0	62073	0	0	2486
SRR20002420	503	1848	0	0	0	0	8963	0	0	0	0	917	0	0	460	7106	0	0	0	0	0	0	931	0	1141	0	0	597	665	0	0	229	0	317	0	695	0	0	5407	0	0	0	57399	0	0	0	0	0	0	46767	0	0	0
SRR20002421	0	988	0	0	1151	0	3816	0	0	0	419	0	0	0	0	4190	0	0	0	0	0	0	725	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	3015	0	0	0	23581	0	0	0	63926	0	391	22391	0	0	3191
SRR20002422	2193	8516	1163	1008	0	0	22319	0	333	0	278	496	0	1546	1820	360003	590	0	1641	414	1156	387	3726	0	3089	0	0	0	5383	593	585	366	464	459	0	1651	0	0	21880	0	0	0	167841	650	419	876	638564	0	10449	114059	0	0	0
SRR20002425	3550	15450	0	1002	705	0	31843	5179	427	0	0	0	0	1877	2331	16826	568	0	0	0	0	829	5412	0	4365	0	0	0	0	0	0	586	0	3731	32877	1151	0	0	31526	4101	588	0	287252	0	0	2322	3642	0	617	134508	0	0	0
SRR20002427	1075	3834	0	454	0	0	11089	1116	0	13382	0	2789	0	82904	833	6163	3011	0	0	0	0	206	1859	0	1275	0	0	1745	0	731	0	0	0	226	0	1138	0	0	9376	0	0	1825837	85744	967	0	408	305	0	8332	52771	0	0	0
SRR20002430	1042	4879	0	558	0	0	12066	0	0	0	0	694	0	3552	872	35325	7016	0	0	0	5320	0	2517	0	1710	611	0	0	1650	0	0	362	616	1019	1726	992	0	21953	9407	0	657	0	355455	5731	0	661	6298	0	6371	75712	0	0	0
