feature	Acidovorax	Acinetobacter	Actinomyces	Agrobacterium	Alcaligenes	Anoxybacillus	Aquabacterium	Azospirillum	Bacillus	Bifidobacterium	Brevundimonas	Burkholderia	Comamonas	Corynebacterium	Cupriavidus	Cutibacterium	Dermacoccus	Effusibacillus	Escherichia	Haemophilus	Halomonas	Herbaspirillum	Hydrogenophilus	Hylemonella	Klebsiella	Kocuria	Lactobacillus	Lawsonella	Limosilactobacillus	Listeria	Meiothermus	Microbacterium	Micrococcus	Moraxella	Mycobacterium	NICIL.2	Neisseria	Paraburkholderia	Paracoccus	Phocaeicola	Prevotella	Pseudomonas	Rothia	Salmonella	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Stutzerimonas	Tepidimonas	Thermoflavifilum	Thiopseudomonas
SRR20002406	192	425	0	0	0	740	3238	1280	0	0	0	652	167	318	275	19326	0	375	0	0	0	428	332	522	0	126	0	248	0	0	6429	0	350	0	223	1090	0	1914	0	0	0	87796	0	0	0	197	219	0	11800	125	518	0
SRR20002410	245	1061	0	219	401	0	6432	0	0	0	481	225	0	66682	798	2201	1765	0	0	0	0	772	0	903	0	0	0	192	0	0	0	0	423	245	307	0	0	2985	0	0	182	34542	0	0	206	162	0	0	24157	0	0	647
SRR20002412	723	1330	2098	319	0	0	8296	0	0	18257	0	369	0	17461	1300	10829	258	0	727	184	247	1092	243	1278	0	0	735	1278	0	138	0	0	0	0	168	0	2132	6314	0	0	3162	54039	3525	271	315	113093	0	28341	32666	473	0	0
SRR20002416	168	2150	0	0	349	0	2484	0	0	0	0	0	0	0	0	1189	0	0	0	0	0	323	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	12635	0	0	0	0	555	0	8828	0	0	0
SRR20002417	0	263	0	0	0	0	1624	0	0	0	0	313	0	0	0	751	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	638	0	0	0	6810	0	0	0	0	0	0	7382	0	0	0
SRR20002419	1051	2281	0	549	500	0	12378	0	224	0	0	5108	0	0	1199	41599	701	0	680	0	259	1691	0	1671	0	142	0	823	463	308	0	0	370	366	296	0	0	8554	0	0	0	79607	0	967	423	673	0	0	46204	0	0	2504
SRR20002420	469	670	0	0	0	0	8237	0	0	0	0	443	0	0	768	5270	0	0	0	0	0	659	0	1106	0	0	336	645	0	0	221	0	0	0	502	0	0	3258	0	0	0	42627	0	0	0	0	0	0	32785	0	0	0
SRR20002421	0	411	0	0	730	0	3785	0	0	0	336	0	0	0	375	3562	0	0	0	0	0	606	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	0	0	17820	0	0	0	46717	0	281	15439	0	0	3191
SRR20002422	1533	4931	971	749	0	0	20277	0	0	0	228	339	0	4846	1731	269835	597	0	266	1034	430	2547	0	3094	0	0	0	5094	593	408	355	464	378	0	1136	0	0	14259	0	0	0	125112	449	369	591	515388	0	8025	85608	0	0	0
SRR20002425	2682	8963	0	724	573	0	28632	4751	283	0	0	0	0	1778	1776	15421	542	0	0	0	756	3574	0	4368	0	0	0	0	0	0	586	0	2755	1537	590	0	0	20836	4101	392	0	211291	0	0	1154	3030	0	442	102804	0	0	0
SRR20002427	576	2233	0	388	0	0	9936	925	0	12028	0	1804	0	82598	1224	5168	2668	0	0	0	0	1284	0	1275	0	0	1329	0	395	0	0	0	0	0	673	0	0	5964	0	0	1523032	63587	891	0	226	305	0	6644	38573	0	0	0
SRR20002430	1032	2484	0	0	0	0	11321	0	0	0	0	0	0	2671	2763	31056	6242	0	0	4598	0	1970	0	1695	0	0	0	1639	0	0	353	616	618	1087	651	0	18806	5209	0	504	0	309121	5221	0	0	4250	0	5199	55228	0	0	0
SRR20002433	1966	5432	0	817	0	0	22363	451	473	0	0	1437	0	425	2729	84195	0	0	779	0	0	2852	0	3849	0	0	0	3003	1161	677	374	0	0	339	441	0	0	16352	12426	0	0	141041	0	1801	672	1585	0	0	106169	0	0	0
SRR20002435	0	119	0	0	0	397	1068	208	0	0	0	0	0	440839	0	792	0	235	17299	0	0	0	0	167	318	0	702	0	0	0	3660	0	0	0	0	385	0	422	0	0	0	5628	0	0	0	168	0	0	3757	0	217	0
SRR20002439	0	0	0	0	0	0	560	0	0	222	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	2009	0	0	0	0	0	0	1640	0	0	0
SRR20002441	0	0	0	0	0	0	4071	0	0	91	0	0	0	149	0	295	0	0	1445807	0	0	0	0	0	0	0	334	0	0	0	1249	0	0	0	0	269	0	210	0	0	294	3061	0	0	0	4641	0	0	1046	0	0	0
SRR20002442	1897	4686	0	787	0	0	25058	569	0	0	0	0	0	0	2327	5666	0	0	0	0	0	2786	0	3317	0	0	0	0	0	0	0	0	0	0	0	0	0	15562	0	0	0	142514	0	0	621	0	0	0	92837	0	0	529
SRR20002443	1179	3027	0	447	655	0	14628	0	275	0	0	4195	0	152715	1770	39979	280	0	251	0	321	2077	865	2185	1885	0	0	3793	431	293	0	0	542	0	424	0	0	10757	0	0	1098	90970	0	420	481	52297	0	0	60076	0	0	0
SRR20002446	459	1914	0	0	15409	0	9126	0	0	0	423	552	0	17094	1885	35530	0	0	0	0	0	1165	0	1588	0	0	408	872	0	0	0	0	2400	0	0	0	0	4863	345	0	0	46298	0	0	0	45074	0	154810	39642	452	0	0
SRR20002448	1629	3927	0	788	525	0	21850	0	0	0	0	0	0	1176	3068	29672	0	0	597	34818	411	3326	0	3680	0	1363	0	1215	0	0	0	0	1385	0	1451	0	0	15740	0	0	0	125976	2407	0	622	6981	0	38287	87504	0	0	623
SRR20002450	0	0	0	0	587	0	385	0	0	0	0	0	0	0	0	1913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	2305	0	0	0	303436	0	0	1437	0	0	0
SRR20002455	1333	5184	0	780	0	0	23320	0	512	0	0	3919	0	0	2708	27608	935	0	420	0	386	3079	0	3142	0	0	0	983	492	0	0	0	343	1259	542	0	0	15158	0	0	0	129802	0	914	603	969	0	405	92160	0	0	0
SRR20002456	418	1893	0	0	0	0	10128	0	0	0	0	0	0	0	1330	3357	0	0	0	0	0	1533	0	1809	0	0	1769	0	0	0	0	0	0	0	0	0	0	5342	0	0	0	56819	0	0	0	0	0	0	45697	0	0	0
SRR20002459	691	2971	0	658	0	0	13991	0	0	0	342	0	0	0	1279	5219	0	0	0	0	331	1541	0	1805	0	226	0	0	0	0	0	0	417	6018	2307	0	0	7098	988	0	0	75808	0	0	567	68534	0	0	55113	0	0	0
SRR20002464	292	339	0	0	0	904	4477	5336	0	243	0	0	0	216	406	2754	0	490	242	0	0	508	309	550	0	0	0	0	0	0	7578	0	0	149	192	1284	0	2315	0	879	374	29703	0	0	127	0	0	0	14670	0	535	0
SRR20002465	357	1345	0	0	341	0	5716	0	0	5465	0	0	0	552094	614	3790	733	0	203	0	0	632	0	845	0	0	0	135	156	0	0	0	0	0	394	0	0	3833	686	0	15218	39746	0	298	214	0	0	1172	20025	0	0	1565
SRR20002466	1339	3149	0	637	837	0	22081	1429	0	0	0	1166	0	0	2024	12339	0	0	0	0	0	2714	0	2983	0	0	0	0	0	0	308	0	817	0	0	0	391	10142	0	0	0	125673	447	0	483	96755	0	0	75531	0	0	2349
SRR20002468	0	0	0	0	0	0	0	0	0	0	0	0	0	247473	0	0	0	0	232920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1528	564	0	0	0	3127	0	120	266	0	0	0
SRR20002473	753	1446	408	222	0	0	10806	0	0	0	0	0	0	498	1235	5894	0	0	0	0	0	1634	0	1708	0	0	0	503	0	0	0	0	0	0	200	0	0	7469	0	0	0	66209	0	0	406	1062039	0	10481	43157	0	0	0
SRR20002474	948	3047	0	0	3233	0	17420	1058	0	0	514	5805	0	0	2105	10445	0	0	0	0	0	2239	0	2774	593	13608	0	787	0	334	0	0	1319	0	1083	0	0	13229	0	566	0	104408	0	0	961	3347	0	1014	76779	0	0	518
SRR20002475	1413	5811	566	1161	4794	0	24617	827	0	0	0	0	3062	0	3015	34218	0	0	0	0	481	3294	0	3625	9458	834	0	1308	0	0	175	607	758	344	3803	0	0	17771	0	0	0	151178	0	0	1014	2349	3519	30094	105922	0	0	0
SRR20002477	1052	3247	883	673	0	1752	13214	856	0	0	0	642	0	1963	1353	10341	710	892	0	0	353	1728	593	1969	0	0	0	203	0	0	10947	697	957	298	2025	358	8199	10197	0	0	0	90145	959	0	471	988	0	2214	52734	338	811	0
SRR20002478	170	246	0	0	0	294	2476	264	0	0	0	0	0	0	176	1582	0	199	0	0	0	302	0	342	0	0	0	0	0	0	3158	0	182	0	0	192	0	1133	0	0	0	54380	0	0	0	0	0	0	8134	0	234	0
SRR20002479	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	4595	0	0	0	22602	0	0	4250	0	0	0
SRR20002481	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	0	0	0	0	234	0	0	0	168	0	1084	0	0	0	0	0	0	343	0	0	0
SRR20002482	227	369	0	0	0	1001	4117	0	0	0	0	1216	0	0	471	2627	0	436	0	0	0	396	414	557	0	0	0	0	0	0	9182	0	210	0	155	2058	0	1879	155	0	0	23195	0	0	142	0	0	0	14444	0	639	0
SRR20002486	400	860	0	232	0	0	6681	1464	0	0	0	0	0	0	823	5385	0	0	0	0	0	801	0	873	0	0	0	0	0	0	0	0	218	0	178	0	0	4013	246	0	0	43285	0	0	280	148	0	0	23659	0	0	0
SRR20002487	1076	2731	0	348	0	2983	10250	2004	0	0	285	595	468	546	590	13925	0	992	0	0	248	1304	880	1197	0	0	0	0	0	0	19424	0	390	243	225	3997	0	6969	0	0	0	345617	0	333	385	415	667	0	37616	277	1802	0
