#Classification	S-9-POLCOM-B_bracken_F.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	3115
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	3115
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2793
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	2793
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	2125
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	2125
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1799
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	1799
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	668
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	668
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	222
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	16
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	206
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	219
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	219
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	128
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae	60
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	66
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Nocardiopsaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	45
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae	45
