#Classification	N-3-POLJUN-G_bracken_F.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae	1065
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1002
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	1002
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	783
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	783
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	267
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	267
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	230
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	230
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae	185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	136
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae	136
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	1
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2095
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2095
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae	2095
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	5
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	5
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae	5
k__Bacteria|p__Firmicutes	7
k__Bacteria|p__Firmicutes|c__Bacilli	7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	5
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	1
