feature	Acetobacteraceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Dehalococcoidaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Lawsonellaceae	Leptotrichiaceae	Methylobacteriaceae	Micrococcaceae	Moraxellaceae	Muribaculaceae	Nanosynbacteraceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rikenellaceae	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Treponemataceae	Turicibacteraceae	Veillonellaceae	Weeksellaceae	Xanthomonadaceae
NS62	25	1097	1127	0	23007	67	29	34007	6	71638	0	144	5727	300	1293	52853	0	132	12806	1	0	18155	894	7396	37634	349	27	0	1706617	228	0	127	0	41	0	0	5	0	330	201704	14	23	9157	0	5	41	2	0	21331	0	0	128	9234	1	0	6245	69	236	32	0	0
NS67	8	5	2876	8	17198	129	10	48466	1	373966	20	1403	762	8	1222	29416	0	116727	87	0	4	13194	96579	9488	47807	3681	107	0	1117635	36361	0	183	0	52	0	2	9	0	58	812647	425	816	8108	369	21	21050	18	0	78	3	0	18	7804	162	15	4061	25	11412	412	72	0
NS7	32	1896	851	540	17	298	1645	104061	29	657119	0	12	19304	432	125	43175	0	274043	32	0	5	15507	19641	7669	11678	916	78	102	922326	207616	0	3	0	198	0	4	12	3	2476	3641196	2217	235	69306	0	1	123523	47	0	12317	9831	0	5	36933	29276	0	11140	59	78511	7125	201	25
NS70	55	1035	593	82	12	127	6	93079	0	177734	146	7861	2449	95	270	37397	0	103581	43	1	0	7034	2905	15371	54787	700	96	7	1551542	394	0	0	142	189	0	1	0	0	30	1620017	563	134	7175	11234	3	288838	15	95	1568	0	0	83	58979	2267	0	7121	43	15256	625	0	0
NS71	107	10696	4865	80	193956	22	237	234188	72	615715	0	60	9216	1330	6152	71795	0	121073	62	0	0	12545	65	17613	169272	11229	235	0	1834754	1583	1	0	75	134	0	0	0	0	564	342021	14	1056	120382	10	6	273	98	0	3643	16	0	58	33605	1	11	7375	52	57664	0	0	15
NS72	101	1009	11295	949	8315	505	8	3796	0	1271894	5	325	314	1134	1284	156021	0	519583	6	0	14	2400	16249	3253	137389	2216	1006	36	2197271	387905	50	0	0	455	0	0	53	0	39	315799	72	611	231441	393	0	8210	48	139	112	45452	0	10729	131526	274	0	913	52	4368	6608	0	9
NS77	4	72353	42	6	13	6	0	1061350	87	17678	0	3	3255	24	146	86036	0	10763	0	0	18	1350	634073	1995	20102	982	68	111	392823	17	0	0	0	170	0	26	17	16	21516	2064407	407	71	17299	0	34	635406	10	239	23625	0	0	0	26168	862	9	159493	7	459	812	8	0
NS78	83	79	676	0	15	3306	68	6996	1	241215	46	4652	462	2194	165	30140	0	78875	1	0	0	467	3137	1087	52465	662	52	3	1351371	4740	0	0	29	73	0	16	2	0	258	457463	51	20	18981	8029	0	12350	16	372	1581	0	0	219	104845	602	0	873	212	6490	80	0	0
NS79	57	7055	309	18	5	0	37	173523	1	416459	137	5445	852	16	80	22207	0	85448	25	1	0	9576	2232	17370	50557	1141	18	10	1351423	242	0	0	42	59	0	0	0	0	824	2732879	20	113	9394	7984	0	27	37	0	5030	0	43	0	11098	18	0	3709	108	255	50	0	0
NS81	78	61	296	46	1302	6	66	8738	0	161965	384	9677	284	599	1391	19127	349	5	24	0	0	20508	3697	13392	80848	963	61	6	2077285	2321	0	9	286	1	0	0	27	0	2	384608	89	439	24786	15131	1	4	18	0	963	0	50	69	121149	43	0	2193	891	9916	3775	0	0
NS83	73	7119	793	95	12404	109	19	59456	15	89313	14	808	1318	66	867	75044	0	173790	62	0	3	7048	8008	20908	44290	21167	45	0	841339	18727	0	0	0	108	0	16	0	0	1154	1604141	591	219	11516	998	1	24722	27	0	4003	1	0	152	64663	11584	2	9823	118	14896	73	0	0
NS86	8	1758	1227	325	27	1168	0	6366	1	122342	18	4458	377	82	174	53610	71	14238	1	0	0	606	16558	1979	21909	429	10	0	1478192	17771	0	0	83	233	0	5	1	0	112	2505970	2850	87	8931	1169	0	11729	11	243	1755	3	76	491	49075	1574	0	1441	101	23	853	0	9
NS9	88	13212	35	0	65	7	57	969119	285	6121	0	0	12471	146	1295	112070	0	15435	0	0	1	4169	113176	9516	22341	2575	49	18	1541705	351	0	0	0	10	0	10	4	0	33024	1441397	39	57	105030	0	18	733	6	0	217465	122	0	56	32919	209	4	133322	22	219	91	0	0
