feature	Absiella	Acidaminococcus	Actinomyces	Adlercreutzia	Aeriscardovia	Agathobaculum	Akkermansia	Alistipes	Anaerococcus	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotruncus	Asaccharobacter	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricimonas	Campylobacter	Catabacter	Catenibacterium	Christensenella	Clostridiales.Family.XIII.Incertae.Sedis.unclassified	Clostridiales.unclassified	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Denitrobacterium	Dialister	Dielma	Dorea	Eggerthella	Eisenbergiella	Enorma	Enterorhabdus	Erysipelatoclostridium	Escherichia	Eubacterium	Faecalibacterium	Faecalitalea	Firmicutes.unclassified	Flavonifractor	Fusicatenibacter	Gemella	Gemmiger	Gordonibacter	Haemophilus	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.unclassified	Lactobacillus	Lactococcus	Lawsonibacter	Leuconostoc	Massiliomicrobiota	Megamonas	Megasphaera	Mesorhizobium	Mogibacterium	Monoglobus	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilus	Phascolarctobacterium	Porphyromonas	Prevotella	Proteobacteria.unclassified	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminococcaceae.unclassified	Ruminococcus	Ruthenibacterium	Sellimonas	Sharpea	Slackia	Staphylococcus	Stoquefichus	Streptococcus	Sutterella	Tissierellia.unclassified	Turicibacter	Turicimonas	Tyzzerella	Veillonella
NS67	0	0	23309	26964	10262	120774	191036	0	480	5070	312984	2681	11482	35739	0	298411	0	5655524	2165	4485605	0	0	0	0	0	0	0	27410	789685	0	0	562355	150	2234848	0	1768483	18665	61366	14589	3333	56563	53055	770337	1268411	0	343834	35406	72447	7652	413345	8387	134	0	0	27352	86031	0	101515	0	429313	796725	0	669	0	3336	0	0	0	76	0	0	557	6992	11766	0	0	180	13721	0	191	249808	0	10380	3413	363462	0	1249850	3469198	515647	16451	0	109100	0	0	73113	0	0	26525	0	1259	2282
NS7	0	0	26279	68	8304	59450	0	626152	0	0	2625	166571	0	37	0	274521	0	6305300	1712	715431	0	0	0	0	0	479	0	53947	1553071	0	0	247531	0	30138	0	1660144	53017	0	14329	258	0	10598	1388090	5990430	0	141760	547	425735	6064	198645	13011	14040	0	1219	0	925873	0	0	0	878308	3192039	0	0	0	0	27903	422701	0	125	0	9940	567	2852	30691	0	2416	0	0	5942	0	1283488	0	0	125521	777256	904	5013	123958	862	0	0	122	0	0	249887	0	0	191381	0	0	78787
NS70	0	5078	2285	27241	0	192145	0	278	0	0	0	1013621	0	15003	0	315652	0	2244846	0	1898992	0	0	0	0	0	1067	0	1559	1132492	0	0	421028	0	0	0	727325	16444	7707	8363	1163	5180	0	4188470	3435211	0	30670	5410	906599	1259	16613	10187	1064	0	8656	0	12619	0	5439	0	10671130	1534	10487	0	0	1054	0	0	6733	732	0	0	677	10484	24311	11906	0	0	0	24081	0	3378300	0	33565	6570	67999	1773	1070	319286	12155	0	211	115	0	0	622054	0	0	53616	0	0	3033
NS71	0	0	7952	34743	2284	100	612107	34216	0	20956	6032	991383	0	35703	0	1444377	0	5550829	0	2202191	0	0	0	99094	10290	365	877	415841	970456	284094	0	98020	151	0	8309	542624	20337	37910	15597	3687	57480	0	1923906	185024	332796	126337	10810	254722	0	6212	14305	0	0	605	0	180462	0	137715	1587	8462	8034	6375	326	0	1701	0	0	0	367	94725	2630	1108	1847207	32877	0	0	826	0	32213	0	3288	0	0	83244	21100	680	30877	3340647	434605	2875	1908	4532	0	0	208094	0	0	158495	0	36213	0
NS72	214	0	64111	4629	10327	5969	48989	314	0	0	0	366099	0	2563	1442	9936	0	9304295	0	1305960	0	0	0	34391	0	3753	0	5762	1618348	0	0	257648	0	58205	0	941700	3168	0	20000	291	2556	0	1742959	131486	0	240	0	1398375	25606	267368	9752	0	71782	0	0	22982	0	0	0	961309	4982718	544	0	0	0	61654	138651	0	6265	1167	0	107761	1059	1215	0	0	2093	0	0	0	115961	0	151	3224	189244	1302	1938	373607	4057	0	1534	4057	235	0	720731	0	0	5392	0	0	2431
NS77	17490	363976	0	3933	381	90881	0	744869	0	0	0	104528	1949	4307	0	3214205	86924	203653	7140	409924	0	0	2177	0	0	0	3348	617843	224014	0	0	160200	0	0	7872	318426	840	1637	4170	0	3433	691138	745064	4369996	0	597672	50019	192755	681	111860	573	1313	0	14961	0	7716	0	20175	0	333823	0	0	2647	0	0	0	0	0	0	0	62783	253	181319	506751	0	0	0	0	748629	0	5582614	0	0	0	1231894	1261	31297	0	94474	0	0	0	0	0	164632	10918	0	340	0	0	4676
NS78	0	0	0	372	4358	89629	0	6261	0	0	3085	392860	0	38	0	16172	0	2374490	0	693949	0	0	0	1517910	0	0	0	9241	560786	0	0	1385844	379	0	0	680557	0	0	7724	0	561	0	2406537	774444	18450	61038	0	1110688	1209	46150	532	0	193285	527	0	121750	0	0	0	1993035	43886	0	0	0	0	0	0	1252	0	0	0	5319	327	1204	0	0	0	0	0	0	120568	0	6115	13626	336074	0	42318	648673	24604	0	8769	35256	0	0	754847	0	0	15729	0	0	0
NS79	0	0	0	0	14801	41127	0	158412	0	0	0	616343	0	0	0	867541	0	4757374	769	1048129	0	0	0	0	0	0	0	11190	747094	0	0	571750	154	0	0	750300	31725	0	8687	165	1232	0	2897624	3330872	0	37039	12857	1922576	0	51580	29829	0	0	0	0	15376	0	5816	0	44972	0	0	0	0	0	0	0	7181	0	0	7214	400	7212	16395	0	55755	0	0	3109	0	0	3561	31369	0	128637	0	0	2520574	5537	0	0	0	0	0	44122	0	0	0	221	0	0
NS81	0	0	759	104	1190	19323	1836	2903	0	0	784	2484152	0	212	0	11271	0	1149953	0	898745	0	0	0	0	0	0	0	63893	0	330	0	95794	0	17947	0	1130340	70197	0	0	764	82477	0	1699355	363628	0	3499	3273	1022053	0	37382	43935	0	0	0	0	485534	0	0	924	4666280	2245	68027	0	266	6321	0	2099	9750	0	70689	0	0	0	542	0	0	217	0	0	0	0	0	41969	26087	204194	0	58011	2270662	23165	396	0	0	0	0	128181	0	0	40792	0	0	0
NS83	1511	76234	9293	25387	1632	33220	130068	115721	0	0	92	117351	553	27281	0	368222	14006	1346157	1676	943133	0	0	0	0	1868	0	0	105773	1910014	0	0	615069	0	0	339	1439933	4362	1214	22952	1973	41512	0	1039978	4302859	0	91208	8141	1426938	5961	153171	29840	131	1789413	0	0	130449	0	5346	70943	569670	399925	3211	851	0	462	0	0	433	0	0	9797	1183	499636	72966	0	8117	0	0	214179	0	463661	768	2290	18523	1576551	0	17667	665595	35851	0	208	2356	0	0	716641	0	0	58215	0	0	0
NS86	0	0	1374	1115	1069	256531	0	78057	0	0	245	492247	0	1217	0	29574	0	1795508	0	830718	0	0	0	0	0	0	0	1978	245676	0	0	2373097	0	0	0	562872	0	0	3959	0	7443	594	297333	4852767	34469	45891	4367	656413	5334	26304	3102	5092	0	9694	0	21027	0	0	15947	1691343	305642	3639	0	0	0	0	25917	0	0	0	0	3145	23764	7652	5997	0	0	0	0	0	230591	0	10031	3349	1131416	3300	28194	631094	32525	0	236	0	3166	0	403962	0	0	0	0	0	0
NS9	0	0	0	4713	0	103562	89	988427	0	2754	4711	1024779	11228	12991	0	2654129	0	50367	16772	1116124	0	0	0	0	0	0	778	293566	251950	25180	0	415578	0	0	3337	559009	11798	12070	1766	220	34130	13344	6292401	2382674	0	172597	12964	3055852	0	9555	8843	0	0	23396	2085	16154	0	30054	10351	152672	580	24871	889	63	0	0	0	0	0	0	229509	0	144728	475328	0	0	0	0	141708	0	23505	0	0	4495	699283	0	74629	1829312	45700	1130	0	0	0	0	174819	0	0	0	0	0	0
