feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinobacteria.fam...Sanguibacteraceae.Actinomycetaceae.Promicromonosporaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridia.fam..incertae.sedis	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharibacteria.fam..incertae.sedis	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS34	0	0	0	19	45	1	0	2	2365	2	0	160	0	0	6	0	0	0	0	427	8	31	4	1	3	0	0	612	34	0	0	0	27	102	62	98	84	0	0	0	5	0	27	716	0	0	0	39	16	0	126	44	0	77	16	135	290	0	0	0	4	0	187	24	16	26
NS36	0	0	0	0	1386	0	0	46	956	86	88	208	0	0	0	0	1	0	0	221	12	4	453	1	14	0	27	1297	132	10	0	49	24	1	36	144	147	0	1	0	1	0	54	542	2	0	0	45	148	0	18	37	0	11	2	857	1624	0	0	1	7	5	168	1	4	2
NS38	0	0	0	0	604	0	0	11	930	29	37	1352	0	0	0	0	1	1	5	380	8	14	0	3	8	1	0	700	76	0	0	12	43	11	45	406	0	13	1	0	0	4	13	492	15	0	1	17	47	2	0	13	0	0	0	200	1132	0	0	1	3	3	75	0	0	46
NS39	0	0	0	1	20	0	0	386	579	6	28	550	0	0	0	0	0	3	0	974	13	1	244	4	19	0	2	739	48	5	0	4	31	1	112	204	19	0	0	0	0	0	477	860	0	0	0	27	131	11	3	9	0	0	183	216	3405	0	50	0	18	4	34	0	0	361
NS4	0	0	0	0	0	0	0	8	1498	0	0	394	0	0	0	0	0	0	0	222	0	0	0	0	8	0	6	493	28	0	0	2	1	31	5	1744	0	0	1	0	1	28	5	2097	0	0	0	6	32	33	1	3	0	0	3	45	1805	0	0	0	31	233	17	0	0	51
NS40	18	0	0	4	0	71	1	13	285	0	48	789	0	0	0	0	2	0	0	307	3	0	0	0	43	0	19	2379	159	0	0	0	34	4	78	321	0	0	0	0	2	0	23	2165	167	0	0	4	267	0	9	4	0	4	248	212	5333	0	43	0	9	11	80	0	2	84
NS41	35	0	0	0	18	3	0	1	940	4	114	80	0	0	3	0	1	0	0	623	11	0	0	0	4	0	11	1277	28	2	0	1	4	0	42	74	0	0	0	3	0	54	249	2095	38	1	0	20	283	1	1	4	0	2	4082	489	2303	0	29	0	7	59	237	0	0	13
NS46	0	1	0	2	14	0	0	17	646	9	0	387	0	0	2	0	0	8	2	672	18	2	799	7	20	18	63	1017	0	0	0	5	180	8	108	400	0	0	2	0	2	1	51	2264	5	0	0	10	49	0	12	33	0	17	42	82	3441	0	0	3	1	3	17	1	1	95
NS51	0	0	2	1	0	0	0	0	138	0	3	1400	2	7	1	0	0	0	0	538	3	0	0	0	37	0	107	630	318	0	0	3	56	39	35	824	4	0	0	0	4	0	28	4825	19	0	1	0	3	1	79	584	5	56	9	2	2945	0	0	0	104	2	4	1	12	10
NS55	0	0	0	1	3	0	1	449	182	0	0	118	0	0	0	0	0	1	0	153	0	0	0	0	28	0	85	568	67	0	0	0	18	3	30	374	0	0	0	0	1	0	12	4237	0	0	0	2	15	0	1	50	0	0	0	4	1493	0	0	0	26	1	0	0	1	6
NS58	2	1	2	18	0	1	9	387	4	0	0	511	0	6	0	3	0	0	0	92	1	0	0	12	142	0	111	1954	146	0	1	0	23	0	198	146	0	0	0	0	1	0	0	9806	0	1	2	0	1	5	1	277	1	0	47	0	571	6	0	2	250	2	3	0	0	5
NS6	0	0	0	1	1	0	0	90	2677	0	0	0	0	0	0	0	0	0	0	401	2	3	238	0	43	1	92	846	53	0	0	3	15	1	13	357	0	0	0	0	4	0	25	3242	1	1	0	34	73	1	113	26	0	48	22	482	1006	0	0	0	13	4	197	0	15	18
NS62	0	1	0	2	63	0	0	61	44	2	0	231	0	0	0	0	0	2	0	361	9	1	0	0	34	1	0	824	0	0	2	0	46	0	26	250	5	0	12	0	2	15	35	4329	0	0	0	0	1	0	1	37	0	0	0	80	1912	0	0	0	33	1	5	0	0	1
NS67	0	4	0	11	52	0	0	2	68	0	0	1214	0	2	0	0	0	0	0	722	159	0	0	0	17	0	570	2091	192	0	0	4	61	16	38	219	0	0	11	0	3	0	202	2677	153	0	0	0	6	1	26	67	1	0	62	0	4829	4	0	7	25	0	6	0	2	2570
NS7	0	0	3	18	0	0	2	16	65	0	0	1691	0	0	0	0	0	0	0	200	3	0	0	11	31	4	21	691	366	0	0	5	14	3	70	525	4	0	0	0	0	0	15	2593	684	0	1	1	75	7	2	1308	0	0	689	163	2690	6	31	1	125	17	8	0	0	217
NS70	9	1	1	4	0	0	0	185	100	0	0	788	1	7	0	0	0	0	0	365	5	0	0	8	113	0	0	684	264	0	0	1	16	0	26	1120	0	0	0	0	1	0	139	5192	1	0	1	0	13	2	0	64	4	0	953	2	1553	0	0	1	239	2	7	0	0	9
NS71	0	1	1	4	399	0	2	0	310	0	0	1196	0	0	1	1	0	4	3	608	30	1	4	1	173	0	25	3253	191	0	0	0	106	0	198	634	58	2	2	0	10	1	216	2431	4	3	1	1	823	0	2	487	0	1	3	12	1128	0	0	0	67	0	7	0	0	1
NS72	0	1	4	34	14	3	4	290	5	0	0	2952	0	0	0	1	0	0	0	679	119	0	0	1	170	0	30	511	516	0	0	0	90	2	262	853	0	0	2	3	0	0	63	3259	1180	0	1	0	2	0	3	32	0	0	28	1	1602	9	71	3	271	0	0	0	0	63
NS77	340	0	1	2	0	0	0	36	1088	3	20	76	0	0	0	0	1	1	0	425	28	0	0	3	3	0	36	895	84	0	0	6	4	154	12	336	0	3	0	0	1	0	577	1439	0	0	1	14	526	1	0	3	0	0	1290	170	1655	0	0	0	42	45	107	0	0	5
NS78	0	0	0	1	0	21	0	16	4	0	0	733	0	2	0	0	0	0	0	907	2	0	0	4	118	1	80	818	108	3	0	0	19	0	684	564	0	4	0	179	0	0	796	2235	9	1	1	0	5	0	0	153	2	0	31	5	681	0	0	1	225	0	2	0	0	90
NS79	0	0	0	0	0	0	0	145	226	0	0	1097	1	4	0	0	0	0	0	170	1	0	0	22	85	0	74	1178	127	0	0	2	9	0	1	624	49	0	0	0	1	0	142	2543	0	1	0	2	36	0	0	6	3	0	0	45	2209	0	0	0	15	17	6	0	0	0
NS81	0	0	1	1	1	0	1	99	6	0	0	259	1	6	0	1	0	0	0	83	8	0	1	0	75	0	130	338	0	0	0	0	27	0	45	417	0	0	15	0	1	0	2	3135	2	1	0	0	1	0	2	326	6	0	0	1	2135	0	0	0	53	0	1	0	0	49
NS83	82	0	2	8	37	0	1	115	128	0	3	323	0	1	0	0	0	3	0	445	17	3	0	14	153	0	7	1098	404	0	0	3	79	8	689	388	0	2	0	0	0	21	85	2623	83	0	1	2	324	1	0	215	2	0	117	36	2854	0	0	0	220	7	15	0	0	0
NS86	0	0	1	5	0	10	1	48	12	0	1	411	0	3	0	1	0	0	0	332	0	0	23	6	31	0	37	2941	87	0	0	0	3	3	19	215	0	3	0	0	2	4	96	3816	53	0	2	1	23	5	0	79	1	0	56	21	2962	0	0	2	143	1	2	0	0	111
NS9	0	0	0	0	0	0	0	29	691	0	1	10	0	0	0	0	0	0	1	165	6	0	0	1	38	0	109	787	63	0	0	14	7	4	26	1417	52	3	0	0	3	3	114	2593	0	1	0	54	44	0	0	26	0	1	850	525	1691	0	1	0	51	0	104	0	0	0
