feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinobacteria.fam...Sanguibacteraceae.Actinomycetaceae.Promicromonosporaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridia.fam..incertae.sedis	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharibacteria.fam..incertae.sedis	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS34	0	0	0	0.00325286765964732	0.00770416024653313	0.00017120356103407	0	0.000342407122068139	0.404896421845574	0.000342407122068139	0	0.0273925697654511	0	0	0.00102722136620442	0	0	0	0	0.0731039205615477	0.00136962848827256	0.00530731039205615	0.000684814244136278	0.00017120356103407	0.000513610683102209	0	0	0.104776579352851	0.00582092107515836	0	0	0	0.00462249614791988	0.0174627632254751	0.0106146207841123	0.0167779489813388	0.0143810991268618	0	0	0	0.000856017805170348	0	0.00462249614791988	0.122581749700394	0	0	0	0.00667693888032871	0.00273925697654511	0	0.0215716486902928	0.00753295668549906	0	0.0131826741996234	0.00273925697654511	0.0231124807395994	0.0496490326998802	0	0	0	0.000684814244136278	0	0.032015065913371	0.00410888546481767	0.00273925697654511	0.00445129258688581
NS36	0	0	0	0	0.156204215034374	0	0	0.00518426687704271	0.107742589879409	0.0096923250309929	0.00991772793869041	0.023441902400541	0	0	0	0	0.000112701453848755	0	0	0.0249070213005748	0.00135241744618506	0.000450805815395019	0.0510537585934859	0.000112701453848755	0.00157782035388257	0	0.00304293925391638	0.146173785641835	0.0148765919080356	0.00112701453848755	0	0.00552237123858898	0.00270483489237011	0.000112701453848755	0.00405725233855517	0.0162290093542207	0.0165671137157669	0	0.000112701453848755	0	0.000112701453848755	0	0.00608587850783275	0.061084187986025	0.000225402907697509	0	0	0.00507156542319396	0.0166798151696157	0	0.00202862616927758	0.00416995379240392	0	0.0012397159923363	0.000225402907697509	0.0965851459483827	0.183027161050378	0	0	0.000112701453848755	0.000788910176941283	0.000563507269243773	0.0189338442465908	0.000112701453848755	0.000450805815395019	0.000225402907697509
NS38	0	0	0	0	0.0894152479644708	0	0	0.00162842339008142	0.137675795706884	0.00429311621021466	0.00547742413027387	0.200148038490007	0	0	0	0	0.000148038490007402	0.000148038490007402	0.00074019245003701	0.0562546262028127	0.00118430792005922	0.00207253886010363	0	0.000444115470022206	0.00118430792005922	0.000148038490007402	0	0.103626943005181	0.0112509252405625	0	0	0.00177646188008882	0.00636565507031828	0.00162842339008142	0.00666173205033309	0.0601036269430052	0	0.00192450037009622	0.000148038490007402	0	0	0.000592153960029608	0.00192450037009622	0.0728349370836417	0.00222057735011103	0	0.000148038490007402	0.00251665433012583	0.00695780903034789	0.000296076980014804	0	0.00192450037009622	0	0	0	0.0296076980014804	0.167579570688379	0	0	0.000148038490007402	0.000444115470022206	0.000444115470022206	0.0111028867505551	0	0	0.00680977054034049
NS39	0	0	0	0.000102228583111838	0.00204457166223676	0	0	0.0394602330811695	0.0591903496217542	0.000613371498671028	0.00286240032713147	0.0562257207115109	0	0	0	0	0	0.000306685749335514	0	0.0995706399509303	0.0013289715804539	0.000102228583111838	0.0249437742792885	0.000408914332447352	0.00194234307912492	0	0.000204457166223676	0.0755469229196483	0.00490697198936823	0.00051114291555919	0	0.000408914332447352	0.00316908607646698	0.000102228583111838	0.0114496013085259	0.020854630954815	0.00194234307912492	0	0	0	0	0	0.0487630341443468	0.0879165814761807	0	0	0	0.00276017174401963	0.0133919443876508	0.00112451441423022	0.000306685749335514	0.000920057248006543	0	0	0.0187078307094664	0.022081373952157	0.348088325495809	0	0.0051114291555919	0	0.00184011449601309	0.000408914332447352	0.00347577182580249	0	0	0.0369045185033735
NS4	0	0	0	0	0	0	0	0.000905797101449275	0.169610507246377	0	0	0.0446105072463768	0	0	0	0	0	0	0	0.0251358695652174	0	0	0	0	0.000905797101449275	0	0.000679347826086957	0.0558197463768116	0.00317028985507246	0	0	0.000226449275362319	0.000113224637681159	0.00350996376811594	0.000566123188405797	0.197463768115942	0	0	0.000113224637681159	0	0.000113224637681159	0.00317028985507246	0.000566123188405797	0.237432065217391	0	0	0	0.000679347826086957	0.0036231884057971	0.00373641304347826	0.000113224637681159	0.000339673913043478	0	0	0.000339673913043478	0.00509510869565217	0.204370471014493	0	0	0	0.00350996376811594	0.0263813405797101	0.00192481884057971	0	0	0.00577445652173913
NS40	0.00135900339750849	0	0	0.000302000755001888	0	0.0053605134012835	7.55001887504719e-05	0.000981502453756134	0.0215175537938845	0	0.00362400906002265	0.0595696489241223	0	0	0	0	0.000151000377500944	0	0	0.0231785579463949	0.000226500566251416	0	0	0	0.00324650811627029	0	0.00143450358625897	0.179614949037373	0.012004530011325	0	0	0	0.00256700641751604	0.000302000755001888	0.00588901472253681	0.0242355605889015	0	0	0	0	0.000151000377500944	0	0.00173650434126085	0.163457908644772	0.0126085315213288	0	0	0.000302000755001888	0.020158550396376	0	0.000679501698754247	0.000302000755001888	0	0.000302000755001888	0.018724046810117	0.0160060400151	0.402642506606266	0	0.00324650811627029	0	0.000679501698754247	0.000830502076255191	0.00604001510003775	0	0.000151000377500944	0.00634201585503964
NS41	0.00264230711158085	0	0	0	0.00135890080024158	0.00022648346670693	0	7.54944889023101e-05	0.0709648195681715	0.000301977955609241	0.00860637173486336	0.00603955911218481	0	0	0.00022648346670693	0	7.54944889023101e-05	0	0	0.0470330665861392	0.000830439377925411	0	0	0	0.000301977955609241	0	0.000830439377925411	0.09640646232825	0.00211384568926468	0.00015098897780462	0	7.54944889023101e-05	0.000301977955609241	0	0.00317076853389703	0.00558659217877095	0	0	0	0.00022648346670693	0	0.00407670240072475	0.0187981277366752	0.15816095425034	0.00286879057828778	7.54944889023101e-05	0	0.0015098897780462	0.0213649403593538	7.54944889023101e-05	7.54944889023101e-05	0.000301977955609241	0	0.00015098897780462	0.30816850369923	0.0369168050732297	0.17386380794202	0	0.00218934017816699	0	0.000528461422316171	0.0044541748452363	0.0178921938698475	0	0	0.000981428355730032
NS46	0	9.49036727721363e-05	0	0.000189807345544273	0.00132865141880991	0	0	0.00161336243712632	0.0613077726108	0.000854133054949227	0	0.0367277213628167	0	0	0.000189807345544273	0	0	0.00075922938217709	0.000189807345544273	0.0637752681028756	0.00170826610989845	0.000189807345544273	0.0758280345449369	0.000664325709404954	0.00189807345544273	0.00170826610989845	0.00597893138464459	0.0965170352092626	0	0	0	0.000474518363860681	0.0170826610989845	0.00075922938217709	0.0102495966593907	0.0379614691088545	0	0	0.000189807345544273	0	0.000189807345544273	9.49036727721363e-05	0.00484008731137895	0.214861915156117	0.000474518363860681	0	0	0.000949036727721363	0.00465027996583468	0	0.00113884407326564	0.0031318212014805	0	0.00161336243712632	0.00398595425642972	0.00778210116731518	0.326563538008921	0	0	0.000284711018316409	9.49036727721363e-05	0.000284711018316409	0.00161336243712632	9.49036727721363e-05	9.49036727721363e-05	0.00901584891335295
NS51	0	0	0.000155738981467061	7.78694907335306e-05	0	0	0	0	0.0107459897212272	0	0.000233608472200592	0.109017287026943	0.000155738981467061	0.000545086435134714	7.78694907335306e-05	0	0	0	0	0.0418937860146395	0.000233608472200592	0	0	0	0.00288117115714063	0	0.00833203550848777	0.0490577791621243	0.0247624980532627	0	0	0.000233608472200592	0.00436069148107771	0.00303691013860769	0.00272543217567357	0.0641644603644292	0.000311477962934122	0	0	0	0.000311477962934122	0	0.00218034574053886	0.375720292789285	0.00147952032393708	0	7.78694907335306e-05	0	0.000233608472200592	7.78694907335306e-05	0.00615168976794892	0.0454757825883819	0.000389347453667653	0.00436069148107771	0.000700825416601775	0.000155738981467061	0.229325650210248	0	0	0	0.00809842703628718	0.000155738981467061	0.000311477962934122	7.78694907335306e-05	0.000934433888802367	0.000778694907335306
NS55	0	0	0	0.000126103404791929	0.000378310214375788	0	0.000126103404791929	0.0566204287515763	0.0229508196721311	0	0	0.0148802017654477	0	0	0	0	0	0.000126103404791929	0	0.0192938209331652	0	0	0	0	0.00353089533417402	0	0.010718789407314	0.0716267339218159	0.00844892812105927	0	0	0	0.00226986128625473	0.000378310214375788	0.00378310214375788	0.0471626733921816	0	0	0	0	0.000126103404791929	0	0.00151324085750315	0.534300126103405	0	0	0	0.000252206809583859	0.00189155107187894	0	0.000126103404791929	0.00630517023959647	0	0	0	0.000504413619167718	0.188272383354351	0	0	0	0.00327868852459016	0.000126103404791929	0	0	0.000126103404791929	0.000756620428751576
NS58	0.000135584028201478	6.77920141007389e-05	0.000135584028201478	0.0012202562538133	0	6.77920141007389e-05	0.00061012812690665	0.026235509456986	0.000271168056402956	0	0	0.0346417192054776	0	0.000406752084604434	0	0.000203376042302217	0	0	0	0.00623686529726798	6.77920141007389e-05	0	0	0.000813504169208867	0.00962646600230493	0	0.00752491356518202	0.132465595552844	0.00989763405870788	0	6.77920141007389e-05	0	0.001559216324317	0	0.0134228187919463	0.00989763405870788	0	0	0	0	6.77920141007389e-05	0	0	0.664768490271846	0	6.77920141007389e-05	0.000135584028201478	0	6.77920141007389e-05	0.000338960070503695	6.77920141007389e-05	0.0187783879059047	6.77920141007389e-05	0	0.00318622466273473	0	0.0387092400515219	0.000406752084604434	0	0.000135584028201478	0.0169480035251847	0.000135584028201478	0.000203376042302217	0	0	0.000338960070503695
NS6	0	0	0	9.8405825624877e-05	9.8405825624877e-05	0	0	0.00885652430623893	0.263432395197796	0	0	0	0	0	0	0	0	0	0	0.0394607360755757	0.000196811651249754	0.000295217476874631	0.0234205864987207	0	0.00423145050186971	9.8405825624877e-05	0.00905333595748868	0.0832513284786459	0.00521550875811848	0	0	0.000295217476874631	0.00147608738437315	9.8405825624877e-05	0.0012792757331234	0.0351308797480811	0	0	0	0	0.000393623302499508	0	0.00246014564062192	0.319031686675851	9.8405825624877e-05	9.8405825624877e-05	0	0.00334579807124582	0.00718362527061602	9.8405825624877e-05	0.0111198582956111	0.0025585514662468	0	0.0047234796299941	0.00216492816374729	0.0474316079511907	0.0989962605786263	0	0	0	0.0012792757331234	0.000393623302499508	0.0193859476481008	0	0.00147608738437315	0.00177130486124779
NS62	0	0.000118638035354135	0	0.000237276070708269	0.00747419622731048	0	0	0.00723692015660221	0.00522007355558192	0.000237276070708269	0	0.0274053861668051	0	0	0	0	0	0.000237276070708269	0	0.0428283307628426	0.00106774231818721	0.000118638035354135	0	0	0.00403369320204057	0.000118638035354135	0	0.0977577411318069	0	0	0.000237276070708269	0	0.00545734962629019	0	0.0030845889192075	0.0296595088385336	0.000593190176770673	0	0.00142365642424961	0	0.000237276070708269	0.00177957053031202	0.00415233123739471	0.513584055048048	0	0	0	0	0.000118638035354135	0	0.000118638035354135	0.00438960730810298	0	0	0	0.00949104282833076	0.226835923597105	0	0	0	0.00391505516668644	0.000118638035354135	0.000593190176770673	0	0	0.000118638035354135
NS67	0	0.000248539828507518	0	0.000683484528395675	0.00323101777059774	0	0	0.000124269914253759	0.00422517708462781	0	0	0.0754318379520318	0	0.000124269914253759	0	0	0	0	0	0.0448614390456071	0.00987945818317385	0	0	0	0.00105629427115695	0	0.0354169255623214	0.129924195352305	0.0119299117683609	0	0	0.000248539828507518	0.00379023238473965	0.000994159314030073	0.00236112837082142	0.0136075556107866	0	0	0.000683484528395675	0	0.000186404871380639	0	0.0125512613396297	0.166335280228657	0.00950664844041258	0	0	0	0.000372809742761277	6.21349571268796e-05	0.00161550888529887	0.00416304212750093	6.21349571268796e-05	0	0.00385236734186653	0	0.300049707965702	0.000248539828507518	0	0.000434944699888157	0.00155337392817199	0	0.000372809742761277	0	0.000124269914253759	0.159686839816081
NS7	0	0	0.00024240465416936	0.00145442792501616	0	0	0.000161603102779573	0.00129282482223659	0.00525210084033613	0	0	0.136635423400129	0	0	0	0	0	0	0	0.0161603102779573	0.00024240465416936	0	0	0.000888817065287654	0.00250484809308339	0.000323206205559147	0.00169683257918552	0.0558338720103426	0.0295733678086619	0	0	0.000404007756948933	0.00113122171945701	0.00024240465416936	0.00565610859728507	0.042420814479638	0.000323206205559147	0	0	0	0	0	0.0012120232708468	0.209518422753717	0.0552682611506141	0	8.08015513897867e-05	8.08015513897867e-05	0.006060116354234	0.000565610859728507	0.000161603102779573	0.105688429217841	0	0	0.055672268907563	0.0131706528765352	0.217356173238526	0.00048480930833872	0.00250484809308339	8.08015513897867e-05	0.0101001939237233	0.00137362637362637	0.000646412411118293	0	0	0.0175339366515837
NS70	0.000757511993939904	8.4167999326656e-05	8.4167999326656e-05	0.000336671997306624	0	0	0	0.0155710798754314	0.0084167999326656	0	0	0.0663243834694049	8.4167999326656e-05	0.000589175995286592	0	0	0	0	0	0.0307213197542294	0.00042083999663328	0	0	0.000673343994613248	0.00951098392391213	0	0	0.0575709115394327	0.0222203518222372	0	0	8.4167999326656e-05	0.0013466879892265	0	0.00218836798249306	0.0942681592458547	0	0	0	0	8.4167999326656e-05	0	0.0116993519064052	0.437000252503998	8.4167999326656e-05	0	8.4167999326656e-05	0	0.00109418399124653	0.000168335998653312	0	0.00538675195690598	0.000336671997306624	0	0.0802121033583032	0.000168335998653312	0.130712902954297	0	0	8.4167999326656e-05	0.0201161518390708	0.000168335998653312	0.000589175995286592	0	0	0.000757511993939904
NS71	0	8.06061583104949e-05	8.06061583104949e-05	0.00032242463324198	0.0321618571658875	0	0.00016121231662099	0	0.0249879090762534	0	0	0.0964049653393519	0	0	8.06061583104949e-05	8.06061583104949e-05	0	0.00032242463324198	0.000241818474931485	0.0490085442527809	0.00241818474931485	8.06061583104949e-05	0.00032242463324198	8.06061583104949e-05	0.0139448653877156	0	0.00201515395776237	0.26221183298404	0.0153957762373045	0	0	0	0.00854425278091246	0	0.015960019345478	0.0511043043688538	0.0046751571820087	0.00016121231662099	0.00016121231662099	0	0.000806061583104949	8.06061583104949e-05	0.0174109301950669	0.195953570852813	0.00032242463324198	0.000241818474931485	8.06061583104949e-05	8.06061583104949e-05	0.0663388682895373	0	0.00016121231662099	0.039255199097211	0	8.06061583104949e-05	0.000241818474931485	0.000967273899725939	0.0909237465742383	0	0	0	0.00540061260680316	0	0.000564243108173464	0	0	8.06061583104949e-05
NS72	0	7.6138267093041e-05	0.000304553068372164	0.00258870108116339	0.00106593573930257	0.000228414801279123	0.000304553068372164	0.0220800974569819	0.000380691335465205	0	0	0.224760164458657	0	0	0	7.6138267093041e-05	0	0	0	0.0516978833561748	0.00906045378407187	0	0	7.6138267093041e-05	0.012943505405817	0	0.00228414801279123	0.0389066544845439	0.0392873458200091	0	0	0	0.00685244403837369	0.000152276534186082	0.0199482259783767	0.0649459418303639	0	0	0.000152276534186082	0.000228414801279123	0	0	0.00479671082686158	0.24813461245622	0.0898431551697883	0	7.6138267093041e-05	0	0.000152276534186082	0	0.000228414801279123	0.00243642454697731	0	0	0.00213187147860515	7.6138267093041e-05	0.121973503883052	0.000685244403837369	0.00540581696360591	0.000228414801279123	0.0206334703822141	0	0	0	0	0.00479671082686158
