feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002401	0	0	0	558	3728	0	66448	0	0	2279	0	9639	0	0	0	0	1016	8599	4503	0	29628	0	49648	304162	2007	462	0	6237	35821	409197	239	1391
SRR20002402	0	0	0	0	0	0	7034	0	0	0	0	0	0	0	0	0	0	175	290	0	0	0	1492	26067	0	0	0	0	0	0	0	0
SRR20002403	0	0	0	0	0	0	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	5273	0	0	0	0	0	0	0	0
SRR20002406	315	740	1280	0	0	0	7513	0	518	0	375	494	0	0	0	0	476	425	789	1090	0	0	19326	99596	0	0	332	0	197	0	6429	219
SRR20002410	0	0	0	0	182	0	12761	481	0	1765	0	0	0	0	0	0	423	1306	67181	0	0	0	2201	59346	219	0	0	206	162	0	0	0
SRR20002412	4296	0	0	0	3162	18257	19845	0	0	258	0	998	247	735	138	0	3525	1330	18907	0	2132	184	10829	86705	319	0	243	315	113093	28341	0	170
SRR20002416	0	0	0	0	0	0	4710	0	0	0	0	0	0	0	0	0	0	2150	0	0	0	0	1189	21463	0	0	0	0	0	0	0	555
SRR20002417	0	0	0	0	0	0	2773	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	751	14192	0	0	0	0	0	0	0	0
SRR20002419	0	0	0	224	0	0	32152	0	0	1021	0	1647	259	463	308	0	512	2647	1119	0	431	0	41599	128315	549	0	0	423	673	0	0	0
SRR20002420	0	0	0	0	0	0	14940	0	0	0	0	0	0	336	0	0	0	670	1147	0	0	0	5270	75412	0	0	0	0	0	0	221	0
SRR20002421	0	0	0	0	0	0	7841	336	0	0	0	372	0	0	0	0	0	411	0	0	0	0	3562	36450	0	0	0	0	46717	281	0	0
SRR20002422	971	0	0	0	0	0	43780	563	0	597	0	635	430	593	408	464	827	4931	11076	0	0	1034	269835	210720	749	0	0	591	515388	8025	355	0
SRR20002425	0	0	6197	0	392	0	62441	0	0	542	0	811	756	0	0	0	10420	10500	4868	0	0	0	15421	314095	724	4101	0	1154	3030	442	586	0
SRR20002427	0	0	925	0	1523032	12028	22063	0	0	2854	0	0	0	1724	0	0	891	2233	83271	0	0	0	5168	102160	388	0	0	226	305	6644	0	0
SRR20002430	758	0	0	0	504	0	31114	0	0	9890	0	2377	0	0	0	616	5839	3571	8109	0	18806	4598	31056	364349	0	0	0	0	4250	5199	353	0
SRR20002433	0	0	451	473	0	0	52147	0	0	0	0	2580	0	1161	677	0	0	5771	3869	0	0	0	84195	247210	817	12426	0	672	1585	0	374	0
SRR20002435	0	397	208	0	0	0	1657	0	217	0	235	17617	0	702	0	0	0	119	440839	385	0	0	792	9385	0	0	0	0	168	0	3660	0
SRR20002439	0	0	0	0	0	222	744	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	662	3649	0	0	0	0	0	0	0	0
SRR20002441	0	0	0	0	294	91	4281	0	0	0	0	1458618	0	334	0	0	0	0	149	269	0	0	295	4107	0	0	0	0	4641	0	1249	0
SRR20002442	0	0	569	0	0	0	50947	0	0	0	0	0	0	0	0	0	0	4686	0	0	825	0	5666	235880	787	0	0	621	0	0	0	0
SRR20002443	0	0	0	275	1098	0	37446	0	0	280	0	3183	321	654	293	0	542	3027	156932	0	0	0	39979	151046	447	0	865	481	52297	0	0	295
SRR20002446	0	0	0	0	0	0	36209	423	0	0	0	0	0	408	0	0	2400	1914	17966	0	0	0	35530	85940	0	345	0	0	45074	154810	0	0
SRR20002448	0	0	0	0	0	0	50350	0	0	0	0	1297	411	0	0	0	5155	3927	3842	0	0	34818	29672	214103	788	0	0	622	6981	38287	0	0
SRR20002450	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1913	3742	0	0	0	0	303436	0	0	0
SRR20002455	0	0	0	512	0	0	53271	0	0	1238	0	1334	386	492	0	0	343	6443	1525	0	0	0	27608	221962	780	0	0	603	969	405	0	0
SRR20002456	0	0	0	0	0	0	20560	0	0	0	0	0	0	1769	0	0	0	1893	0	0	0	0	3357	102516	0	0	0	0	0	0	0	0
SRR20002459	0	0	0	0	0	0	27262	342	0	0	0	0	331	0	0	0	643	8989	2307	0	0	0	5219	130921	658	988	0	567	68534	0	0	0
SRR20002464	0	904	5336	0	1726	243	8548	0	535	0	490	242	0	0	0	0	0	488	408	1284	0	0	2754	44373	0	0	309	127	0	0	7578	0
SRR20002465	4069	0	0	0	15218	5465	12338	0	0	859	0	501	0	156	0	0	0	1345	552793	0	0	0	3790	61336	0	686	0	214	0	1172	0	0
SRR20002466	0	0	1429	0	0	0	43286	0	0	0	0	0	0	0	0	0	1264	3149	0	0	391	0	12339	203553	637	0	0	483	96755	0	308	0
SRR20002468	0	0	0	0	1528	0	762	0	0	0	0	392000	0	0	0	0	0	0	247473	0	0	0	0	830	0	0	0	0	3127	120	0	0
SRR20002473	408	0	0	0	0	0	23605	0	0	0	0	0	0	0	0	0	0	1446	1201	0	0	0	5894	109366	222	0	0	406	1062039	10481	0	0
SRR20002474	0	0	1058	0	1691	0	47753	514	0	470	0	593	0	0	334	0	14927	3047	1870	0	0	0	10445	181705	0	0	0	961	3347	1014	0	0
SRR20002475	566	0	827	0	0	0	62610	0	0	5945	0	9458	481	0	0	607	1592	6155	5696	0	493	0	34218	257100	1161	0	0	1014	2349	30094	175	3519
SRR20002477	883	1752	856	0	0	0	30493	0	811	2516	892	0	353	0	0	697	1916	3545	4191	358	8199	0	10706	142879	673	0	593	987	988	2214	10947	254
SRR20002478	0	294	264	0	0	0	4599	0	234	0	199	0	0	0	0	714	182	246	0	192	0	0	1582	62514	0	0	0	0	0	0	3158	0
SRR20002479	0	0	0	0	0	0	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	8845	0	0	0	0	22602	0	0	0
SRR20002481	0	0	0	0	168	0	106	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	214	1427	0	0	0	0	0	0	1222	0
SRR20002482	0	1001	0	0	0	0	8863	0	639	0	436	0	0	0	0	0	210	369	155	2058	0	0	2627	37639	0	155	414	142	0	0	9182	0
SRR20002486	0	0	1464	0	0	0	13591	0	0	0	0	0	0	0	0	0	218	860	178	0	0	0	5385	66944	232	246	0	280	148	0	0	0
SRR20002487	0	2983	2004	0	0	0	22726	285	1802	0	992	333	248	0	0	0	390	2974	771	3997	0	0	13925	383233	348	0	880	600	415	0	19424	667
