feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002365	0	0	0	0	0	0	0.371841172252777	0	0	0	0	0	0	0	0	0.0444758519993544	0.131336789328836	0.111089094832171	0.117919962243291	0	0.0434173809987718	0	0.428790553931117	0.924439314847364	0.0539922559446542	0	0	0.0541110362114796	0.0580055859094551	0	0.0391028467061684	0
SRR20002368	0	0	0.0145938764940074	0	0	0	0.126375008622445	0	0	0.0187955206518404	0	0	0.0190671229132717	0	0	0	0.0198041072161167	0.0388004002561595	0.0264438900221559	0	0	0	0.0859336012372958	0.275355141998249	0.0144928724989915	0	0	0.0161241452284223	1.24709851148901	0	0	0
SRR20002369	0	0	0	0	0.0348213575570898	0.443753488949846	0	0	0	0	0	0.342788913946318	0	0.0910467797109875	0	0	0	0	0	0	0	0.955934420129433	0.024711871161223	0.0351240936738071	0	0	0	0	0.155966374470654	0	0	0
SRR20002371	0	0.10758994713346	0.117257095211706	0	0	0	0.180889936406905	0	0.110249364438646	0	0	0.19403485543118	0	0	0	0	0	0	0.0712291631798297	0.168072369963016	0	0	0.317971629498681	0.531794007022241	0	0	0	0	0.408565261391715	0.511378653860653	0.334653563420668	0
SRR20002373	0	0.129404736459971	0.0672469617828412	0	0	0	0.396277898306059	0	0.0956589156088608	0.0585015579137878	0.0870211787737858	0	0	0	0	0	0	0.124056924385665	0.0907560897653192	0.105247358296239	0	0	0.208613040707285	0.913043602376998	0.0486169653810501	0	0.0585358385414924	0.046938756153179	0.0348337226710932	0	0.316438934414973	0
SRR20002375	0	0.0851100877665886	0.0611328241935278	0	0	0	0.376687790507852	0	0.0733114415675132	0	0.0677909059323162	0.0382607002902107	0	0	0	0	0.0713085312256279	0.110102326435354	0.155571552627783	0.0914567769801041	0	0	0.251811520033126	0.951510518070854	0.0503023538395156	0	0	0.0415084056913552	0.0471304414735885	0	0.249969761981012	0
SRR20002377	0	0	0	0	0	0	0.171368600049747	0	0	0	0	0	0	0	0	0	0.0774262541971367	0	0	0	0	0	0.209931957479874	0.469862107158629	0	0	0	0	1.00932270431204	0	0	0
SRR20002378	0	0	0.091587079122667	0	0	0	0.37044377233849	0	0	0	0	0	0	0	0	0	0	0.0796941361082802	0	0	0	0	0.176385546868627	1.13714361074626	0	0	0	0	0	0	0	0
SRR20002379	0	0	0.0440752275537142	0	0	0	0.431234630871162	0	0	0	0	0	0.0429661130744403	0	0	0	0.048014102823032	0.131342148183245	0.0564138974302719	0	0	0	0.131131244718001	1.07075450589113	0.0561122090519158	0	0	0.0543391407595123	0	0	0	0.0745882294133249
SRR20002380	0	0	0.0154798425891348	0.0306216336464504	0	0.0243836246622172	0.0527082996504493	0	0	0	0	0	0	0	0	0	0	0.0128661858153037	0	0	0	0	0.0268651514704587	0.127320606360364	0	0	0.0161733691792392	0	1.4210189336323	0	0	0.0211487816931429
