feature	Akkermansia	Alistipes	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Collinsella	Coprococcus	Dialister	Dorea	Eubacterium	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	Gemmiger	Intestinibacter	Lachnospiraceae.unclassified	Lactobacillus	Parabacteroides	Prevotella	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS7	0	0	0	0	0.470960700649922	0	0.433537909355837	0	0	0.172350589899323	0.350105777767146	0.433537909355837	0	0.172350589899323	0	0	0.172350589899323	0.350105777767146	0	0.244978663126864	0.172350589899323	0.172350589899323	0	0
NS70	0	0	0	0.297122516347102	0.297122516347102	0.241382961662867	0.169846288083674	0.169846288083674	0	0	0.344856576985306	0.241382961662867	0	0.169846288083674	0	0	0.684719203002283	0	0	0.241382961662867	0	0	0	0.241382961662867
NS71	0.180585214190698	0	0	0.180585214190698	0.569030896263964	0.413273808494454	0.180585214190698	0	0	0.180585214190698	0.256813917420807	0.180585214190698	0	0.180585214190698	0	0	0	0	0	0	0	0.532861868524515	0.180585214190698	0
NS72	0	0	0	0	0.595124567552538	0.169846288083674	0.344856576985306	0	0	0.241382961662867	0.241382961662867	0	0	0.297122516347102	0	0	0.297122516347102	0.531808096947568	0	0	0	0	0	0
NS77	0	0.190125603346467	0	0.387596686655181	0	0.270549762978573	0	0	0	0.190125603346467	0.333473172251832	0.481275373942343	0.190125603346467	0	0	0	0	0	0.190125603346467	0.563942641360629	0.190125603346467	0	0	0
NS78	0	0	0	0	0.428192755581941	0	0.186779461081594	0.472213685781505	0	0.327454426146225	0.380506377112365	0	0.186779461081594	0.265729118969425	0	0	0.428192755581941	0	0	0	0.265729118969425	0	0	0
NS79	0	0	0.172350589899323	0.244978663126864	0.470960700649922	0.172350589899323	0.172350589899323	0	0	0.244978663126864	0.350105777767146	0.433537909355837	0	0.244978663126864	0	0	0	0	0	0	0	0.5064446434135	0	0
NS81	0	0	0.440510663004698	0	0.306277369169669	0	0	0.174969045665689	0	0.306277369169669	0.355602582980533	0.248740049959281	0	0	0	0.248740049959281	0.514805955119811	0	0	0	0.174969045665689	0.306277369169669	0	0
NS83	0	0.190125603346467	0	0	0	0.190125603346467	0.333473172251832	0	0	0.270549762978573	0.270549762978573	0.481275373942343	0	0	0	0	0	0.190125603346467	0	0.270549762978573	0.481275373942343	0.270549762978573	0	0.270549762978573
NS86	0	0.241382961662867	0.297122516347102	0	0.344856576985306	0.297122516347102	0.169846288083674	0.387596686655181	0	0	0	0.595124567552538	0	0.169846288083674	0	0	0.241382961662867	0	0	0	0.241382961662867	0.169846288083674	0	0
NS9	0	0.169846288083674	0.241382961662867	0.387596686655181	0	0	0	0.169846288083674	0	0.169846288083674	0.563942641360629	0.426887174546417	0	0.344856576985306	0	0	0.169846288083674	0	0	0	0.241382961662867	0.241382961662867	0	0
